,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,2227,2034,1967,1782,1774,1551,1251,1206,1542,1373,1241,1306,-,-,89.9,371.52,371.52,-,-
1,Trading Asset Securities,-,491.59,461.59,691.16,789.05,836.91,896.91,1302,1376,1211,1485,1687,1662,-,-,520,228,228,-,-
2,Cash & Short-Term Investments,2718,2718,2495,2659,2572,2611,2448,2553,2582,2753,2858,2928,2968,-,-,609.9,599.52,599.52,-,437.14
3,Cash Growth,5.71%,4.10%,1.93%,4.13%,-0.40%,-5.14%,-14.36%,-12.81%,-13.01%,-,-,380.15%,395.07%,-,-,39.52%,-,-,-,-
4,Accounts Receivable,-,57.03,56.15,40.27,55.95,48.34,98.7,84.96,42.83,22.01,18.56,13.11,11.87,-,-,14.22,13.18,13.18,-,-
5,Other Receivables,-,6.49,91.02,7.48,69.37,27.54,74.72,9.38,44.64,21.63,31,22.27,29.24,-,-,15.19,29.39,29.39,-,-
6,Receivables,-,63.52,147.17,47.75,125.31,75.88,173.43,94.34,87.48,43.64,49.55,35.38,41.11,-,-,29.41,42.56,42.56,-,-
7,Inventory,-,165.52,161.71,164.73,153.12,150.4,149.85,152.79,165.98,171.65,196.14,201.39,178.87,-,-,96.46,94.63,94.63,-,-
8,Other Current Assets,-,112.1,25.48,100.84,20.19,64.15,11.67,58.83,38,50.65,31.38,67.1,45.44,-,-,55.56,24.05,24.05,-,-
9,Total Current Assets,-,3060,2830,2972,2870,2902,2783,2859,2873,3019,3135,3232,3233,-,-,791.33,760.77,760.77,-,-
10,"Property, Plant & Equipment",-,1450,1439,1433,1410,1324,1298,1216,1123,971.7,907.71,763.57,672.48,-,-,112.93,329.68,329.68,-,-
11,Long-Term Investments,-,363.39,247.85,210.21,210.21,107.72,107.96,107.57,99.31,97.16,54.38,84.3,54.3,-,-,53.69,-,-,-,-
12,Other Intangible Assets,-,60.51,61.07,61.63,62.09,62.64,62.68,62.97,63.51,63.71,63.82,64.09,64.01,-,-,59.42,36.23,36.23,-,-
13,Long-Term Deferred Tax Assets,-,48.85,48.76,62.05,53.81,49.95,41.97,34.73,29.63,16.92,11.96,6.52,10.55,-,-,110.7,5.84,5.84,-,-
