,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6803,6439,5494,5261,5816,6409,6299,6324,7879,6604,7959,10289,11937,14246,-,-,-,-,-,-,-
1,Market Cap Growth,0.46%,0.46%,-12.78%,-16.81%,-26.18%,-2.95%,-20.86%,-38.53%,-34.00%,-53.64%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4760,4395,3553,3171,3413,4006,3913,3881,5176,3901,5151,7380,11335,13644,-,-,-,-,-,-,-
3,Last Close Price,16.06,15.20,12.97,12.42,13.51,14.89,14.63,14.69,18.04,15.12,18.23,23.35,27.09,32.33,-,-,-,-,-,-,-
4,PE Ratio,20.59,19.46,19.75,38.60,39.34,45.85,61.41,42.73,46.84,26.52,27.06,28.75,27.74,31.95,-,-,-,-,-,-,-
5,PS Ratio,6.23,5.89,4.91,5.22,6.24,6.91,6.76,5.69,6.23,4.42,4.82,5.81,6.41,7.81,-,-,-,-,-,-,-
6,PB Ratio,1.75,1.66,1.42,1.42,1.52,1.70,1.70,1.71,2.10,1.78,2.15,2.83,3.25,4.00,-,-,-,-,-,-,-
7,P/TBV Ratio,1.69,1.69,1.44,1.44,1.55,1.73,1.73,1.74,2.13,1.81,2.19,2.88,3.30,4.08,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,118.61,-33.15,-,-,-,-20.44,-,-,-,-,736.61,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,26.33,135.52,42.72,95.75,-,52.98,-,-,23.73,27.39,29.74,31.91,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.35,4.02,3.17,3.14,3.66,4.32,4.20,3.49,4.09,2.61,3.12,4.17,6.08,7.48,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,11.54,10.57,20.42,28.00,36.13,47.42,199.20,51.31,62.86,-,21.27,22.77,26.67,29.49,-,-,-,-,-,-,-
12,EV/EBIT Ratio,13.41,12.38,31.37,57.74,86.10,124.89,-,135.18,131.26,-,25.08,25.44,28.83,31.47,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,76.71,-19.98,-,-,-,-12.54,-,-,-,-,699.46,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.17,0.17,0.17,0.15,0.15,0.11,0.06,0.02,0.03,0.01,0.01,0.01,0.01,0.01,-,-,0.01,-,-,-,0.10
15,Debt / EBITDA Ratio,1.64,0.62,2.63,3.04,4.31,2.87,14.27,0.55,1.20,-,0.21,0.35,0.04,0.13,-,-,0.01,-,-,-,0.10
16,Debt / FCF Ratio,-,-,14.63,-3.49,-,-,-,-0.20,-,-,-,-,1.21,-,-,-,0.26,-,-,-,2.62
17,Asset Turnover,-,0.26,0.24,0.20,0.23,0.19,0.19,0.22,0.25,0.36,0.34,0.45,-,-,-,1.32,1.28,-,-,-,
18,Inventory Turnover,-,-,1.20,1.32,1.03,0.99,0.74,0.90,0.83,0.90,0.94,0.99,1.05,-,-,-,1.71,-,-,-,-
19,Quick Ratio,-,-,2.47,2.73,2.82,3.07,3.36,4.02,4.58,5.07,4.95,4.56,5.64,6.10,-,-,1.50,1.62,1.62,-,-
20,Current Ratio,-,-,2.71,2.93,3.09,3.26,3.63,4.27,4.95,5.46,5.34,4.92,6.15,6.56,-,-,1.86,1.92,1.92,-,-
21,Return on Equity (ROE),11.36%,16.70%,1.84%,4.73%,5.41%,2.18%,3.24%,4.11%,1.47%,7.15%,5.52%,13.18%,-,-,-,65.78%,47.94%,-,-,-,
22,Return on Assets (ROA),-,2.57%,1.39%,0.97%,0.99%,-0.46%,0.64%,0.63%,-2.58%,2.95%,1.29%,6.47%,-,-,-,28.62%,18.35%,-,-,-,
