,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,241.35,323.62,285.62,242.6,266.88,209.49,211.93,237.72,269.88,387.46,366.19,466.47,428.28,506.98,457.78,427.25,386,386,331.58,254.07
1,Other Revenue,-,-3.98,3.98,-,1.06,-0.92,0.92,-,3.27,-0.6,0.6,-,3.44,-0.26,0.26,-,3.27,3.27,-,-
2,Revenue,241.35,319.64,289.6,242.6,267.94,208.56,212.85,237.72,273.15,386.86,366.79,466.47,431.72,506.72,458.04,427.25,389.27,389.27,331.58,254.07
3,Revenue Growth (YoY),-9.92%,53.26%,36.05%,2.05%,-1.91%,-46.09%,-41.97%,-49.04%,-36.73%,-23.65%,-19.92%,9.18%,10.90%,30.17%,38.14%,68.16%,-,-,-,-
4,Cost of Revenue,-143.52,48.97,53.81,40.73,37.7,27.6,34.19,33.25,38.03,43.27,49.14,49.68,56.13,28.47,34.7,40.89,-132.54,-132.54,368.21,17.78
5,Gross Profit,384.87,270.68,235.78,201.87,230.23,180.96,178.66,204.47,235.12,343.6,317.65,416.79,375.59,478.25,423.34,386.37,521.82,521.82,-36.64,236.29
6,"Selling, General & Admin",-381.9,139.58,127.43,114.88,126.2,100.29,96.22,114.88,169.18,205.51,193.18,242.95,264.2,282.79,229.81,195.51,385.99,385.99,-134.4,134.4
7,Research & Development,-225.02,77.24,82.27,65.51,83.75,88.46,84.4,84.14,94.46,91.02,102.77,67.93,79.42,59.03,65.84,43.92,44.39,44.39,-13.41,13.41
8,Other Operating Expenses,733.55,2.33,0.99,1.41,2.29,0.3,-12.19,-9.37,12.63,-1.91,-0.18,-2.71,9.97,0.56,0.75,-1.71,2.67,2.67,1.13,-1.13
9,Operating Expenses,125.04,220.59,209.24,183.41,212.04,189.24,167.39,193.57,279.35,292.82,295.66,308.66,351.08,342.79,298.3,237.88,432.78,432.78,-145.26,145.26
10,Operating Income,259.83,50.09,26.54,18.46,18.2,-8.28,11.27,10.89,-44.23,50.78,21.99,108.12,24.51,135.46,125.03,148.49,89.03,89.03,108.63,91.03
11,Interest Expense,-38.6,-2.99,-3.12,-3.88,-1.88,-0.76,-2.19,-1.86,-0.55,-0.32,-0.14,-0.16,-0.28,-0.26,-0.26,-0.26,-0.92,-0.92,-1.59,-1.28
12,Interest & Investment Income,9.99,17.95,8.09,12.57,24.48,20.71,15.44,19.1,24.34,23.9,24,18.93,8.02,4.94,4.14,3.07,6.7,6.7,1.28,1.59
13,Currency Exchange Gain (Loss),-,0.41,-0.41,-,3.33,-3.65,3.65,-,-0.13,1.16,-1.16,-,-1.1,-0.19,0.19,-,-0.73,-0.73,-,-
14,Other Non Operating Income (Expenses),0.82,0.92,-1.16,0.69,-2.96,13.17,-7.9,6.13,-2.45,-4.33,2.33,-0.71,-4.94,1.46,-0.92,0.23,1.29,1.29,0.45,-2.55
15,EBT Excluding Unusual Items,232.03,66.37,29.95,27.84,41.16,21.19,20.26,34.26,-23.02,71.19,47.01,126.18,26.21,141.41,128.17,151.52,95.38,95.38,108.77,88.79
16,Gain (Loss) on Sale of Investments,-115.5,115.5,-,-,6.44,-,-,-,2.33,-,-,-,6.16,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,1.25,-1.24,-0.01,-,-0,-0,0,-,-0.03,0.01,-0.01,-,-0.02,-,-,-,-0.41,-0.41,-,-
18,Asset Writedown,9.6,-9.6,-1.82,1.82,2.52,-2.52,0.77,-0.77,3.5,-3.5,1.35,-1.35,1.85,-1.84,1.44,-1.45,-,-,1.75,-1.75
19,Other Unusual Items,-21.25,7.7,5.41,8.15,8.84,-4.84,4.84,-,14.72,-,-,-,24.25,-,-,-,4.47,4.47,-,-
20,Pretax Income,106.13,178.72,33.53,37.8,58.96,13.83,25.88,33.48,-2.5,67.71,48.35,124.83,58.44,139.57,129.62,150.08,99.45,99.45,110.52,87.04
21,Income Tax Expense,-4,20.16,16.2,-7.08,8.37,-6.33,-4.31,-4.91,-16.13,2.05,-2.15,5.63,-0.35,10.12,6.66,15.41,9.39,9.39,21.49,14.37
22,Earnings From Continuing Operations,110.13,158.56,17.33,44.88,50.59,20.16,30.19,38.4,13.63,65.66,50.51,119.19,58.79,129.45,122.96,134.66,90.06,90.06,89.03,72.67
23,Minority Interest in Earnings,-6.59,3.58,1.45,1.56,0.26,0.08,0.12,-,-,-,-,-,-,-,-,-,0.75,0.75,-0.37,0.37
24,Net Income,103.54,162.14,18.78,46.44,50.85,20.24,30.31,38.4,13.63,65.66,50.51,119.19,58.79,129.45,122.96,134.66,90.81,90.81,88.66,73.03
25,Net Income to Common,103.54,162.14,18.78,46.44,50.85,20.24,30.31,38.4,13.63,65.66,50.51,119.19,58.79,129.45,122.96,134.66,90.81,90.81,88.66,73.03
26,Net Income Growth,103.64%,701.17%,-38.04%,20.94%,273.10%,-69.18%,-40.00%,-67.79%,-76.82%,-49.28%,-58.92%,-11.49%,-35.26%,42.54%,38.68%,84.39%,-,-,-,-
27,Shares Outstanding (Basic),434,394,447,422,424,412,432,427,427,412,423,426,411,360,352,364,360,360,-,365
28,Shares Outstanding (Diluted),434,394,447,422,424,412,432,427,427,412,423,426,411,360,352,364,360,360,-,365
29,Shares Change (YoY),2.36%,-4.43%,3.52%,-1.05%,-0.80%,-0.14%,2.21%,0.22%,3.94%,14.68%,20.24%,16.96%,14.17%,-0.12%,-,-0.33%,-,-,-,-
30,EPS (Basic),0.24,0.41,0.04,0.11,0.12,0.05,0.07,0.09,0.03,0.16,0.12,0.28,0.14,0.36,0.35,0.37,0.25,0.25,-,0.20
31,EPS (Diluted),0.24,0.41,0.04,0.11,0.12,0.05,0.07,0.09,0.03,0.16,0.12,0.28,0.14,0.36,0.35,0.37,0.25,0.25,-,0.20
32,EPS Growth,98.93%,738.30%,-40.15%,22.22%,276.10%,-69.14%,-41.29%,-67.86%,-77.70%,-55.77%,-65.84%,-24.32%,-43.30%,42.71%,-,85.00%,-,-,-,-
33,Free Cash Flow,-,95.13,3.54,-47.23,-5.13,-109.91,35.48,-150.23,-172.12,-22.52,-106.23,33.32,-11.57,5.43,-10.97,30.02,-,-,-,15.28
34,Free Cash Flow Per Share,-,0.24,0.01,-0.11,-0.01,-0.27,0.08,-0.35,-0.40,-0.05,-0.25,0.08,-0.03,0.02,-0.03,0.08,-,-,-,0.04
35,Dividend Per Share,-,-,-,-,0.213,-,-,-,0.235,-,-,-,0.211,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-9.36%,-,-,-,11.37%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,159.46%,84.68%,81.42%,83.21%,85.93%,86.77%,83.94%,86.01%,86.08%,88.82%,86.60%,89.35%,87.00%,94.38%,92.42%,90.43%,134.05%,134.05%,-11.05%,93.00%
38,Operating Margin,107.66%,15.67%,9.17%,7.61%,6.79%,-3.97%,5.29%,4.58%,-16.19%,13.13%,6.00%,23.18%,5.68%,26.73%,27.30%,34.75%,22.87%,22.87%,32.76%,35.83%
39,Profit Margin,42.90%,50.73%,6.48%,19.14%,18.98%,9.70%,14.24%,16.15%,4.99%,16.97%,13.77%,25.55%,13.62%,25.55%,26.84%,31.52%,23.33%,23.33%,26.74%,28.74%
40,Free Cash Flow Margin,-,29.76%,1.22%,-19.47%,-1.91%,-52.70%,16.67%,-63.20%,-63.01%,-5.82%,-28.96%,7.14%,-2.68%,1.07%,-2.40%,7.03%,-,-,-,6.01%
