,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,340.89,379.93,275.57,242.63,234.24,191.97,224.65,246.42,244.92,254.3,361.86,315.03,317.75,392.11,371.6,347.82,280.07,281.12,195.93
1,Other Revenue,-1.24,1.24,-,0.96,-0.13,0.13,-,0.26,-0.02,0.02,-,0.2,-,-,-,0.52,-,-0.09,0.09
2,Revenue,339.65,381.17,275.57,243.58,234.11,192.1,224.65,246.68,244.9,254.32,361.86,315.23,317.75,392.11,371.6,348.35,280.07,281.03,196.02
3,Revenue Growth (YoY),45.08%,98.42%,22.67%,-1.26%,-4.41%,-24.47%,-37.92%,-21.75%,-22.93%,-35.14%,-2.62%,-9.51%,13.45%,39.52%,89.58%,-,-,-,-
4,Cost of Revenue,308.02,340.35,242.13,211.93,191.59,163.93,186.53,211.23,206.15,215.18,311.23,267.9,279.05,342.52,322.73,293.57,236.39,241.97,163.19
5,Gross Profit,31.63,40.82,33.44,31.65,42.52,28.17,38.12,35.45,38.75,39.14,50.63,47.33,38.7,49.59,48.87,54.78,43.68,39.06,32.83
6,"Selling, General & Admin",18.2,16.83,12.71,17.26,11.48,11.88,10.66,15.13,10.67,13.12,10.25,12.66,12.68,10.77,9.85,9.54,8.63,10.89,6.64
7,Research & Development,18.63,13.15,10.05,19.33,5.37,5.95,8.3,13.01,7.01,9.89,8,7.89,7.34,7.86,7.47,9.4,5.25,3.21,3.03
8,Other Operating Expenses,-0.94,1,-1.65,-4.43,1.28,0.72,0.57,3.19,-0.95,0.45,0.76,5.96,-2.56,1.01,-0.05,1.86,0.98,0.77,0.45
