,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,572.62,891.25,470.03,415.38,608.06,676.08,432.7,451.57,-,343.22,243.09,439.81,513.18,141.8,90.73,156.35,-,-,-
1,Trading Asset Securities,244.67,104.4,191.32,50.38,219.28,173.83,223.89,119.06,-,208.49,248.3,58.32,18.24,3.23,-,7.5,-,-,-
2,Cash & Short-Term Investments,817.3,995.65,661.34,465.76,827.34,849.92,656.59,570.64,-,551.71,491.39,498.13,531.42,145.03,90.73,163.85,-,-,98.1
3,Cash Growth,-1.21%,17.15%,0.72%,-18.38%,-,54.05%,33.62%,14.56%,-,280.41%,441.59%,204.00%,-,-,-7.52%,-,-,-,-
4,Accounts Receivable,364.41,359.31,280.38,264.59,275.91,260.41,323.57,341.14,-,398.33,432.13,330.55,359.49,341.93,413.25,373.84,-,-,-
5,Other Receivables,54.02,94.46,67.87,97.62,88.94,71.73,5.07,7.55,-,9.41,15.97,17.97,15.73,13.56,6.05,7.57,-,-,-
6,Receivables,418.43,453.78,348.25,362.21,364.85,332.14,328.65,348.69,-,407.74,448.1,348.52,375.22,355.49,419.31,381.41,-,-,-
7,Inventory,142.52,227.47,221.58,133.7,101.14,97.78,92.44,104.91,-,110.52,127.32,105.31,114.51,103.48,93.98,82.47,-,-,-
8,Prepaid Expenses,-,-,-,1.11,-,-,-,0.35,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,94.63,6.1,18.51,16.23,8.8,4.68,9,2.98,-,10.56,2.93,1.44,4.36,16.47,8.04,5.69,-,-,-
10,Total Current Assets,1473,1683,1250,979,1302,1285,1087,1028,-,1081,1070,953.4,1026,620.46,612.06,633.42,-,-,-
11,"Property, Plant & Equipment",979.18,405.16,347.06,315.18,294.89,294.13,290.76,291.74,-,274.46,267.61,239.92,206.51,201.4,190.27,158.77,-,-,-
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,-,-,-
13,Other Intangible Assets,46.71,47.12,47.45,47.85,48.13,34.32,34.65,34.7,-,35.33,35.51,35.75,36.07,36.11,36.42,36.6,-,-,-
14,Long-Term Deferred Tax Assets,19.76,16.41,13.13,11.27,7.43,6.92,6.55,6.77,-,8.32,8.7,7.85,5.37,5.2,5.03,4.15,-,-,-
15,Long-Term Deferred Charges,1.25,1.28,1.41,1.48,1.66,1.33,1.42,1.51,-,1.66,1.76,1.87,5.67,5.45,5.27,5.71,-,-,-
16,Other Long-Term Assets,330.2,470.25,456.52,374.97,66.94,7.04,5.86,6.56,-,8.41,7.28,4.65,5.68,7.64,11.77,7.13,-,-,-
17,Total Assets,2850,2623,2115,1730,1721,1628,1426,1369,-,1409,1395,1247,1289,880.26,864.82,849.8,-,-,-
18,Accounts Payable,206.86,288.37,210.44,153.99,140.4,135.04,182.92,221.46,-,305.6,299.8,183.04,189.14,255.2,278.63,263.85,-,-,-
19,Accrued Expenses,9.96,16.7,8.7,17.7,7.23,7.36,5.78,16.48,-,9.65,8.45,19.79,7.3,8.18,9.32,15.19,-,-,-
20,Short-Term Debt,490.27,495.27,370,225.21,230,231.5,166.5,70.5,-,65.84,63.58,49.32,144.38,146.38,133.39,156.46,-,-,-
21,Current Portion of Long-Term Debt,109.11,97.1,-,73.8,-,49.6,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,3.52,101.05,2.94,59.45,1.73,1.63,1.84,-,1.63,1.79,1.31,-,-,-,-,-,-,-
23,Current Income Taxes Payable,1.91,1.46,2.44,0.34,7.81,1.19,2.67,2.11,-,5.43,10.35,8.12,3.29,6.85,4.39,4.75,-,-,-
24,Current Unearned Revenue,5.07,7.77,5.26,1.68,1.46,1.51,0.65,1.06,-,0.24,0.53,0.29,0.25,0.51,3.13,0.17,-,-,-
