,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3213,3077,2994,3341,3806,4599,3449,2534,2105,2022,2431,2498,2881,2988,-,-,-,-,-,-
1,Market Cap Growth,-33.10%,-33.10%,-13.19%,31.87%,80.77%,127.48%,41.89%,1.43%,-26.92%,-32.34%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3776,3223,3061,2933,3397,4137,2965,2059,1630,1539,2006,2111,2494,2990,-,-,-,-,-,-
3,Last Close Price,43.73,41.82,40.68,45.31,51.61,62.81,47.10,34.52,28.68,27.55,32.98,33.89,39.09,40.54,-,-,-,-,-,-
4,PE Ratio,196.96,-,69.22,72.71,72.88,72.81,49.48,33.27,25.79,20.73,27.02,25.51,29.20,31.16,-,-,-,-,-,-
5,PS Ratio,2.59,2.48,2.64,3.53,4.25,5.12,3.80,2.61,1.90,1.72,1.95,1.80,2.06,2.09,-,-,-,-,-,-
6,PB Ratio,3.02,2.89,2.79,3.13,3.61,4.39,3.35,2.48,2.09,-,2.52,2.62,3.09,3.32,-,-,-,-,-,-
7,P/TBV Ratio,3.02,3.02,2.92,3.28,3.78,4.60,3.47,2.56,2.17,-,2.62,2.72,3.21,3.46,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,22.55,-857.89,-,-45.29,-,-,-,-,-,-,-
9,P/OCF Ratio,188.85,-,53.15,103.92,-,135.94,-,22.62,25.54,11.68,29.11,-,130.40,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.05,2.60,2.70,3.10,3.80,4.61,3.26,2.12,1.47,1.31,1.61,1.52,1.79,2.09,-,-,-,-,-,-
11,EV/EBITDA Ratio,83.48,73.28,47.03,40.19,42.93,52.25,35.82,23.81,17.85,14.42,19.62,18.03,21.25,23.54,-,-,-,-,-,-
12,EV/EBIT Ratio,204.05,-,75.62,59.78,61.14,73.96,48.40,31.28,22.51,17.19,23.25,20.58,24.22,26.27,-,-,-,-,-,-
13,EV/FCF Ratio,-4.11,-,-,-,-,-,-,-,-,17.16,-707.91,-,-39.21,-,-,-,-,-,-,-
14,Debt / Equity Ratio,1.29,1.29,1.06,0.68,0.40,0.40,0.38,0.17,0.08,-,0.07,0.07,0.06,0.16,0.34,0.33,0.42,-,-,0.17
15,Debt / EBITDA Ratio,30.51,117.38,23.32,9.78,8.27,4.36,4.86,1.74,1.55,-,0.73,0.56,0.48,1.56,0.97,1.11,1.08,-,-,0.50
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-24.21,-,-0.82,-,-6.88,-,93.41,-,-,-
17,Asset Turnover,0.50,0.64,0.57,0.56,0.56,0.50,0.64,-,-,0.73,1.10,0.99,1.17,1.80,1.73,-,-,-,-,
18,Inventory Turnover,9.05,6.66,6.06,5.45,7.22,7.71,6.89,7.56,-,-,7.24,10.70,9.75,10.24,13.88,14.63,-,-,-,-
19,Quick Ratio,1.24,1.24,1.46,1.29,1.52,2.23,2.43,2.54,2.65,-,2.25,2.25,2.91,2.37,1.12,1.10,1.15,-,-,-
20,Current Ratio,1.48,1.48,1.69,1.60,1.80,2.43,2.64,2.81,2.96,-,2.54,2.56,3.27,2.68,1.38,1.32,1.34,-,-,-
21,Return on Equity (ROE),-3.21%,3.68%,3.95%,1.76%,7.07%,4.89%,6.59%,-,-,7.92%,9.41%,13.74%,10.43%,26.10%,23.69%,-,-,-,-,
22,Return on Assets (ROA),-0.28%,0.46%,1.64%,0.75%,2.74%,2.11%,3.42%,-,-,3.11%,4.87%,4.47%,4.71%,9.67%,7.61%,-,-,-,-,
23,Return on Capital (ROIC),-0.33%,0.54%,1.92%,0.88%,3.19%,2.47%,4.19%,-,-,4.25%,6.41%,5.58%,6.31%,15.27%,12.26%,-,-,-,-,
24,Return on Capital Employed (ROCE),1.00%,-,2.49%,3.68%,4.68%,4.72%,5.36%,6.34%,7.09%,-,8.77%,10.50%,10.77%,12.57%,28.26%,27.80%,28.62%,-,-,-
25,Earnings Yield,0.51%,0.53%,1.44%,1.38%,1.37%,1.37%,2.02%,3.01%,3.88%,4.82%,3.70%,3.92%,3.42%,3.21%,-,-,-,-,-,-
26,FCF Yield,-28.57%,-29.84%,-19.00%,-15.80%,-11.77%,-1.86%,-0.33%,2.68%,0.46%,4.43%,-0.12%,-0.54%,-2.21%,-3.44%,-,-,-,-,-,-
27,Dividend Yield,0.16%,-,-,-,0.14%,-,-,-,0.39%,-,-,-,0.35%,-,-,-,-,-,-,-
28,Payout Ratio,171.87%,-,122.49%,35.71%,73.36%,19.37%,82.44%,2.65%,5.05%,41.59%,2.95%,2.25%,3.85%,9.03%,9.42%,-,3.86%,4.31%,4.87%,151.45%
29,Buyback Yield / Dilution,-1.09%,-1.82%,4.48%,-2.75%,-4.40%,-0.40%,-0.67%,1.75%,1.99%,-19.45%,-32.99%,-35.43%,-34.81%,-12.41%,1.40%,-0.29%,-,-,-,-
30,Total Shareholder Return,-0.93%,-1.82%,4.48%,-2.75%,-4.26%,-0.40%,-0.67%,1.75%,2.38%,-19.45%,-32.99%,-35.43%,-34.46%,-12.41%,1.40%,-0.29%,-,-,-,-
