,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2277,1811,1783,1982,2356,2333,2342,1920,1783,1877,2002,2131,2563,2493,-,-,-,-,-,-
1,Market Cap Growth,-22.40%,-22.40%,-23.88%,3.22%,32.08%,24.32%,17.02%,-9.88%,-30.41%,-24.72%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2262,1671,1644,1795,2169,1978,1926,1586,1449,1452,1347,1454,1886,2338,-,-,-,-,-,-
3,Last Close Price,17.71,14.08,13.69,14.95,17.77,17.60,17.67,14.12,13.12,13.80,14.72,15.67,18.85,18.02,-,-,-,-,-,-
4,PE Ratio,28.16,22.01,-,16.35,27.03,39.86,58.70,-241.17,-,-,-,23.01,25.12,19.75,-,-,-,-,-,-
5,PS Ratio,1.34,1.05,1.06,1.19,1.48,1.56,1.59,1.40,1.34,1.41,1.53,1.62,1.99,1.99,-,-,-,-,-,-
6,PB Ratio,1.77,1.41,1.38,1.53,1.86,1.86,1.89,1.52,1.45,1.50,1.60,1.68,2.05,1.97,-,-,-,-,-,-
7,P/TBV Ratio,1.89,1.89,1.86,2.04,2.52,2.52,2.58,2.06,1.98,2.05,2.15,1.75,2.14,2.05,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-11.56,-,-16.78,-,-,-,-5.81,-,-,-,-49.14,-,-,-,-,-,-,-
9,P/OCF Ratio,27.09,-,463.73,-,51.44,-,12.70,-,29.24,-,600.60,-,179.26,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.31,0.97,0.98,1.08,1.36,1.32,1.31,1.16,1.09,1.09,1.03,1.11,1.47,1.87,-,-,-,-,-,-
11,EV/EBITDA Ratio,22.37,17.63,-,17.72,-,16.51,18.52,20.65,25.13,25.70,-,12.71,14.61,13.66,-,-,-,-,-,-
