,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,403.47,334.28,419.95,559.97,356.24,327.29,348.14,462.87,337.78,221.28,304.8,448.31,310.09,228.92,275.55,429.97,237.18,230.82,227.3
1,Other Revenue,-6.96,6.96,-,4.87,-4.02,4.02,-,1.23,-10.84,10.84,-,21.81,-12.04,12.04,-,6.09,-2.86,1.69,1.17
2,Revenue,396.51,341.24,419.95,564.84,352.22,331.31,348.14,464.09,326.94,232.12,304.8,470.12,298.04,240.96,275.55,436.05,234.32,232.51,228.47
3,Revenue Growth (YoY),12.57%,3.00%,20.62%,21.71%,7.73%,42.73%,14.22%,-1.28%,9.70%,-3.67%,10.62%,7.81%,27.19%,3.63%,20.61%,-,-,-,-
4,Cost of Revenue,237.5,248.49,274.8,401.78,213.2,230.47,217.86,308.08,199.48,155.45,188.95,319.92,169.37,157.6,159.5,267.6,131.37,148.93,142.2
5,Gross Profit,159.01,92.75,145.15,163.06,139.02,100.84,130.29,156.01,127.46,76.67,115.85,150.2,128.67,83.36,116.05,168.46,102.96,83.58,86.27
6,"Selling, General & Admin",100.48,95,88.42,155.92,88.45,88.24,77.36,126.53,90.15,96.33,76.29,122.83,72.91,57.15,63.8,97.68,50.73,44.45,48.66
7,Research & Development,6.46,8.93,5.21,9.68,7.32,6.83,5.92,10.25,9.12,6.93,5.55,11.12,9.34,7.34,4.52,11.9,5.48,5.8,3.07
8,Other Operating Expenses,1.94,2.21,2.19,4.48,1.58,0.97,1.2,5.98,1.37,0.67,1.22,3.59,1.44,1.49,1.85,4.98,1.18,0.7,2.15
9,Operating Expenses,112.7,101.39,96.61,168.98,99.75,97.79,81.96,145.05,102.73,102.11,85.38,139.11,88.37,64.19,70.15,114.5,59.67,48.75,55.26
10,Operating Income,46.31,-8.65,48.54,-5.92,39.27,3.05,48.33,10.96,24.73,-25.44,30.47,11.08,40.31,19.17,45.9,53.96,43.29,34.83,31.01
11,Interest Expense,-0.2,-0.34,-0.18,-0.39,-,-0.2,-0.17,-0.24,-0.2,-0.22,-0.24,-0.64,-0.15,-0.28,-,-,-,-,-
12,Interest & Investment Income,0.52,0.34,0.62,1.63,0.53,1.53,1.05,2.5,0.62,2.02,1.54,2.81,1.45,0.97,0.81,0.55,0.25,0.48,0.15
13,Currency Exchange Gain (Loss),-0,0,-,-0,-0,0,-,-0,0,-0,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-0.43,-0.2,-0.31,-1.26,0.74,26.72,-0.3,-1.12,0.63,-0.61,-0.34,-0.74,-0.72,0.25,-0.39,-2.83,-0.15,0.83,-0.63
15,EBT Excluding Unusual Items,46.2,-8.85,48.67,-5.94,40.54,31.1,48.91,12.1,25.77,-24.25,31.44,12.53,40.88,20.11,46.32,51.68,43.39,36.15,30.53
16,Gain (Loss) on Sale of Investments,0.01,-,-,-0.26,0.26,-,-,-1.24,0.37,0.87,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.43,-,-,0.05,-0,0.1,-,0.07,-,-0.02,-0.03,-0.04,-,-0,-,-0.03,-,-,-
18,Asset Writedown,-32.3,8.81,-8.82,23.02,-23.08,11.27,-11.27,28.09,-28.33,1.81,-1.85,17.07,-17.05,5.2,-5.38,12.8,-12.82,-0.01,-
19,Other Unusual Items,48.92,-47.27,47.82,-26.17,-,-,-,-63.8,-,-,-,-0.02,-,-,-,4.03,-,-0.9,0.9
20,Pretax Income,15.89,-0.8,87.67,17.7,17.73,42.48,37.64,-24.78,-2.19,-21.59,29.56,29.53,23.83,25.31,40.94,68.47,30.57,35.23,31.43
21,Income Tax Expense,6.84,1.2,23.05,7.41,1.08,13.19,7.13,-6.37,-0.29,-3.07,5.98,-0.01,5.15,4.49,7.96,14.71,4.28,6.87,6.13
22,Earnings From Continuing Operations,9.05,-2,64.62,10.29,16.65,29.29,30.51,-18.41,-1.9,-18.52,23.57,29.55,18.67,20.82,32.97,53.77,26.29,28.36,25.3
23,Minority Interest in Earnings,0.09,0.05,0.08,0.06,0.18,0.07,0.09,0.15,0.1,0.02,-,-,-,-,-,-,-,-,-
24,Net Income,9.13,-1.94,64.7,10.35,16.83,29.37,30.6,-18.26,-1.8,-18.5,23.57,29.55,18.67,20.82,32.97,53.77,26.29,28.36,25.3
25,Net Income to Common,9.13,-1.94,64.7,10.35,16.83,29.37,30.6,-18.26,-1.8,-18.5,23.57,29.55,18.67,20.82,32.97,53.77,26.29,28.36,25.3
26,Net Income Growth,-45.71%,-,111.47%,-,-,-,29.79%,-,-,-,-28.50%,-45.04%,-28.98%,-26.60%,30.33%,-,-,-,-
27,Shares Outstanding (Basic),131,129,132,131,136,128,133,136,728,123,131,133,119,97,98,97,100,99,98
28,Shares Outstanding (Diluted),131,129,132,131,136,128,133,136,728,123,131,133,119,97,98,97,100,99,98
29,Shares Change (YoY),-4.27%,1.40%,-0.74%,-3.87%,-81.24%,3.95%,1.58%,2.58%,509.17%,26.14%,33.34%,36.98%,20.05%,-1.91%,-0.18%,-,-,-,-
30,EPS (Basic),0.07,-0.02,0.49,0.08,0.12,0.23,0.23,-0.13,-0.00,-0.15,0.18,0.22,0.16,0.21,0.34,0.55,0.26,0.29,0.26
31,EPS (Diluted),0.07,-0.02,0.49,0.08,0.12,0.23,0.23,-0.13,-0.00,-0.15,0.18,0.22,0.16,0.21,0.34,0.55,0.26,0.29,0.26
32,EPS Growth,-43.29%,-,113.04%,-,-,-,27.78%,-,-,-,-46.38%,-59.88%,-40.84%,-25.17%,30.57%,-,-,-,-
