,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,626068,411711,271949,323362,461072,452920,110764,326269,576706,522704,243621,365548,665961,521687,477692,280094,745359,390840,274522,220927,Upgrade
1,Revenue Growth (YoY),35.79%,-9.10%,145.52%,-0.89%,-20.05%,-13.35%,-54.53%,-10.75%,-13.40%,0.19%,-49.00%,30.51%,-10.65%,33.48%,74.01%,26.78%,55.37%,-33.68%,-1.31%,-24.24%,Upgrade
2,Cost of Revenue,416343,328931,214416,250888,376270,304119,63557,280033,433337,361975,203218,308415,478745,321361,410298,218468,560041,332810,187079,162988,Upgrade
3,Gross Profit,209725,82780,57533,72474,84802,148800,47207,46235,143369,160729,40402,57134,187216,200326,67395,61626,185318,58031,87443,57939,Upgrade
4,"Selling, General & Admin",70017,30365,27486,28966,44483,36074,24505,28603,64381,39212,24566,28538,64921,32124,24466,25420,47494,24488,18487,22809,Upgrade
5,Operating Expenses,70017,30365,27486,28966,44483,36074,24505,28603,64381,39212,24566,28538,64921,32124,24466,25420,47494,24488,18487,22809,Upgrade
6,Operating Income,139709,52415,30046,43508,40318,112727,22701,17632,78988,121517,15836,28595,122295,168202,42929,36206,137824,33543,68955,35130,Upgrade
7,Interest Expense,-1073,-3332,-5651,-4013,-4573,-3280,-4716,-4752,-5743,-,-,-4224,-4482,-3951,-5087,-6147,-33500,-8096,-1967,-6823,Upgrade
8,Interest & Investment Income,-,46715,34929,27554,42404,35643,60736,37118,92929,-,-,25460,93557,69584,35018,25823,71637,54612,29751,27582,Upgrade
9,Earnings From Equity Investments,-7901,21083,21288,21493,22386,25224,8494,26289,-39282,18934,23495,26791,-35880,-31459,16805,37041,-14614,5885,18378,28047,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,1567,-1482,-,-,2045,-65.43,-,-,2611,2473,-,-3070,2047,1455,-,-,1621,Upgrade
11,Other Non Operating Income (Expenses),137587,-811,535.76,161.95,84758,-277.29,66920,202604,392137,26229,26335,282746,3148,2132,-580.08,2267,310549,118611,311882,156176,Upgrade
12,EBT Excluding Unusual Items,268321,116070,81149,90272,183812,170036,154136,280937,518963,166681,65666,361979,181111,204508,86015,97236,473351,204555,426999,241734,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,395.6,-,-,-231.72,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,378.95,-,-,-440,18394,-,-,-,12566,-,7814,-,21749,-,-,13706,Upgrade
15,Other Unusual Items,-,-,-,-,40,-,-,3062,-,-,-,-,4116,-,4116,-,-,-,-,-,Upgrade
16,Pretax Income,268321,116070,81149,90272,184231,170036,154136,283559,537357,166681,65666,361979,197793,204508,97945,97236,495495,204555,426999,255208,Upgrade
17,Income Tax Expense,26318,11889,10818,11833,28194,25675,26765,50039,102988,26225,9840,62902,24687,33944,16642,8829,95560,34672,83087,43890,Upgrade
18,Earnings From Continuing Operations,242003,104181,70331,78438,156037,144361,127371,233520,434369,140456,55827,299077,173105,170564,81303,88408,399936,169884,343912,211318,Upgrade
19,Minority Interest in Earnings,-8543,-5904,-5705,-5361,-7192,-23091,-5732,-5562,-13061,-18871,-4371,-3988,-672.27,-25555,-5002,-4638,-19060,-4905,-14186,-4980,Upgrade
20,Net Income,233461,98277,64626,73077,148844,121270,121639,227958,421308,121585,51455,295089,172433,145008,76301,83770,380875,164978,329726,206338,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,35863,-,-,-,1145,-,-,-,42410,-,-,-,77369,-,-,-,Upgrade
22,Net Income to Common,233461,98277,64626,73077,112981,121270,121639,227958,420163,121585,51455,295089,130023,145008,76301,83770,303506,164978,329726,206338,Upgrade
23,Net Income Growth,56.85%,-18.96%,-46.87%,-67.94%,-64.67%,-0.26%,136.40%,-22.75%,144.33%,-16.15%,-32.56%,252.26%,-54.73%,-12.10%,-76.86%,-59.40%,-,-62.91%,442.37%,96.76%,Upgrade
24,Shares Outstanding (Basic),183,135,135,135,135,135,135,135,149,136,135,135,148,135,135,135,150,135,136,135,Upgrade
25,Shares Outstanding (Diluted),183,135,135,135,135,135,135,135,149,136,135,135,148,135,135,135,150,135,136,135,Upgrade
26,Shares Change (YoY),35.30%,-0.10%,0.02%,-,-8.90%,-0.04%,0.03%,-,0.33%,0.11%,-0.07%,-,-1.34%,-0.04%,-0.02%,-,10.80%,4.30%,-24.51%,39.54%,Upgrade
27,EPS (Basic),1273.99,726.00,477.00,539.32,834.17,895.00,898.00,1682.36,2826.15,897.00,380.00,2177.79,877.46,1071.00,563.11,618.23,2020.83,1218.00,2433.00,1522.80,Upgrade
28,EPS (Diluted),1273.99,726.00,477.00,539.32,834.17,895.00,898.00,1682.36,2826.15,897.00,380.00,2177.79,877.46,1071.00,563.11,618.23,2020.83,1218.00,2433.00,1522.80,Upgrade
29,EPS Growth,52.72%,-18.88%,-46.88%,-67.94%,-70.48%,-0.22%,136.32%,-22.75%,222.08%,-16.25%,-32.52%,252.26%,-56.58%,-12.07%,-76.86%,-59.40%,-,-64.44%,637.88%,72.77%,Upgrade
30,Free Cash Flow,110897,28438,39040,-15503,67869,117594,-26412,68617,342472,70392,23105,217395,47024,117388,125050,-149812,304726,210252,205599,-26396,Upgrade
31,Free Cash Flow Per Share,605.16,210.08,288.15,-114.41,501.10,867.87,-194.98,506.40,2303.57,519.32,170.63,1604.40,317.34,867.00,922.88,-1105.63,2028.96,1552.25,1517.08,-194.81,Upgrade
32,Dividend Per Share,-,-,-,-,3000.000,-,-,-,1950.000,-,4000.000,-,-,-,2500.000,-,4000.000,-,2500.000,-,Upgrade
33,Dividend Growth,-,-,-,-,53.85%,-,-,-,-,-,60.00%,-,-,-,0%,-,-,-,-,-,Upgrade
34,Gross Margin,33.50%,20.11%,21.16%,22.41%,18.39%,32.85%,42.62%,14.17%,24.86%,30.75%,16.58%,15.63%,28.11%,38.40%,14.11%,22.00%,24.86%,14.85%,31.85%,26.23%,Upgrade
35,Operating Margin,22.32%,12.73%,11.05%,13.45%,8.74%,24.89%,20.50%,5.40%,13.70%,23.25%,6.50%,7.82%,18.36%,32.24%,8.99%,12.93%,18.49%,8.58%,25.12%,15.90%,Upgrade
36,Profit Margin,37.29%,23.87%,23.76%,22.60%,24.50%,26.78%,109.82%,69.87%,72.86%,23.26%,21.12%,80.73%,19.52%,27.80%,15.97%,29.91%,40.72%,42.21%,120.11%,93.40%,Upgrade
37,Free Cash Flow Margin,17.71%,6.91%,14.36%,-4.79%,14.72%,25.96%,-23.85%,21.03%,59.38%,13.47%,9.48%,59.47%,7.06%,22.50%,26.18%,-53.49%,40.88%,53.79%,74.89%,-11.95%,Upgrade
38,EBITDA,174373,90374,66685,78655,83213,140225,56488,51371,112038,152403,50237,54495,150416,196313,77751,57952,159575,63017,94718,61104,Upgrade
39,EBITDA Margin,27.85%,21.95%,24.52%,24.32%,18.05%,30.96%,51.00%,15.74%,19.43%,29.16%,20.62%,14.91%,22.59%,37.63%,16.28%,20.69%,21.41%,16.12%,34.50%,27.66%,Upgrade
40,D&A For EBITDA,34664,37959,36638,35148,42895,27498,33787,33739,33051,30886,34400,25899,28121,28112,34822,21746,21751,29474,25762,25973,Upgrade
41,EBIT,139709,52415,30046,43508,40318,112727,22701,17632,78988,121517,15836,28595,122295,168202,42929,36206,137824,33543,68955,35130,Upgrade
42,EBIT Margin,22.32%,12.73%,11.05%,13.45%,8.74%,24.89%,20.50%,5.40%,13.70%,23.25%,6.50%,7.82%,18.36%,32.24%,8.99%,12.93%,18.49%,8.58%,25.12%,15.90%,Upgrade
43,Effective Tax Rate,9.81%,10.24%,13.33%,13.11%,15.30%,15.10%,17.36%,17.65%,19.17%,15.73%,14.98%,17.38%,12.48%,16.60%,16.99%,9.08%,19.29%,16.95%,19.46%,17.20%,Upgrade
44,Revenue as Reported,626068,411711,271949,323362,461072,452920,110764,326269,576706,522704,243621,365548,665961,521687,477692,280094,745359,390840,274522,220927,Upgrade
