,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,190404,164643,75878,129599,145836,143196,185262,104794,165825,96543,217719,159849,139214,133710,177049,73166,427964,158361,112407,242223,Upgrade
1,Short-Term Investments,1683004,1892730,2010987,2001148,1997490,1884281,1928668,2185644,2233782,1804982,1896614,2057006,1897920,1934119,1833890,1828610,2070504,1446731,1525634,1299794,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1335,1284,1051,Upgrade
3,Cash & Short-Term Investments,1873408,2057373,2086865,2130747,2143326,2027477,2113931,2290438,2399608,1901525,2114333,2216855,2037134,2067829,2010938,1901776,2498468,1606427,1639325,1543068,Upgrade
4,Cash Growth,-12.59%,1.47%,-1.28%,-6.97%,-10.68%,6.62%,-0.02%,3.32%,17.79%,-8.04%,5.14%,16.57%,-18.46%,28.72%,22.67%,23.25%,52.51%,14.34%,100.00%,84.25%,Upgrade
5,Accounts Receivable,82345,49267,31784,55219,52893,45857,38634,46301,56229,29780,36574,46097,64913,39920,35611,69507,63220,34036,88951,50791,Upgrade
6,Other Receivables,67803,86625,127566,87519,101502,109305,134916,166711,142700,58957,84975,150092,138076,116336,95651,76560,101471,60770,81508,72017,Upgrade
7,Receivables,150148,143440,167008,150164,161800,162569,183018,222454,208478,98309,130900,205377,212263,165419,140507,155316,174089,104178,179825,132247,Upgrade
8,Inventory,416594,296911,269284,270458,325592,297381,247210,263404,320514,366280,319384,268367,336157,383403,374816,362863,293974,327544,294148,311764,Upgrade
9,Prepaid Expenses,5245,30950,29300,7873,1644,28387,82568,40100,1283,2772,15806,4931,5407,17253,28674,6131,6901,60668,92298,32886,Upgrade
10,Other Current Assets,127446,135528,133901,133435,129196,129194,131989,137629,128012,146555,164916,173046,147406,160359,165525,151704,137325,165985,161657,157883,Upgrade
11,Total Current Assets,2572841,2664202,2686357,2692676,2761559,2645009,2758715,2954025,3057894,2515440,2745338,2868576,2738366,2794263,2720460,2577790,3110757,2264803,2367253,2177849,Upgrade
12,"Property, Plant & Equipment",2275563,2224911,2247081,2255960,2265541,2268694,2235342,2269186,2289579,2286787,2249006,2241588,2274166,2250205,2280631,2318314,2354290,2344589,2343555,2386692,Upgrade
13,Long-Term Investments,551311,608496,513132,487598,572751,581904,406061,399323,381903,591805,399800,392953,376444,420305,433093,436380,413997,813691,563973,464560,Upgrade
14,Other Intangible Assets,478.23,504.62,533.76,561.55,589.18,617.09,642,672.39,700.54,729.4,755.93,782.91,811.34,837.84,518.17,273.22,288.35,299.55,170.43,178.8,Upgrade
15,Long-Term Deferred Tax Assets,35208,25480,24611,26012,28977,28438,25179,27928,27934,24988,25112,27440,25370,32373,30085,31114,29026,28875,28947,30015,Upgrade
16,Other Long-Term Assets,508281,518118,522840,526925,531116,524829,562629,568696,575288,568482,604137,606022,611927,576276,619530,625687,630566,655570,660153,536133,Upgrade
17,Total Assets,5943683,6041711,5994555,5989733,6160532,6049491,5988567,6219830,6333299,5988231,6024149,6137362,6027084,6074260,6084317,5989558,6538925,6107827,5964052,5595427,Upgrade
18,Accounts Payable,46548,26826,64786,29088,46966,47374,50391,34939,77016,59370,69437,25471,49962,58117,38006,22065,52358,35382,29706,54315,Upgrade
19,Accrued Expenses,326502,70106,53041,53361,157435,93657,54592,93969,186746,339966,143571,238002,183796,300339,277055,92413,146482,206263,214151,178562,Upgrade
20,Short-Term Debt,60000,121687,153068,239530,224586,96477,138973,212052,109169,170235,231290,196550,157156,43784,84282,136683,93732,116925,174103,68807,Upgrade
21,Current Portion of Long-Term Debt,-,44578,26528,39863,52207,-,-,-,9375,9375,9375,9375,18750,-,10151,11785,22639,1329,12032,13361,Upgrade
