,Fiscal Quarter,Q1 2016,Q1 2015,Q4 2014,Q4 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Mar '16 Mar 31, 2016","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Revenue,19527,15451,151244,78556,26331,33036,62190,50335
1,Revenue Growth (YoY),-25.84%,-53.23%,143.20%,56.07%,-,-,-,-
2,Cost of Revenue,16554,12172,140785,68512,25400,30384,55514,44003
3,Gross Profit,2973,3279,10459,10044,930.88,2652,6676,6332
4,"Selling, General & Admin",1971,1622,2527,1616,3555,2489,2017,2372
5,Operating Expenses,1971,1622,2527,1616,3555,2489,2017,2372
6,Operating Income,1002,1658,7932,8428,-2625,163.22,4658,3960
7,Interest Expense,-940.44,-1620,-2131,-3445,-2230,-2983,-3857,-3443
8,Interest & Investment Income,22.37,16.32,29.62,37.21,25.9,97.61,8.01,16.25
9,Other Non Operating Income (Expenses),-53.23,4.53,-208.35,93.14,-158.87,-79.43,-33.86,-24.68
10,Pretax Income,30.71,58.22,5622,5114,-4987,-2801,775.89,508.06
11,Income Tax Expense,9.05,15.1,461.96,171.75,-,-,205.04,135.8
12,Net Income,21.66,43.12,5160,4942,-4987,-2801,570.85,372.26
13,Net Income to Common,21.66,43.12,5160,4942,-4987,-2801,570.85,372.26
14,Net Income Growth,-,-,803.87%,1227.50%,-,-,-,-
15,Shares Outstanding (Basic),5,2,2,2,2,2,2,2
16,Shares Outstanding (Diluted),5,2,2,2,2,2,2,2
17,Shares Change (YoY),135.16%,1.48%,0.07%,0.01%,-,-,-,-
18,EPS (Basic),4.17,19.23,2334.62,2236.15,-2256.92,-1267.69,258.46,168.46
19,EPS (Diluted),4.17,19.23,2334.62,2236.15,-2256.92,-1267.69,258.46,168.46
20,EPS Growth,-,-,803.27%,1227.40%,-,-,-,-
21,Free Cash Flow,469.31,10148,-,-,-3068,-3068,5152,5152
22,Free Cash Flow Per Share,90.32,4525.73,-,-,-1388.28,-1388.24,2332.72,2331.51
23,Gross Margin,15.22%,21.22%,6.92%,12.79%,3.54%,8.03%,10.73%,12.58%
24,Operating Margin,5.13%,10.73%,5.24%,10.73%,-9.97%,0.49%,7.49%,7.87%
25,Profit Margin,0.11%,0.28%,3.41%,6.29%,-18.94%,-8.48%,0.92%,0.74%
26,Free Cash Flow Margin,2.40%,65.68%,-,-,-11.65%,-9.29%,8.28%,10.24%
27,EBITDA,1890,2797,9120,-,-1305,1482,6081,5382
28,EBITDA Margin,9.68%,18.10%,6.03%,-,-4.96%,4.49%,9.78%,10.69%
29,D&A For EBITDA,888.07,1139,1188,-,1319,1319,1422,1422
30,EBIT,1002,1658,7932,8428,-2625,163.22,4658,3960
31,EBIT Margin,5.13%,10.73%,5.24%,10.73%,-9.97%,0.49%,7.49%,7.87%
32,Effective Tax Rate,29.46%,25.94%,8.22%,3.36%,-,-,26.43%,26.73%
33,Revenue as Reported,19527,15451,151244,78556,26331,33036,62190,50335
