,Fiscal Quarter,Current,Q1 2016,Q1 2015,Q4 2014,Q4 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Mar '25 Mar 10, 2025","Mar '16 Mar 31, 2016","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Market Capitalization,80399,21200,10030,8840,10200,13770,20910,15980,35700
1,Market Cap Growth,339.99%,53.96%,-52.03%,-44.68%,-71.43%,-,-,-,-
2,Enterprise Value,124923,112543,101373,163507,164867,-,-,-,-
3,Last Close Price,6700.00,4042.89,4500.57,3966.61,4576.86,6178.75,9382.55,5878.52,13132.87
4,PE Ratio,-,2.09,1.94,3.82,-4.48,-,-,16.94,95.90
5,PS Ratio,0.64,0.08,0.04,0.03,0.05,0.08,0.14,0.14,0.71
6,PB Ratio,0.67,0.39,0.26,0.23,0.27,0.43,-,-,-
7,P/TBV Ratio,0.66,0.39,0.26,0.23,0.27,0.44,-,-,-
8,P/FCF Ratio,-,2.00,1.42,-,-,-,-,1.55,6.93
9,P/OCF Ratio,-,2.00,1.42,-,-,-,-,1.55,6.93
10,EV/Sales Ratio,1.05,0.43,0.37,0.57,0.82,-,-,-,-
11,EV/EBITDA Ratio,96.17,8.15,9.55,17.59,-,-,-,-,-
12,EV/EBIT Ratio,2834.66,5.92,6.59,11.76,15.52,-,-,-,-
13,EV/FCF Ratio,-4.69,10.60,14.32,-,-,-,-,-,-
14,Debt / Equity Ratio,0.49,1.52,2.49,2.49,3.40,4.91,-,-,-
15,Debt / EBITDA Ratio,45.68,10.85,8.64,2.65,-,-,-,-,-
16,Debt / FCF Ratio,-,7.72,13.65,-,-,-,-,-,-
17,Quick Ratio,0.68,0.54,-,0.45,0.40,0.30,-,-,-
18,Current Ratio,1.26,1.04,-,1.01,1.17,1.05,-,-,-
19,Return on Equity (ROE),-,0.44%,-,-,-,-,-,-,
20,Return on Capital (ROIC),-,3.06%,-,-,-,-,-,-,
21,Return on Capital Employed (ROCE),0.02%,35.27%,-,26.50%,10.71%,-,-,-,-
22,Earnings Yield,-1.46%,47.95%,51.42%,26.17%,-22.31%,-49.71%,-8.89%,5.90%,1.04%
23,FCF Yield,-33.11%,50.08%,70.60%,-,-,30.28%,34.61%,64.48%,14.43%
24,Payout Ratio,0.00%,-,-,-,-,-,-,0.53%,0.82%
25,Buyback Yield / Dilution,-298.21%,-135.16%,-1.48%,-0.07%,-0.01%,-,-,-,-
26,Total Shareholder Return,-298.21%,-135.16%,-1.48%,-0.07%,-0.01%,-,-,-,-
