,Fiscal Quarter,Q1 2016,Q1 2015,Q4 2014,Q4 2013,Q2 2013,Q1 2013,Q2 2012,Q1 2012
,Period Ending,"Mar '16 Mar 31, 2016","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,5264,-,5339,13701,1510,-,-,-
1,Cash & Short-Term Investments,5264,5339,5339,13701,1510,-,-,-
2,Cash Growth,248.54%,-,-,-,-,-,-,-
3,Accounts Receivable,100204,-,114328,100769,97696,-,-,-
4,Other Receivables,27614,-,11586,1978,2344,-,-,-
5,Receivables,127818,-,125914,102747,100040,-,-,-
6,Inventory,98663,-,135407,185365,207541,-,-,-
7,Other Current Assets,25756,-,27392,33760,42911,-,-,-
8,Total Current Assets,257501,-,294052,335573,352003,-,-,-
9,"Property, Plant & Equipment",39489,-,37859,42494,45029,-,-,-
10,Long-Term Investments,-,-,-,-,6932,-,-,-
11,Other Intangible Assets,-,-,-,-,787.84,-,-,-
12,Other Long-Term Assets,4295,-,11948,8981,1924,-,-,-
13,Total Assets,301286,-,343859,387048,406674,-,-,-
14,Accounts Payable,78959,-,81857,94475,91368,-,-,-
15,Accrued Expenses,8739,-,7731,13760,17880,-,-,-
16,Short-Term Debt,82008,-,83084,114037,154877,-,-,-
17,Current Income Taxes Payable,19959,-,32342,30762,27948,-,-,-
18,Other Current Liabilities,57695,-,86392,34762,42012,-,-,-
19,Total Current Liabilities,247359,-,291406,287797,334084,-,-,-
20,Long-Term Debt,-,-,13597,13597,1300,-,-,-
21,Long-Term Unearned Revenue,-,-,-,3.18,-,-,-,-
22,Other Long-Term Liabilities,3,-,3,48140,39493,-,-,-
23,Total Liabilities,247362,-,305007,349538,374877,-,-,-
24,Common Stock,40000,-,17000,17000,17000,-,-,-
25,Additional Paid-In Capital,3300,-,3300,3300,3300,-,-,-
26,Retained Earnings,3541,-,6316,4974,-739.16,-,-,-
27,Comprehensive Income & Other,7082,-,12237,12237,12237,-,-,-
28,Shareholders' Equity,53923,38852,38852,37510,31798,-,-,-
29,Total Liabilities & Equity,301286,-,343859,387048,406674,-,-,-
30,Total Debt,82008,96682,96682,127635,156177,-,-,-
31,Net Cash (Debt),-76744,-91343,-91343,-113934,-154667,-,-,-
32,Net Cash Per Share,-14769.37,-40734.63,-41329.85,-51554.53,-69996.13,-,-,-
33,Filing Date Shares Outstanding,5.2,2.24,2.21,2.21,2.21,2.21,2.21,2.21
34,Total Common Shares Outstanding,5.2,2.24,2.21,2.21,2.21,2.21,2.21,2.21
35,Working Capital,10142,-,2645,47776,17919,-,-,-
36,Book Value Per Share,10377.51,17579.48,17579.48,16973.30,14390.33,-,-,-
37,Tangible Book Value,53923,38852,38852,37510,31010,-,-,-
38,Tangible Book Value Per Share,10377.51,17579.48,17579.48,16973.30,14033.79,-,-,-
39,Construction In Progress,7050,-,118.18,-,808.37,-,-,-
