,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1827,469,960,952,958,949,1110,1127,1173,1115,1028
1,Market Cap Growth,-50.70%,-50.70%,0.16%,0.33%,-13.68%,-15.83%,-5.33%,1.10%,14.07%,5.69%,3.91%
2,PE Ratio,161.62,41.48,37.60,31.31,35.16,29.73,29.57,-9.14,-,27.01,25.34
3,PS Ratio,36.54,9.38,14.43,11.06,11.35,9.74,8.50,-16.63,-15.32,7.88,7.62
4,PB Ratio,2.96,0.76,1.52,1.53,1.53,1.48,1.67,1.35,1.47,1.24,1.16
5,P/FCF Ratio,-,-,-,-,30.50,-,1.91,1.22,1.89,5.54,20.72
6,P/OCF Ratio,-,-,-,-,30.32,-,1.91,1.22,1.89,5.51,19.70
7,Debt / Equity Ratio,0.33,0.33,0.31,0.22,0.23,0.37,0.36,0.28,0.91,1.00,1.03
8,Debt / FCF Ratio,-,-,-,-,4.54,-,0.42,0.26,1.18,4.47,18.42
9,Earnings Yield,0.62%,2.41%,2.66%,3.19%,2.84%,3.36%,3.38%,-10.95%,-11.31%,3.70%,3.95%
10,Earnings Yield,0.62%,2.41%,2.66%,3.19%,2.84%,3.36%,3.38%,-10.95%,-11.31%,3.70%,3.95%
11,FCF Yield,-2.26%,-8.78%,-7.15%,1.60%,3.28%,17.07%,52.39%,82.12%,52.79%,18.04%,4.83%
12,Buyback Yield / Dilution,-0.53%,-1.04%,-0.01%,-,7.14%,0.22%,-8.48%,-0.50%,-0.16%,-5.06%,-7.75%
13,Total Shareholder Return,-0.27%,-1.04%,-0.01%,-,7.14%,0.22%,-8.48%,-0.50%,-0.16%,-5.06%,-7.75%
