,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,15533904,16203057,19405431,19405431,18736279,18162719,18449499,15486108,12140344,10228479,11088818,11423394,16585430,13048480,13526446,13765429,10993225,8507800,6500342,5687799,4301697,Upgrade
1,Market Cap Growth,-10.79%,-10.79%,5.18%,25.31%,54.33%,77.57%,66.38%,35.56%,-26.80%,-21.61%,-18.02%,-17.01%,50.87%,53.37%,108.09%,142.02%,155.56%,1.71%,-30.26%,-48.26%,-56.31%,Upgrade
2,Enterprise Value,3451219,7392139,11972839,12218485,11055784,10202924,9721916,7424876,4150186,2303872,2807783,4227770,10134566,6764459,8182362,8360557,4416815,1266481,-142349,-309776,-3329512,Upgrade
3,Last Close Price,32500.00,33900.00,39846.15,39846.15,38472.15,37294.43,37181.75,31209.55,24466.75,20613.71,22347.58,22276.21,32342.45,25445.21,26377.27,25870.72,20660.64,15989.54,11438.59,10008.77,7569.66,Upgrade
4,PE Ratio,13.14,13.71,24.07,23.89,22.29,24.06,21.66,17.15,17.71,14.89,34.50,32.60,33.48,-,40.20,44.07,25.75,-,8.81,9.43,7.75,Upgrade
5,Forward PE,13.36,13.74,16.31,17.39,18.50,19.19,21.07,19.07,18.96,13.53,11.14,13.08,22.89,19.37,21.20,21.96,17.33,12.47,9.25,7.78,5.15,Upgrade
6,PS Ratio,0.65,0.68,0.93,0.96,0.97,0.94,1.03,0.90,0.74,0.62,0.71,0.71,1.08,0.92,0.90,0.81,0.56,0.42,0.36,0.34,0.27,Upgrade
7,PB Ratio,1.17,1.09,1.39,1.39,1.34,1.34,1.38,1.18,0.92,0.78,0.86,0.91,1.30,1.03,1.03,1.06,0.84,0.66,0.49,0.44,0.33,Upgrade
8,P/TBV Ratio,1.22,1.22,1.48,1.47,1.42,1.42,1.46,1.25,0.98,0.83,0.91,0.96,1.38,1.10,1.10,1.13,0.90,0.70,0.52,0.46,0.35,Upgrade
