,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,386.01,379.44,615.98,-,-,147.97,180.57,239.23,271.36,-,220.52,275.25,178.07,223.14,325.32,468.91,428.26,417.01,525.07,504.9,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,113.39,153.46,182.78,118.79,50.07,176.17,176.32,40.37,70.7,Upgrade
3,Cash & Short-Term Investments,386.01,379.44,615.98,-,-,147.97,180.57,239.23,271.36,-,220.52,388.64,331.53,405.93,444.11,548.98,604.43,593.33,565.43,575.6,Upgrade
4,Cash Growth,-,156.43%,241.12%,-,-,-,-18.12%,-38.44%,-18.15%,-,-50.34%,-29.21%,-45.15%,-31.59%,-21.46%,-4.62%,-2.13%,4.85%,1.82%,1.25%,Upgrade
5,Accounts Receivable,112.8,107.99,121.83,-,-,84.21,103.3,88.05,33.49,-,30.57,27.17,56.61,22.73,17.51,21.82,28.56,46.68,25.84,43.23,Upgrade
6,Other Receivables,18.06,92.69,5.87,-,-,46.11,5.55,16.27,5.96,-,3.86,12.76,8.88,14.47,8.14,18.07,12.36,13.44,16.73,30.05,Upgrade
7,Receivables,130.86,200.68,127.7,-,-,134.06,108.85,106.43,39.45,-,34.43,40.83,65.48,37.2,25.65,39.89,40.92,60.11,42.57,73.28,Upgrade
8,Inventory,141.53,119.55,156.31,-,-,87.71,61.4,66.13,74.22,-,100.67,69.85,82.86,62.7,53.87,45.9,46.18,48.53,58.22,49.16,Upgrade
