,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,1058,1030,831.49,-,856.22,644.45,751.84,857.5,837.74,743.2,783.48,668.32,655.74,324.34,303.97,400.54,412.05,333.78,283.5,470.2,Upgrade
1,Other Revenue,-30.44,30.44,-,-,-12.75,12.75,-,-,-34.45,34.45,-,-,-46.49,46.49,-,25.94,-11.4,11.4,-,10.51,Upgrade
2,Revenue,1027,1060,831.49,-,843.47,657.19,751.84,857.5,803.29,777.65,783.48,668.32,609.26,370.83,303.97,426.49,400.65,345.19,283.5,480.71,Upgrade
3,Revenue Growth (YoY),21.80%,61.31%,10.59%,-,5.00%,-15.49%,-4.04%,28.31%,31.85%,109.70%,157.75%,56.70%,52.07%,7.43%,7.22%,-11.28%,-17.37%,-22.82%,-14.77%,-9.88%,Upgrade
4,Cost of Revenue,845.97,887.07,674.65,-,641.79,565.15,681.99,755.4,734.24,709.45,737.73,566.03,558.85,328.36,285.07,388.06,358.16,309.25,261.75,431.62,Upgrade
5,Gross Profit,181.35,173.08,156.83,-,201.68,92.05,69.85,102.1,69.05,68.2,45.75,102.29,50.41,42.47,18.9,38.43,42.49,35.93,21.74,49.09,Upgrade
6,"Selling, General & Admin",41.23,34.45,35.89,-,42.51,35.83,32.69,41.87,33.55,31.62,23.36,49.59,23.06,17.63,24.5,21.99,19.41,17.59,20.96,33.09,Upgrade
7,Research & Development,20.28,13.36,11.44,-,14.34,11.86,9.93,20.38,7.97,7.49,2.96,7.34,2.17,1.21,1.14,1.78,3.32,0.75,0.52,3.73,Upgrade
8,Other Operating Expenses,104.23,89.6,85.02,-,115.11,1.49,4.33,4.5,4.42,3.7,3.27,2.29,1.5,1.48,1.11,1.94,2.39,1.99,1.54,2.91,Upgrade
9,Operating Expenses,165.96,136.82,131.42,-,172.69,48.03,47.08,69.45,45.88,42.24,30.23,59.28,27.02,20.52,26.59,26.37,23.91,21.05,23.3,39.58,Upgrade
10,Operating Income,15.39,36.26,25.41,-,28.99,44.02,22.77,32.65,23.16,25.96,15.52,43.01,23.39,21.95,-7.7,12.05,18.58,14.89,-1.56,9.51,Upgrade
