,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,6167,6695,6606,5449,5570,5894,5998,6071,6831,5193,4338,3620,5513,2154,1852,1897,2031,2145,2300,2302,2308,Upgrade
1,Market Cap Growth,13.60%,13.60%,10.15%,-10.25%,-18.46%,13.49%,38.27%,67.73%,23.90%,141.11%,134.25%,90.85%,171.43%,0.42%,-19.51%,-17.61%,-11.98%,-9.30%,-10.47%,-24.39%,-3.68%,Upgrade
2,Enterprise Value,6129,6609,6490,5877,5998,6153,6086,5981,6659,5048,4196,3294,5220,1783,1439,1378,1456,1590,1764,1760,1719,Upgrade
3,Last Close Price,16.68,18.11,17.87,14.65,17.98,19.02,19.47,19.71,22.17,17.26,14.42,12.03,18.32,7.16,6.15,6.29,6.74,7.12,7.63,7.61,7.63,Upgrade
4,PE Ratio,58.18,92.38,87.77,69.24,-,57.04,59.40,71.71,85.42,62.35,52.79,44.52,86.42,40.93,36.17,-,74.84,123.66,106.28,-,38.27,Upgrade
5,PS Ratio,1.54,2.29,2.42,2.34,-,1.90,1.95,1.90,2.12,1.71,1.53,1.49,2.82,1.26,1.23,1.28,1.40,1.42,1.44,1.36,1.32,Upgrade
6,PB Ratio,2.85,2.93,2.94,2.44,-,-,5.14,5.42,6.33,4.97,-,3.70,5.81,2.40,2.11,2.20,2.34,2.53,2.77,2.84,2.76,Upgrade
7,P/TBV Ratio,3.53,3.53,3.56,2.90,-,-,7.39,7.94,8.67,6.72,-,4.33,6.72,2.64,2.32,2.41,2.57,2.80,3.07,3.15,2.94,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-13.89,-,-,-,-,-,-,-92.00,115.76,-,-,Upgrade
9,P/OCF Ratio,108.05,95.48,51.32,-,-,28.61,32.57,29.43,62.78,33.92,35.21,-,102.28,-364.74,-,-,22.38,35.85,28.23,79.40,-,Upgrade
10,EV/Sales Ratio,1.64,2.26,2.37,2.52,-,1.98,1.98,1.87,2.07,1.66,1.48,1.35,2.67,1.04,0.96,0.93,1.00,1.05,1.11,1.04,0.99,Upgrade
11,EV/EBITDA Ratio,38.06,53.39,47.66,42.15,-,34.08,36.03,40.59,49.58,36.35,30.32,25.77,50.25,24.70,21.40,-,21.78,24.78,24.09,20.53,18.14,Upgrade
12,EV/EBIT Ratio,60.24,85.76,71.59,59.72,-,47.92,49.64,57.21,68.44,46.89,38.89,31.71,64.72,35.88,32.05,-,33.12,38.38,35.25,-,24.03,Upgrade
13,EV/FCF Ratio,-13.48,-,-,-,-,-,-,-,-,-,-13.44,-,-,-,-,-,-,-68.18,88.78,-,-,Upgrade
14,Debt / Equity Ratio,0.10,0.10,0.08,0.17,-,-,0.26,0.15,0.06,0.01,-,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,Upgrade
