,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,533.61,316.3,229.71,447.49,453.71,451.19,240.21,401.28,398.3,249.2,131.32,358.44,196.71,219.27,79.01,365.21,239.77,137.91,137.91
1,Other Revenue,-7.91,7.91,-,8.97,-1.61,1.61,-,8.8,-15.14,15.14,-,7.37,-3.06,3.06,-,1.67,2.32,0.91,0.91
2,Revenue,525.7,324.21,229.71,456.46,452.11,452.79,240.21,410.08,383.16,264.35,131.32,365.81,193.65,222.34,79.01,366.87,242.09,138.82,138.82
3,Revenue Growth (YoY),16.28%,-28.40%,-4.37%,11.31%,18.00%,71.29%,82.92%,12.10%,97.86%,18.89%,66.20%,-0.29%,-20.01%,60.17%,-43.08%,-,-,-,-
4,Cost of Revenue,350.13,189.06,161.99,252.78,285.15,287.68,170.58,236.63,244.18,166.91,87.05,229.48,111.15,147.9,53.37,240.42,162.62,97.37,97.37
5,Gross Profit,175.56,135.15,67.71,203.68,166.96,165.11,69.63,173.46,138.98,97.43,44.27,136.33,82.5,74.44,25.64,126.45,79.48,41.45,41.45
6,"Selling, General & Admin",84.21,75.76,82.85,76.35,92.15,88.71,72.07,65.04,73.34,52.05,47.92,40.27,36.72,44.39,30.56,38.15,34.16,25.85,25.85
7,Research & Development,14.3,13.02,16.46,14.42,14.98,24.02,23.3,14.62,16.41,13.27,10.16,11.43,8.52,8.11,6.14,10.46,10.24,4.18,4.18
8,Other Operating Expenses,2.5,2.8,2.08,2.71,1.17,0.18,0.69,5.89,1.75,0.88,0.18,4.46,0.64,-0.21,0.25,4.03,1.8,0.87,0.87
