,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2171,2075,1832,2344,2707,2900,3360,3772,3777,4264,4116,5897,-,-,-,-,-,-,-,-
1,Market Cap Growth,-28.44%,-28.44%,-45.47%,-37.85%,-28.35%,-32.00%,-18.37%,-36.03%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2585,2541,2209,2419,2781,2738,2919,3047,3052,3461,3300,5965,-,-,-,-,-,-,-,-
3,Last Close Price,20.56,19.65,17.35,22.08,25.49,27.31,31.65,35.39,35.44,40.00,38.62,55.19,-,-,-,-,-,-,-,-
4,PE Ratio,31.87,31.02,25.04,-,25.22,27.29,30.78,-,36.86,40.40,45.62,-,-,-,-,-,-,-,-,-
5,Forward PE,-,8.38,8.38,11.21,14.32,17.16,25.66,17.64,17.66,22.43,24.75,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.39,1.35,1.25,1.47,1.69,1.86,2.26,2.91,3.18,3.73,4.31,6.46,-,-,-,-,-,-,-,-
7,PB Ratio,1.22,1.16,1.05,1.36,1.54,1.67,1.99,2.29,2.29,2.67,2.66,3.85,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.21,1.21,1.09,1.41,1.60,1.70,2.03,2.33,2.33,2.73,2.72,3.93,-,-,-,-,-,-,-,-
