,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,182.52,154.68,206.54,267.94,317.98,374.97,555.28,252.29,305.82,314.27,328.33,235.62,94.77,49.41,-,149.43,149.43,58.53,58.53
1,Trading Asset Securities,23,-,-,-,-,-,-,405.55,433,502.59,500,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,205.52,154.68,206.54,267.94,317.98,374.97,555.28,657.84,738.82,816.86,828.33,235.62,94.77,49.41,149.43,149.43,149.43,58.53,58.53
3,Cash Growth,-35.37%,-58.75%,-62.80%,-59.27%,-56.96%,-54.10%,-32.96%,179.19%,679.58%,1553.09%,454.31%,57.68%,-36.58%,-15.58%,155.30%,-,-,-,-
4,Accounts Receivable,1623,1515,1434,1469,1382,1309,1156,1169,970.04,839.05,723.16,727.1,650.26,569.14,-,503.08,503.08,556.03,556.03
5,Other Receivables,19.66,22.64,22.76,15.64,22.91,17.57,22.25,19.1,19.25,19.81,21.93,18.73,4.94,2.95,-,12.87,12.87,3.4,3.4
6,Receivables,1642,1537,1457,1485,1405,1327,1178,1189,989.29,858.86,745.1,745.82,655.19,572.09,-,515.95,515.95,559.43,559.43
7,Inventory,411.3,379.51,286.94,274.91,296.53,326.98,308.43,265.76,241.48,204.26,170.27,149.88,176.55,143.41,-,120.59,120.59,161.18,161.18
8,Other Current Assets,111.71,92.7,59.16,86.45,77.94,72.51,44.63,21.28,29.94,12.66,20.33,8.98,16.63,14.53,-,8.51,8.51,31,31
9,Total Current Assets,2371,2164,2010,2114,2097,2101,2086,2133,2000,1893,1764,1140,943.15,779.45,-,794.49,794.49,810.15,810.15
10,"Property, Plant & Equipment",634.67,625.34,635.64,624.66,597.72,100.34,98.37,100.04,77.16,76.13,49.52,48.19,50.13,47.19,-,35.75,35.75,36.09,36.09
11,Long-Term Investments,10,10,10,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,66.98,67.16,67.58,66.96,32.45,32.69,32.92,33.16,33.4,33.63,33.89,18.98,18.91,19.07,-,19.08,19.08,19.31,19.31
13,Long-Term Deferred Tax Assets,74.1,73.13,58.42,56.56,69.53,59.8,47.38,46.39,25.07,30.34,28.97,29.91,26.58,27.06,-,25.48,25.48,25.52,25.52
14,Long-Term Deferred Charges,24.1,23.31,15.45,12.9,8.66,6.1,3.95,5.01,5.24,3.73,1.3,1.39,3.67,3.33,-,1.87,1.87,1.47,1.47
15,Other Long-Term Assets,11.27,19.45,4.54,5.17,1.24,251.32,50.38,50.38,-,-,-,-,-,-,-,-,-,0.28,0.28
16,Total Assets,3192,2983,2801,2890,2817,2561,2319,2368,2140,2036,1878,1239,1042,876.09,-,876.67,876.67,892.82,892.82
17,Accounts Payable,350.39,260.33,166.27,324.36,312.24,255.28,211.77,318.39,239.72,159.71,120.29,198.98,119.64,91.36,-,112.72,112.72,91.64,91.64
18,Accrued Expenses,19.59,27.7,17.94,52.83,25.84,52.88,17.42,70.82,24.2,26.01,7.27,51.92,21.91,13.62,-,30.81,30.81,17.7,17.7
19,Short-Term Debt,440,511,562.04,409.55,371,200,100,-,-,-,-,112.84,140.14,128.97,-,48.04,48.04,180.85,180.85
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,8.54,-,6.67,1,1,1,-,-,-,-,-
21,Current Portion of Leases,5.24,6.32,7.81,5.83,11.15,8.74,8.45,9.6,-,8.97,-,7.53,6.89,6.21,-,-,-,-,-
22,Current Income Taxes Payable,18.04,9.44,9.58,14.26,24.11,7.37,17.92,25.71,15.41,3.21,0.85,17.85,6.74,2.64,-,3.65,3.65,0.04,0.04
