,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Cash & Equivalents,790.9,382.92,789.72,478,630.93,241.38,399.6,142.88,204.01,163.78
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,111.7
2,Cash & Short-Term Investments,790.9,382.92,789.72,478,630.93,241.38,399.6,142.88,204.01,275.47
3,Cash Growth,0.15%,-19.89%,25.17%,98.03%,57.89%,68.94%,95.87%,-48.13%,-65.04%,-53.73%
4,Accounts Receivable,250.63,164.12,149.38,102.48,98.93,73.7,40.79,35.91,30.69,22.07
5,Other Receivables,129.21,113.1,79.41,58.16,39.1,21.55,14.79,42.79,31.66,41.34
6,Receivables,1200,1007,667.45,228.59,198.02,150.25,114.72,153.88,88.86,90.82
7,Prepaid Expenses,2.65,11.48,3.54,1.64,1.51,7.63,8.28,5.31,1.13,1.93
8,Other Current Assets,11.5,-,-,427.8,285.61,-,38.64,193.29,134.11,-
9,Total Current Assets,2005,1402,1461,1136,1116,399.26,561.25,495.36,428.12,368.22
10,"Property, Plant & Equipment",3923,3794,3624,3483,3353,3359,3322,2537,2368,1938
11,Other Intangible Assets,188,188,188,188,188,188,188,-,-,-
12,Other Long-Term Assets,1138,1232,1185,1147,872.84,1364,982.68,1170,956.91,924.24
13,Total Assets,7254,6620,6458,5954,5870,5311,5054,4203,3754,3351
14,Accrued Expenses,73.64,54.88,53.67,59.76,61.48,49.65,57,35.34,42.68,54.68
15,Current Portion of Long-Term Debt,1728,1334,1439,1504,2026,1549,1594,1287,1294,980.67
16,Current Portion of Leases,-,-,-,-,-,-,-,-,0.14,0.7
17,Current Income Taxes Payable,30.77,25.87,22.03,22.59,18.25,16.24,15.06,16.68,12.03,7.84
18,Current Unearned Revenue,694.99,763.08,680.91,719.36,535.91,632.39,222.92,498.58,91.97,382.84
19,Other Current Liabilities,322.05,299.14,252.08,233.43,242.64,185.01,326.72,294.32,369.45,163.44
20,Total Current Liabilities,2849,2476,2448,2540,2884,2432,2215,2132,1810,1590
21,Long-Term Debt,520.19,545.66,732.16,491.14,366.96,561.64,774.72,457.31,498.81,388.94
22,Long-Term Unearned Revenue,0.29,0.73,1.83,2.83,3.83,3.69,4.83,1.79,2.79,3.54
23,Total Liabilities,3370,3023,3182,3034,3255,2998,2995,2591,2312,1983
24,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
25,Additional Paid-In Capital,516.43,516.43,516.43,516.43,516.43,516.43,516.43,516.43,516.43,516.43
26,Retained Earnings,3178,2893,2572,2220,1918,1615,1365,922.15,757.6,688.42
27,Comprehensive Income & Other,189.14,187.44,187.07,184.28,181.5,181.3,178.48,173.02,167.41,163.58
28,Shareholders' Equity,3884,3597,3276,2921,2616,2313,2059,1612,1441,1368
29,Total Liabilities & Equity,7254,6620,6458,5954,5870,5311,5054,4203,3754,3351
30,Total Debt,2248,1879,2172,1996,2393,2111,2368,1744,1793,1370
31,Net Cash (Debt),-1457,-1496,-1382,-1518,-1762,-1869,-1969,-1602,-1589,-1095
32,Net Cash Per Share,-1.18,-1.22,-1.12,-1.23,-1.44,-1.53,-1.61,-1.32,-1.31,-0.91
33,Filing Date Shares Outstanding,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
34,Total Common Shares Outstanding,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
35,Working Capital,-844.01,-1075,-987.44,-1404,-1768,-2033,-1654,-1637,-1382,-1222
36,Book Value Per Share,3.24,3.00,2.73,2.43,2.18,1.93,1.72,1.34,1.20,1.14
37,Tangible Book Value,3696,3409,3088,2733,2428,2125,1871,1612,1441,1368
38,Tangible Book Value Per Share,3.08,2.84,2.57,2.28,2.02,1.77,1.56,1.34,1.20,1.14
39,Buildings,3361,-,2911,-,2733,-,2500,-,1698,-
40,Machinery,974.15,-,823.11,-,771.76,-,713.19,-,544.36,-
41,Construction In Progress,190.9,-,371.43,-,201.61,-,271.31,-,239.76,-
