,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,193,302,316,560,1216,7368,7434,7501,7550,-,-
1,Market Cap Growth,-46.09%,-46.09%,-74.00%,-92.41%,-83.64%,-1.77%,-1.53%,-,-,-,-
2,Enterprise Value,15928,16554,16192,18233,20948,28519,20749,20437,17799,-,-
3,Last Close Price,0.12,0.19,0.20,0.34,0.75,4.53,4.57,4.60,4.43,-,-
4,PE Ratio,-,-,-,3.93,-,12.47,12.59,9.66,6.62,-,-
5,PS Ratio,0.01,0.02,0.02,0.04,0.09,0.57,0.58,0.85,1.52,-,-
6,PB Ratio,0.04,0.03,0.03,0.05,0.10,0.57,0.59,0.70,1.42,-,-
7,P/TBV Ratio,0.07,0.07,0.07,0.13,0.27,1.56,1.58,1.75,1.72,-,-
8,P/FCF Ratio,3.44,5.38,-,0.26,0.53,14.32,-,-,-,-,-
9,P/OCF Ratio,4.70,4.70,-,0.26,0.53,13.19,-,-,-,-,-
10,EV/Sales Ratio,0.96,0.99,0.84,1.22,1.56,2.22,1.63,2.32,3.59,-,-
11,EV/EBITDA Ratio,17.31,17.76,8.58,11.98,16.13,17.05,13.03,17.83,21.61,-,-
12,EV/EBIT Ratio,17.45,17.70,8.66,12.22,16.39,17.28,13.17,18.05,21.89,-,-
13,EV/FCF Ratio,283.85,295.02,-,8.34,9.20,55.43,-,-,-,-,-
14,Debt / Equity Ratio,0.89,0.89,0.71,0.75,0.87,1.04,1.27,1.37,3.26,5.23,6.10
15,Debt / FCF Ratio,171.66,171.66,-,4.15,4.78,26.14,-,-,-,-3.17,-
16,Return on Capital Employed (ROCE),7.41%,7.41%,12.38%,9.73%,7.32%,7.78%,7.44%,6.71%,9.50%,8.22%,12.57%
17,Earnings Yield,-66.07%,-42.27%,51.55%,25.43%,11.33%,8.02%,7.94%,10.35%,15.11%,-,-
18,FCF Yield,29.08%,18.60%,319.22%,390.87%,187.11%,6.98%,-65.54%,-67.81%,-4.62%,-,-
19,Buyback Yield / Dilution,-0.03%,-,-0.07%,0.50%,0.56%,0.04%,0.11%,-35.88%,-35.97%,-,-
20,Total Shareholder Return,-0.03%,-,-0.07%,0.50%,0.56%,0.04%,0.11%,-35.88%,-35.97%,-,-
