,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,367.04,264.74,701.74,1003,690.63,581.4,282.16,319.37,-,235.97,-
1,Trading Asset Securities,-,1137,1338,964.13,717.65,996.36,1178,171.42,172.15,-,181.37,-
2,Cash & Short-Term Investments,1504,1504,1602,1666,1720,1687,1759,453.58,491.52,-,417.34,452.82
3,Cash Growth,-12.58%,-10.86%,-8.91%,267.27%,249.99%,-,321.49%,0.17%,-,-,-,-
4,Accounts Receivable,-,197.79,196.27,175.77,235.97,208.43,199.92,126.6,129.61,-,66.13,-
5,Other Receivables,-,69.32,66.36,66.06,5.13,1.97,1.89,1.74,1.82,-,-,-
6,Receivables,-,267.11,262.64,241.84,241.1,210.4,201.81,128.34,131.43,-,66.13,-
7,Inventory,-,113.59,95.61,114.91,119.39,145.33,88.67,69.4,65.74,-,135.62,-
8,Other Current Assets,-,52.25,38.87,35.58,27.81,35.11,63.61,38.17,20.61,-,22.57,-
9,Total Current Assets,-,1937,2000,2058,2109,2078,2113,689.48,709.29,-,641.65,-
10,"Property, Plant & Equipment",-,33.39,28.96,26.05,14.32,10.01,11.64,11.91,12.9,-,13.25,-
11,Long-Term Investments,-,7.02,7.02,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,16.7,15.25,9.08,7.04,6.17,6.65,4.92,5.14,-,2.45,-
13,Long-Term Deferred Tax Assets,-,47.23,38.1,24.38,24.8,24.62,18.78,14.36,14.45,-,13.69,-
14,Long-Term Deferred Charges,-,2.07,1.59,0.87,0.97,1.17,1.25,0.73,0.76,-,0.75,-
15,Total Assets,-,2043,2090,2119,2156,2120,2151,721.4,742.54,-,671.79,-
16,Accounts Payable,-,36.22,18.09,25.7,32.5,30.65,12.43,23.91,24.1,-,20.96,-
17,Accrued Expenses,-,6.82,22.19,11.72,8.75,4.95,53.17,8.92,16.75,-,7.19,-
18,Current Portion of Leases,-,7.37,8.94,6.26,2.33,3.48,4.34,5.04,5.53,-,5.18,-
19,Current Income Taxes Payable,-,0.98,-,0.77,-,1,-,0.62,-,-,-,-
20,Current Unearned Revenue,-,0.72,0.71,0.65,1.36,0.92,1.9,0.95,0.74,-,3.08,-
21,Other Current Liabilities,-,31.87,29.66,24.9,25.66,17.92,12.23,5.49,13.64,-,9.01,-
22,Total Current Liabilities,-,83.98,79.59,70,70.6,58.92,84.07,44.92,60.77,-,45.42,-
23,Long-Term Leases,-,7.23,7.44,9.87,2.94,1.05,1.71,1.4,1.61,-,4.08,-
24,Long-Term Unearned Revenue,-,-,-,0.02,0.11,1.63,2.43,4.01,4.42,-,0.67,-
25,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.35,0.4,0.21,0.32,-,0.21,-
26,Total Liabilities,-,91.2,87.03,79.88,73.65,61.95,88.6,50.54,67.12,-,50.37,-
27,Common Stock,-,111.54,111.54,80.01,80.01,80.01,80.01,60,60,-,60,-
28,Additional Paid-In Capital,-,1864,1865,1896,1896,1896,1896,539.09,539.09,-,539.09,-
29,Retained Earnings,-,66.36,82.58,93.22,106.49,82.28,87.28,71.77,76.33,-,22.33,-
30,Treasury Stock,-,-88.9,-54.84,-30.11,-,-,-,-,-,-,-,-
31,Comprehensive Income & Other,-,-1.01,-0.53,-0.01,-,-,-,-,-,-,-,-
32,Shareholders' Equity,1952,1952,2003,2039,2082,2058,2063,670.86,675.42,-,621.41,622.8
33,Total Liabilities & Equity,-,2043,2090,2119,2156,2120,2151,721.4,742.54,-,671.79,-
34,Total Debt,14.6,14.6,16.38,16.12,5.27,4.53,6.05,6.44,7.14,-,9.26,10.79
35,Net Cash (Debt),1489,1489,1586,1650,1715,1682,1753,447.14,484.37,-,408.08,442.04
36,Net Cash Growth,-13.16%,-11.48%,-9.53%,268.95%,254.07%,-,329.58%,1.15%,-,-,-,-
37,Net Cash Per Share,14.23,12.41,15.20,15.10,14.05,14.43,16.80,5.66,5.72,-,3.69,5.26
38,Filing Date Shares Outstanding,104.67,107.67,110.31,111.15,111.15,112.01,112.01,84,84,55.45,84,84.03
39,Total Common Shares Outstanding,104.67,107.67,110.31,111.15,112.01,112.01,112.01,84,84,55.45,84,84.03
40,Working Capital,-,1853,1920,1988,2038,2019,2029,644.56,648.52,-,596.23,-
41,Book Value Per Share,18.13,18.13,18.16,18.34,18.59,18.37,18.42,7.99,8.04,-,7.40,7.41
42,Tangible Book Value,1935,1935,1988,2030,2075,2052,2056,665.94,670.28,-,618.97,620.64
43,Tangible Book Value Per Share,17.97,17.97,18.02,18.26,18.52,18.32,18.36,7.93,7.98,-,7.37,7.39
44,Machinery,-,-,21.21,-,15.63,-,11.13,-,10.31,-,7.79,-
