,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,4155,3526,3188,2966,4157,6158,6881,7695,-,-,-,-,-
1,Market Cap Growth,-42.74%,-42.74%,-53.67%,-61.45%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2666,2037,1602,1316,2475,4475,5128,7247,-,-,-,-,-
3,Last Close Price,38.59,32.75,28.90,26.80,37.02,54.83,61.27,68.52,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,204.21,-,118.40,-,-,-,-,-
5,Forward PE,-,69.94,59.50,55.18,23.94,41.29,52.76,69.88,-,-,-,-,-
6,PS Ratio,10.46,8.72,7.13,6.37,8.54,13.04,14.61,15.14,-,-,-,-,-
7,PB Ratio,2.13,1.81,1.63,1.48,2.04,2.96,3.34,3.73,-,-,-,-,-
8,P/TBV Ratio,1.82,1.82,1.65,1.49,2.05,2.97,3.35,3.74,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-67.15,-,-38.15,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-166.71,-,-40.35,-,-,-,-,-,-,-
11,EV/Sales Ratio,6.60,5.04,3.58,2.83,5.08,9.48,10.89,14.26,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,-284.92,-,183.21,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,196.98,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-29.80,-,-27.73,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,-,0.01,0.02
16,Debt / EBITDA Ratio,-,-,-,-,-,0.22,-,0.23,-,0.13,-,-,-
17,Debt / FCF Ratio,-,-,-,-0.37,-,-0.03,-,-,-,0.21,-,-,-
18,Asset Turnover,-,0.18,0.19,0.18,0.30,0.21,0.34,0.44,-,-,-,-,
19,Inventory Turnover,-,-,2.64,2.97,2.52,3.49,2.76,4.28,3.34,-,-,-,-
20,Quick Ratio,-,-,21.09,23.43,27.25,27.78,32.20,23.32,12.95,10.25,-,10.64,-
21,Current Ratio,-,-,23.06,25.12,29.40,29.87,35.26,25.13,15.35,11.67,-,14.13,-
22,Return on Equity (ROE),-7.09%,-3.28%,-0.55%,-2.57%,4.67%,-0.97%,4.54%,-2.68%,-,-,4.62%,-,
23,Return on Assets (ROA),-,-3.45%,-3.25%,-2.39%,-0.05%,-1.77%,0.43%,-1.86%,-,-,-,-,
24,Return on Capital (ROIC),-2.96%,-3.58%,-3.36%,-2.46%,-0.06%,-1.83%,0.45%,-2.01%,-,-,-1.43%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,1.78%,-,4.46%,-,-,-
26,Earnings Yield,-1.61%,-1.90%,-0.25%,0.11%,0.51%,0.49%,0.42%,0.84%,-,-,-,-,-
27,FCF Yield,-,-1.91%,-1.49%,-3.70%,-2.62%,-2.20%,-0.83%,-,-,-,-,-,
28,Dividend Yield,0.18%,-,-,-,-,0.13%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,0.02%,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-9.01%,14.28%,-2.90%,-0.00%,-38.24%,-44.12%,-110.31%,5.54%,5.94%,-,-,-,-
31,Total Shareholder Return,-8.84%,14.28%,-2.90%,-0.00%,-38.24%,-43.99%,-110.31%,5.54%,5.94%,-,-,-,-
