,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,116.34,94.09,99.06,94.67,159.19,112.47,120.59,80.05,157.92,149.81,77.93,55.48
1,Other Revenue,-,-,-,-,-,-,-,-,0,-0,0,-
2,Revenue,116.34,94.09,99.06,94.67,159.19,112.47,120.59,80.05,157.92,149.81,77.93,55.48
3,Revenue Growth (YoY),-26.92%,-16.34%,-17.86%,18.26%,0.80%,-24.93%,54.74%,44.29%,-,-,-,-
4,Cost of Revenue,-220.91,68.97,78.08,73.86,115.51,80.72,84.64,56.41,111.25,93.95,57.71,37.17
5,Gross Profit,337.25,25.12,20.98,20.82,43.68,31.75,35.95,23.65,46.68,55.87,20.22,18.31
6,"Selling, General & Admin",-46.16,16.56,16.39,13.2,16.88,16.28,13.22,10.97,11.71,9.81,9.15,11.26
7,Research & Development,-107.67,39.86,35.07,32.74,30.91,31.11,22.65,18.06,20.46,15.15,14.49,15.62
8,Other Operating Expenses,511.34,-2.01,-3.9,-1.71,-7.24,-0.72,-3.16,0.21,6.62,-1.59,0.04,-2.61
9,Operating Expenses,360.52,53.63,48.34,41.23,44.14,46.89,33.47,29.1,39.05,23.73,23.85,24.01
10,Operating Income,-23.27,-28.51,-27.36,-20.42,-0.46,-15.13,2.48,-5.45,7.63,32.14,-3.62,-5.7
11,Interest Expense,-7.04,-0.13,-0.13,-0.16,-0.19,-0.05,-0.06,-0.07,-0.07,-0.09,-0.09,-0.09
12,Interest & Investment Income,0.42,1.51,1.88,3.65,3.93,2.08,3.59,1.66,1.47,1.53,1.72,1.61
13,Currency Exchange Gain (Loss),-,0.17,-0.17,-,0.28,-1.38,1.38,-,6.68,-3.71,3.71,-
14,Other Non Operating Income (Expenses),1.22,-1.23,0.1,-0.22,-0.69,0.54,1.3,-1.37,-8.76,8.41,0.26,-0.3
15,EBT Excluding Unusual Items,-28.66,-28.18,-25.69,-17.15,2.86,-13.94,8.69,-5.24,6.95,38.28,1.98,-4.49
16,Gain (Loss) on Sale of Investments,-19.87,7.2,7.71,4.96,7.25,7.36,2.32,0.93,1.41,1.02,1.37,-
17,Gain (Loss) on Sale of Assets,-0.09,0.03,0.06,-,-0.03,0.01,-0.01,-,-0.05,0.11,0.01,0.19
18,Asset Writedown,4.49,-4.49,0.65,-0.65,4.31,-4.31,0.27,-0.27,2.78,-2.78,3.79,-3.79
19,Other Unusual Items,-0.88,0.09,0.79,-,9.28,-,-,-,5.64,-,-,-
20,Pretax Income,-45.01,-25.36,-16.48,-12.84,23.67,-10.89,11.28,-4.58,16.74,36.63,7.14,-8.09
21,Income Tax Expense,-10.42,-9.13,-13.72,0.42,-0.48,-5.88,-4.24,-0.07,-6.11,5.49,-0.05,0.49
22,Net Income,-34.59,-16.23,-2.76,-13.26,24.15,-5,15.52,-4.51,22.84,31.14,7.19,-8.58
23,Net Income to Common,-34.59,-16.23,-2.76,-13.26,24.15,-5,15.52,-4.51,22.84,31.14,7.19,-8.58
24,Net Income Growth,-,-,-,-,5.74%,-,115.84%,-,-,-,-,-
25,Shares Outstanding (Basic),105,120,104,109,122,117,104,79,85,55,110,84
26,Shares Outstanding (Diluted),105,120,104,109,122,117,104,79,85,55,110,84
27,Shares Change (YoY),-14.28%,2.90%,0.00%,38.24%,44.12%,110.31%,-5.54%,-5.94%,-,-,-,-
28,EPS (Basic),-0.33,-0.14,-0.03,-0.12,0.20,-0.04,0.15,-0.06,0.27,0.56,0.07,-0.10
29,EPS (Diluted),-0.33,-0.14,-0.03,-0.12,0.20,-0.04,0.15,-0.06,0.27,0.56,0.07,-0.10
30,EPS Growth,-,-,-,-,-26.63%,-,128.49%,-,-,-,-,-
31,Free Cash Flow,-,-67.88,10.64,-28.93,25.16,-51.05,-98.85,-36.67,35.53,36.46,-17.88,-20.33
32,Free Cash Flow Per Share,-,-0.57,0.10,-0.26,0.21,-0.44,-0.95,-0.46,0.42,0.66,-0.16,-0.24
33,Dividend Per Share,-,-,-,-,0.071,-,-,-,-,-,-,-
34,Gross Margin,289.89%,26.70%,21.18%,21.99%,27.44%,28.23%,29.81%,29.54%,29.56%,37.29%,25.95%,33.01%
