,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,24945117,25252008,30052004,23314998,22570616,22126161,24042649,21214481,22051958,24329090,27653355,26689145,20177088,18542925,22701645,17570498,15509658,15937440,15627037,17060830,Upgrade
1,Revenue Growth (YoY),10.52%,14.13%,24.99%,9.90%,2.35%,-9.05%,-13.06%,-20.51%,9.29%,31.20%,21.81%,51.90%,30.09%,16.35%,45.27%,2.99%,-8.63%,-16.29%,-23.22%,-8.46%,Upgrade
2,"Selling, General & Admin",1766528,1317131,1725508,803156,1105598,997768,852529,1062835,1035401,813703,716363,952578,1360258,627936,736220,887242,801449,667735,609786,633240,Upgrade
3,Other Operating Expenses,20900958,21068590,24316338,19623883,18512337,18444529,19699873,16372247,17183140,19932078,20741127,21552667,16650437,15135595,18919437,14301033,12840929,13031056,13224776,13632188,Upgrade
4,Total Operating Expenses,22667486,22385721,26041847,20427039,19617934,19442296,20552402,17435082,18218541,20745781,21457490,22505245,18010695,15763531,19655656,15188275,13642379,13698791,13834561,14265428,Upgrade
5,Operating Income,2277631,2866287,4010157,2887959,2952682,2683865,3490247,3779400,3833417,3583310,6195865,4183900,2166392,2779394,3045989,2382224,1867280,2238649,1792476,2795402,Upgrade
6,Interest Expense,-57220,-68861,-229063,-108404,-109925,-105613,-95220,-62075,-95893,-67534,-91456,-81978,-96616,-85169,-69540,-52814,-24809,-16711,-25454,-34245,Upgrade
7,Interest Income,419753,409126,444796,441132,457321,594196,598487,479624,333053,437068,379926,223252,250860,415852,58907,236259,259255,383944,377620,306744,Upgrade
8,Net Interest Expense,362533,340265,215734,332728,347395,488583,503267,417548,237160,369534,288470,141274,154244,330683,-10633,183445,234446,367233,352166,272499,Upgrade
9,Income (Loss) on Equity Investments,12624,11897,13507,-221.26,8691,8629,9978,-570.96,10184,11723,10706,-794.44,5864,6441,3746,-998.76,-1486,250.19,-808.72,-9306,Upgrade
