,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,160004560,159536026,171483658,175930659,184198940,173404239,208314775,177997741,195223329,194266352,210534962,221061710,207281240,184122394,185653558,177997741,171681692,165748434,136464935,132062840,104884690,Upgrade
1,Market Cap Growth,-8.00%,-8.00%,-17.68%,-1.16%,-5.65%,-10.74%,-1.05%,-19.48%,-5.82%,5.51%,13.40%,24.19%,20.74%,11.09%,36.04%,34.78%,63.69%,-7.58%,-32.93%,-29.23%,-44.20%,Upgrade
2,Enterprise Value,131490341,119697669,133328701,140331649,150570573,141028299,174982151,148561386,168346341,168622691,183282927,197131792,186274418,163444143,160777137,155281398,148876602,142683095,106162834,104679552,79397864,Upgrade
3,PE Ratio,15.69,15.34,15.75,16.37,17.41,15.19,17.71,14.34,13.61,13.47,15.96,17.57,21.25,22.03,22.84,23.02,23.89,21.96,15.52,13.68,9.58,Upgrade
4,PS Ratio,1.54,1.54,1.69,1.79,2.00,1.93,2.33,1.94,2.05,1.93,2.13,2.38,2.35,2.33,2.50,2.48,2.66,2.58,2.08,1.92,1.43,Upgrade
5,PB Ratio,2.66,2.59,2.87,2.48,2.71,2.66,3.32,2.64,3.02,3.18,3.63,3.65,3.72,3.53,3.70,3.72,3.33,3.35,2.86,2.47,2.02,Upgrade
6,P/FCF Ratio,22.50,23.18,18.98,17.23,16.32,14.47,20.16,17.11,17.27,18.02,21.03,29.95,40.98,64.66,70.34,238.38,-,52.51,-,20.82,11.96,Upgrade
7,P/OCF Ratio,18.33,18.33,15.40,14.54,14.57,12.54,17.51,14.77,15.71,15.19,16.72,21.43,22.02,24.24,26.44,29.33,27.26,22.61,15.10,12.61,8.75,Upgrade
8,EV/Sales Ratio,1.27,1.16,1.32,1.43,1.64,1.57,1.96,1.62,1.77,1.67,1.85,2.12,2.11,2.07,2.16,2.17,2.30,2.22,1.62,1.52,1.08,Upgrade
9,EV/EBITDA Ratio,8.90,8.04,8.56,9.10,10.08,8.86,10.42,8.36,8.23,8.10,9.61,10.82,12.24,12.15,12.17,12.45,13.53,12.69,8.42,7.63,5.10,Upgrade
10,EV/EBIT Ratio,10.89,9.94,10.48,11.20,12.53,10.93,12.69,10.12,9.68,9.48,11.36,12.86,15.30,15.76,15.96,16.29,17.98,16.41,10.51,9.39,6.13,Upgrade
