,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,5649483,12082560,7555301,6074928,5668895,10851523,12499180,12714014,10549338,10206279,9054658,8648444,5300331,5994119,5947561,6457578,5237247,6819916,12531543,5277467,Upgrade
1,Short-Term Investments,27412531,32721751,36364277,36537764,35084646,28908511,28268091,24165495,23726499,25793995,27617479,25048929,24799826,23594579,25650533,21594238,21613236,19913350,21109300,25891000,Upgrade
2,Accounts Receivable,18091571,18389782,21834163,19461922,15747440,15040331,18000189,16903292,15343200,16734451,19786402,19879674,15995607,13837797,14316651,12562964,9464892,9200297,9365488,9592677,Upgrade
3,Other Receivables,673877,763273,1074304,1090967,899787,843364,837229,859949,671450,608196,708451,628724,562467,472776,616069,487416,392112,689719,467994,1101004,Upgrade
4,Inventory,4598951,2382245,2783945,2539448,3944544,2397612,2338733,2127765,4102442,2536825,2107155,2094569,3241216,2376664,1990374,1977431,1662573,1814694,1541174,1901852,Upgrade
5,Prepaid Expenses,46023,47995,70000,69044,60533,61065,68739,75944,83671,100142,85691,89258,70496,96221,525866,111647,57559,60093,61267,64393,Upgrade
6,Other Current Assets,823408,895611,788110,684883,811906,1026389,972420,1105554,1175109,1349128,1033935,801809,1424781,1319454,1166370,1039219,1044609,1269308,1313078,1320040,Upgrade
7,Total Current Assets,57295844,67283218,70470101,66458956,62217752,59128795,62984582,57952012,55651708,57329016,60393770,57191407,51394724,47691610,50213422,44230493,39472227,39767378,46389844,45148433,Upgrade
8,"Property, Plant & Equipment",19570573,19688440,20253843,20609532,20925719,20972153,21288597,21413325,21954040,22060965,22434260,22579916,22559098,22136586,22411487,22345837,21638064,20066518,18892274,18444512,Upgrade
