,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1595,1891,1955,3350,3887,4937,6370,9984,8225,10645,-
1,Market Cap Growth,-43.57%,-43.57%,-49.72%,-32.14%,-38.98%,-50.55%,-22.55%,-6.21%,-,-,-
2,Enterprise Value,-448,294,477,1232,1817,2277,3244,6851,5275,10006,-
3,Last Close Price,1.25,1.15,1.18,1.95,2.11,2.52,2.98,4.57,3.71,4.77,-
4,PE Ratio,-,-10.27,-,-,6.12,6.49,8.38,16.51,16.24,31.31,-
5,Forward PE,-,4.29,5.48,4.86,4.59,4.99,7.12,12.07,12.62,-,-
6,PS Ratio,0.50,0.59,0.62,1.06,1.09,1.17,1.44,2.63,2.61,4.54,-
7,PB Ratio,0.80,0.88,0.82,1.22,1.12,1.40,1.70,2.93,2.55,3.65,-
8,P/TBV Ratio,1.07,1.07,0.98,1.43,1.29,1.63,1.94,3.31,2.66,3.78,-
9,P/FCF Ratio,2.42,2.87,-19.74,-,11.73,-,-,15.52,26.65,41.77,-
10,P/OCF Ratio,2.82,2.82,-23.01,-,11.14,-,-,14.82,24.62,39.56,-
11,PEG Ratio,0.37,0.37,0.37,0.29,0.46,0.19,0.19,0.26,0.26,-,-
12,EV/Sales Ratio,0.09,0.09,0.15,0.39,0.51,0.54,0.73,1.80,1.67,4.27,-
13,EV/EBITDA Ratio,-,-5.80,-,-,2.22,2.23,3.05,8.62,8.05,21.90,-
14,EV/EBIT Ratio,-,-3.38,-,-,2.35,2.34,3.18,8.95,8.27,22.57,-
15,EV/FCF Ratio,-0.68,0.45,-4.82,-,5.49,-,-,10.65,17.09,39.26,-
16,Debt / Equity Ratio,0.04,0.04,0.03,0.03,0.03,0.04,0.02,0.01,0.01,0.01,0.01
17,Debt / FCF Ratio,0.12,0.12,-0.75,-,0.29,-,-,0.03,0.08,0.11,0.01
18,Return on Capital Employed (ROCE),-,-3.31%,-,-,21.34%,26.08%,25.84%,21.65%,19.29%,14.79%,68.20%
19,Earnings Yield,-11.54%,-9.74%,-32.37%,-0.88%,16.35%,15.40%,11.94%,6.06%,6.16%,3.19%,-
20,FCF Yield,41.35%,34.89%,-5.07%,0.99%,8.52%,-4.13%,2.89%,6.44%,3.75%,2.39%,-
21,Dividend Yield,27.75%,29.60%,27.69%,14.20%,19.06%,21.00%,16.20%,7.05%,6.63%,1.38%,-
22,Buyback Yield / Dilution,-0.31%,-0.02%,0.39%,0.18%,0.48%,1.27%,0.05%,-26.70%,-43.26%,-14.10%,-
23,Total Shareholder Return,27.45%,29.58%,28.08%,14.38%,19.55%,22.27%,16.25%,-19.65%,-36.63%,-12.71%,-
