,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,509,616,805,1090,1151,1174,1151,1251,1113,1179,1309,Upgrade
1,Market Cap Growth,-43.54%,-43.54%,-30.00%,-7.11%,0%,-6.21%,3.36%,6.10%,-14.95%,-23.36%,-8.27%,Upgrade
2,Enterprise Value,3302,3378,3557,3802,3820,3823,3775,3774,3511,3429,3469,Upgrade
3,Last Close Price,1.77,2.10,2.68,3.55,3.69,3.63,3.46,3.68,3.18,3.29,3.54,Upgrade
4,PE Ratio,-,-,-,4.41,3.20,1.68,1.82,8.26,-,-,3.00,Upgrade
5,PS Ratio,1.02,1.24,1.65,2.39,2.62,2.74,2.83,3.39,3.17,3.27,3.53,Upgrade
6,PB Ratio,0.06,0.07,0.09,0.12,0.13,0.13,0.13,0.15,0.14,0.14,0.16,Upgrade
7,P/FCF Ratio,3.83,3.83,4.95,7.49,6.90,7.09,8.09,8.35,7.38,7.60,7.83,Upgrade
8,P/OCF Ratio,3.83,3.83,4.95,7.49,6.90,7.09,8.09,8.35,7.38,7.60,7.83,Upgrade
9,EV/Sales Ratio,6.64,6.79,7.30,8.33,8.68,8.92,9.27,10.23,9.98,9.52,9.37,Upgrade
10,EV/EBITDA Ratio,19.67,20.84,22.05,25.13,23.23,24.08,26.45,25.01,22.73,20.85,20.35,Upgrade
11,EV/EBIT Ratio,27.35,27.98,29.92,36.10,33.10,35.10,37.11,31.17,26.55,23.53,22.59,Upgrade
12,EV/FCF Ratio,21.03,21.03,21.88,26.13,22.89,23.09,26.52,25.20,23.27,22.09,20.75,Upgrade
13,Debt / Equity Ratio,0.30,0.30,0.29,0.28,0.28,0.29,0.29,0.31,0.30,0.29,0.26,Upgrade
14,Debt / FCF Ratio,16.23,16.23,15.87,17.72,15.43,15.67,17.65,16.99,16.14,15.54,12.73,Upgrade
15,Earnings Yield,-91.80%,-75.93%,-23.05%,22.68%,31.30%,59.50%,55.06%,12.11%,-14.01%,9.54%,33.33%,Upgrade
16,FCF Yield,26.09%,26.09%,20.18%,13.35%,14.50%,14.10%,12.37%,11.97%,13.55%,13.17%,12.77%,Upgrade
17,Dividend Yield,4.52%,4.76%,4.49%,3.38%,5.42%,7.16%,6.36%,5.99%,6.92%,6.69%,6.21%,Upgrade
18,Total Shareholder Return,4.52%,4.76%,4.49%,3.38%,5.42%,7.16%,6.36%,5.99%,6.92%,6.69%,6.21%,Upgrade
