,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,194.21,53.02,282.1,184.69,1070,182.39,-,194.31,-,-,-,178.03,178.03,48.52,48.52
1,Short-Term Investments,-,28.77,-,296.81,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,756.84,862.24,342.52,493.68,150.04,-,-,-,-,-,-,-,-,100.96,100.96
3,Cash & Short-Term Investments,951.05,944.04,624.62,975.17,1220,182.39,194.31,194.31,-,-,178.03,178.03,178.03,149.47,149.47
4,Cash Growth,-22.05%,417.59%,221.45%,401.86%,-,-,9.14%,9.14%,-,-,19.11%,-,-,-,-
5,Accounts Receivable,166.74,168.68,176.83,192.97,189.12,189.08,-,175.12,-,-,-,100.7,100.7,79.34,79.34
6,Other Receivables,1.78,1.49,1.95,1.28,1.26,1.53,-,0.89,-,-,-,0.94,0.94,0.97,0.97
7,Receivables,168.52,170.17,178.78,194.26,190.38,190.61,-,176.01,-,-,-,101.64,101.64,80.31,80.31
8,Inventory,39.31,41.81,41.38,34.53,33.15,32.18,-,27.97,-,-,-,27.28,27.28,26.82,26.82
9,Prepaid Expenses,-,-,-,0.31,-,-,-,0.28,-,-,-,-,-,-,-
10,Other Current Assets,2.72,3.12,335.45,3.59,5.46,7.85,-,6.34,-,-,-,4.51,4.51,0.96,0.96
11,Total Current Assets,1162,1159,1180,1208,1449,413.03,-,404.92,-,-,-,311.46,311.46,257.56,257.56
12,"Property, Plant & Equipment",17.91,17.19,15,15.09,13.35,12.5,-,12.3,-,-,-,12.38,12.38,11.37,11.37
13,Long-Term Investments,0.47,312.47,0.49,275.25,0.56,0.58,-,0.67,-,-,-,0.7,0.7,0.81,0.81
14,Other Intangible Assets,0.76,0.64,0.69,0.73,0.77,0.82,-,0.89,-,-,-,0.35,0.35,0.39,0.39
15,Long-Term Deferred Tax Assets,3.64,3.52,4.14,3.96,3.64,3.11,-,3.25,-,-,-,1.5,1.5,1.18,1.18
16,Other Long-Term Assets,332.33,10.48,285.94,6.03,6.53,6.37,-,5.63,-,-,-,0.14,0.14,0.14,0.14
17,Total Assets,1517,1503,1486,1509,1474,436.4,-,427.65,-,-,-,326.53,326.53,271.45,271.45
18,Accounts Payable,10.95,14.56,13.52,15.55,11.05,11.55,-,14.07,-,-,-,7.46,7.46,8.21,8.21
19,Accrued Expenses,8.54,5.26,4.34,19.15,25.76,8.87,-,19.97,-,-,-,12.05,12.05,5.95,5.95
