,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,43.16,33.79,17.07,69.52,46.88,65.9,16.49,85.76,46.7,34.64,34.64,47.79,47.79,26.96,26.96
1,Other Revenue,-0.35,0.35,-,0.47,-0.31,0.31,-,0.36,-0.14,0.07,0.07,0.11,0.11,0.12,0.12
2,Revenue,42.81,34.14,17.07,69.99,46.56,66.21,16.49,86.12,46.56,34.71,34.71,47.89,47.89,27.08,27.08
3,Revenue Growth (YoY),-8.07%,-48.44%,3.52%,-18.72%,0.01%,90.74%,-52.49%,79.81%,-2.79%,28.19%,28.19%,-,-,-,-
4,Cost of Revenue,10.71,11.31,5.64,18,11.13,16.63,5.01,22.62,11.7,10.13,10.13,11.12,11.12,7.01,7.01
5,Gross Profit,32.1,22.82,11.43,51.99,35.43,49.58,11.48,63.5,34.86,24.58,24.58,36.78,36.78,20.07,20.07
6,"Selling, General & Admin",12.19,11.8,10.06,17.45,12.4,7.8,6.82,10.08,7.75,6.41,6.41,7.34,7.34,5.55,5.55
7,Research & Development,10.62,8.55,7.39,9.71,9.47,7.2,7.32,6.4,6.1,5.02,5.02,4.27,4.27,4.64,4.64
8,Other Operating Expenses,-5.19,0.33,-0.54,0.41,-3.73,-0.07,-0.73,5.7,-0.37,-1.42,-1.42,0.56,0.56,0.27,0.27
9,Operating Expenses,21.12,23.88,16.02,33.87,19.49,17.64,12.32,27.34,14.68,10.65,10.65,12.19,12.19,10.44,10.44
10,Operating Income,10.98,-1.05,-4.58,18.12,15.94,31.94,-0.84,36.16,20.18,13.93,13.93,24.58,24.58,9.63,9.63
11,Interest Expense,-0.06,-0.07,-0.07,-0.08,-0.08,-0.08,-0.08,-0.09,-0.09,-0.09,-0.09,-0.1,-0.1,-0.11,-0.11
12,Interest & Investment Income,3.51,9.37,2.11,7.59,1.58,0.1,0.21,1.52,0.38,0.69,0.69,0.18,0.18,0.12,0.12
13,Earnings From Equity Investments,-,-,-,0.11,-,-,-,0.18,-0.09,-0.04,-0.04,0.06,0.06,-0.06,-0.06
14,Currency Exchange Gain (Loss),-0.45,0.45,-,0.84,-1.42,1.42,-,2,-,-,-,-0.21,-0.21,-0.07,-0.07
15,Other Non Operating Income (Expenses),-0.44,-0.14,0.02,-1.38,1.35,0.28,-0.4,-2.4,1.41,0.44,0.44,-0.05,-0.05,-0.03,-0.03
16,EBT Excluding Unusual Items,13.54,8.56,-2.54,25.21,17.37,33.67,-1.1,37.37,21.79,14.92,14.92,24.46,24.46,9.47,9.47
17,Gain (Loss) on Sale of Investments,4.83,6.79,-,3.64,0.02,-0.05,-0.04,-0.03,-,-,-,-0.11,-0.11,0.48,0.48
18,Gain (Loss) on Sale of Assets,-0,0.01,-,-,-,-,-,0,-,-0,-0,-,-,-0.01,-0.01
19,Asset Writedown,-2.98,1.32,-1.32,1.75,-1.75,0.67,-0.67,1.46,-0.53,-0.47,-0.47,-0,-0,-0.02,-0.02
20,Other Unusual Items,-4.72,4.72,0.01,7.95,-0.68,0.68,-,7.66,-,-,-,1.76,1.76,0.23,0.23
21,Pretax Income,10.66,21.4,-3.85,38.54,14.96,34.97,-1.82,46.47,21.25,14.45,14.45,26.11,26.11,10.15,10.15
22,Income Tax Expense,0.3,0.82,-0.17,4.83,0.93,2.86,0.08,5.71,2.46,1.47,1.47,3.25,3.25,0.91,0.91
23,Earnings From Continuing Operations,10.36,20.59,-3.67,33.7,14.03,32.11,-1.9,40.76,18.8,12.98,12.98,22.86,22.86,9.25,9.25
24,Minority Interest in Earnings,0.26,0,0.06,0.04,0.13,-0.3,-0.01,-0.54,0.2,0.1,0.1,-0.21,-0.21,0,0
25,Net Income,10.63,20.59,-3.61,33.75,14.15,31.81,-1.9,40.22,19,13.08,13.08,22.66,22.66,9.25,9.25
26,Net Income to Common,10.63,20.59,-3.61,33.75,14.15,31.81,-1.9,40.22,19,13.08,13.08,22.66,22.66,9.25,9.25
27,Net Income Growth,-24.93%,-35.27%,-,-16.10%,-25.51%,143.14%,-,77.54%,-16.14%,41.41%,41.41%,-,-,-,-
28,Shares Outstanding (Basic),62,62,62,62,52,46,46,46,46,46,46,46,46,46,46
29,Shares Outstanding (Diluted),62,62,62,62,52,46,46,46,46,46,46,46,46,46,46
30,Shares Change (YoY),20.02%,33.56%,33.29%,33.41%,11.13%,-0.08%,0.08%,-0.01%,-0.01%,0.01%,0.01%,-,-,-,-
31,EPS (Basic),0.17,0.33,-0.06,0.55,0.27,0.69,-0.04,0.87,0.41,0.28,0.28,0.49,0.49,0.20,0.20
32,EPS (Diluted),0.17,0.33,-0.06,0.55,0.27,0.69,-0.04,0.87,0.41,0.28,0.28,0.49,0.49,0.20,0.20
33,EPS Growth,-37.45%,-51.53%,-,-37.11%,-32.96%,143.32%,-,77.56%,-16.12%,41.40%,41.40%,-,-,-,-
34,Free Cash Flow,2.66,16.6,-18.64,38.9,7.73,10.53,-22.91,13.96,-4.9,3.87,3.87,14.66,14.66,-3.99,-3.99
35,Free Cash Flow Per Share,0.04,0.27,-0.30,0.63,0.15,0.23,-0.49,0.30,-0.11,0.08,0.08,0.32,0.32,-0.09,-0.09
36,Dividend Per Share,-,-,-,0.126,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,74.98%,66.86%,66.97%,74.28%,76.09%,74.89%,69.60%,73.74%,74.87%,70.82%,70.82%,76.79%,76.79%,74.10%,74.10%
38,Operating Margin,25.65%,-3.09%,-26.85%,25.89%,34.24%,48.24%,-5.07%,41.98%,43.34%,40.14%,40.14%,51.33%,51.33%,35.55%,35.55%
39,Profit Margin,24.82%,60.32%,-21.17%,48.22%,30.40%,48.04%,-11.54%,46.71%,40.81%,37.69%,37.69%,47.31%,47.31%,34.16%,34.16%
40,Free Cash Flow Margin,6.21%,48.63%,-109.20%,55.58%,16.59%,15.91%,-138.91%,16.20%,-10.52%,11.15%,11.15%,30.60%,30.60%,-14.72%,-14.72%
41,EBITDA,11.48,-0.37,-4.08,18.62,16.41,32.45,-0.37,36.62,20.62,14.38,14.38,24.94,24.94,9.9,9.9
42,EBITDA Margin,26.83%,-1.09%,-23.90%,26.61%,35.24%,49.02%,-2.25%,42.53%,44.29%,41.42%,41.42%,52.07%,52.07%,36.57%,36.57%
43,D&A For EBITDA,0.5,0.68,0.5,0.5,0.47,0.51,0.47,0.47,0.44,0.44,0.44,0.35,0.35,0.28,0.28
44,EBIT,10.98,-1.05,-4.58,18.12,15.94,31.94,-0.84,36.16,20.18,13.93,13.93,24.58,24.58,9.63,9.63
45,EBIT Margin,25.65%,-3.08%,-26.85%,25.89%,34.24%,48.24%,-5.07%,41.98%,43.34%,40.14%,40.14%,51.33%,51.33%,35.55%,35.55%
46,Effective Tax Rate,2.81%,3.82%,-,12.54%,6.23%,8.19%,-,12.29%,11.56%,10.16%,10.16%,12.43%,12.43%,8.92%,8.92%
47,Revenue as Reported,42.81,34.14,17.07,69.99,46.56,66.21,16.49,86.12,46.56,34.71,34.71,47.89,47.89,27.08,27.08
