,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2821,2749,2652,3425,4549,5247,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-47.61%,-47.61%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1875,1811,2033,2211,3335,5072,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,45.57,44.41,42.84,55.18,73.30,84.55,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,45.98,44.81,40.87,-,58.47,62.26,-,-,-,-,-,-,-,-,-,-
5,Forward PE,-,16.25,19.04,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,17.20,16.76,15.81,17.14,22.83,24.36,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.91,1.86,1.80,2.35,3.12,3.68,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.86,1.86,1.81,2.35,3.12,3.68,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,71.37,69.56,59.47,-,132.80,563.92,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,48.19,48.19,48.43,-,114.88,365.83,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,11.43,11.04,12.12,11.07,16.74,23.55,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,86.96,70.57,-,-,49.69,59.59,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,105.22,77.17,-,-,51.18,60.96,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,47.43,45.82,45.61,-,97.37,545.08,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,-,-,0.02,0.02,0.02,0.03,0.03
16,Debt / EBITDA Ratio,0.17,0.08,1.55,-,0.07,0.08,0.04,-,0.04,-,-,0.11,0.06,0.06,0.17,0.17
17,Debt / FCF Ratio,0.09,0.09,0.10,-,0.16,0.53,-1.62,-,0.34,-,-,0.22,0.31,0.98,-,-
18,Asset Turnover,0.11,0.09,0.05,0.19,0.19,-,-,-,-,-,-,0.59,0.64,0.40,-,
19,Inventory Turnover,1.26,1.06,1.09,0.59,2.13,1.36,-,-,-,-,-,-,1.63,1.64,1.05,-
20,Quick Ratio,33.67,33.67,35.89,29.27,25.94,33.40,13.23,-,7.63,-,-,-,8.96,8.96,10.74,10.74
21,Current Ratio,34.93,34.93,37.33,42.99,26.79,34.32,14.65,-,8.34,-,-,-,9.98,9.98,12.04,12.04
22,Return on Equity (ROE),2.81%,5.63%,-1.01%,9.34%,6.13%,32.99%,-2.03%,-,-,-,17.99%,31.69%,34.44%,15.26%,-,
23,Return on Assets (ROA),1.82%,-0.18%,-0.77%,3.04%,4.17%,-,-,-,-,-,-,18.82%,20.56%,8.87%,-,
24,Return on Capital (ROIC),1.86%,-0.18%,-0.78%,3.13%,4.33%,20.22%,-0.55%,-,-,-,11.80%,20.82%,22.57%,9.64%,-,
25,Return on Capital Employed (ROCE),1.20%,1.58%,-,-,4.45%,5.81%,21.42%,-,22.21%,-,-,-,23.17%,14.84%,7.70%,3.85%
26,Earnings Yield,2.17%,2.23%,2.45%,2.22%,1.71%,1.61%,-,-,-,-,-,-,-,-,-,-
27,FCF Yield,1.40%,1.44%,1.68%,1.12%,0.75%,0.18%,-,-,-,-,-,-,-,-,-,-
28,Dividend Yield,0.28%,-,-,-,0.17%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,12.71%,-,37.88%,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-29.80%,-20.02%,-33.56%,-33.29%,-33.41%,-11.13%,0.08%,-0.08%,0.01%,0.01%,-0.01%,-0.01%,-,-,-,-
31,Total Shareholder Return,-29.51%,-20.02%,-33.56%,-33.29%,-33.24%,-11.13%,0.08%,-0.08%,0.01%,0.01%,-0.01%,-0.01%,-,-,-,-
