,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021"
0,Revenue,132.58,205.22,189.88,130.1,164.25,156.91,177.73,120.06,63.02,178.34,111.04,146.67,169.57
1,Revenue Growth (YoY),-19.28%,30.79%,6.83%,8.36%,160.61%,-12.02%,60.06%,-18.14%,-62.83%,-,-,-,-
2,Cost of Revenue,60.19,103.27,82.21,42.75,78.77,104.62,80.85,48.35,34.94,78.18,68.58,99.17,88.57
3,Gross Profit,72.39,101.95,107.67,87.35,85.48,52.29,96.88,71.71,28.09,100.15,42.46,47.5,81
4,"Selling, General & Admin",13.79,17.49,11.33,18.68,10.38,10.69,16.85,19.31,8.14,7.69,10.28,13.52,9.27
5,Other Operating Expenses,4.25,6.36,5.77,4.03,5.09,4.89,5.51,10.87,1.47,5.07,2.95,1.86,5.3
6,Operating Expenses,17.83,24.45,17.16,22.16,16,15.62,22.34,30.28,-25.44,1.66,0.81,-8.65,14.65
7,Operating Income,54.56,77.5,90.5,65.19,69.48,36.67,74.54,41.43,53.52,98.5,41.65,56.15,66.35
8,Interest Expense,-3.52,-3.42,-3.41,-3.39,-3.36,-3.54,-4.4,-4.06,-4.06,-4.43,-4.39,-5.5,-5.5
9,Interest & Investment Income,4.97,2.14,3.32,2.83,2.06,2.12,4.09,4.3,5.29,0.62,4.26,-,2.4
10,Other Non Operating Income (Expenses),-0.23,-0.08,-0.01,-0.8,7.74,-0.26,-0.01,1.22,-0.12,-0.95,-0.01,-2.43,-0.01
11,EBT Excluding Unusual Items,55.78,76.13,90.4,63.83,75.92,34.99,74.23,42.88,54.63,93.73,41.5,48.22,63.24
12,Gain (Loss) on Sale of Investments,0.35,-0.35,-,-,-,-,-,-,-6.47,-0.67,7.14,-4.99,-12.22
13,Asset Writedown,0.1,-0.1,-,-,-,-,-,-0.01,0.01,-0.01,-,-,-
14,Other Unusual Items,10.29,-0.03,-,-0.35,-0,0,-,0.87,-,-,-,0.6,0.28
15,Pretax Income,66.52,75.66,90.4,63.48,75.92,34.99,74.23,43.75,48.17,93.06,48.64,43.83,51.29
16,Income Tax Expense,10.09,11.86,13.62,9.69,11.41,4.22,12.37,5.58,8.17,13.88,7.3,6.51,7.72
17,Net Income,56.43,63.8,76.78,53.79,64.51,30.77,61.86,38.17,40,79.18,41.34,37.32,43.58
18,Net Income to Common,56.43,63.8,76.78,53.79,64.51,30.77,61.86,38.17,40,79.18,41.34,37.32,43.58
19,Net Income Growth,-12.51%,107.32%,24.12%,40.93%,61.26%,-61.13%,49.62%,2.27%,-8.21%,-,-,-,-
20,Shares Outstanding (Basic),420,413,427,434,420,413,387,365,360,344,376,352,363
21,Shares Outstanding (Diluted),420,413,427,434,420,413,387,365,360,344,376,352,363
22,Shares Change (YoY),-0.04%,0.04%,10.33%,18.98%,16.68%,20.11%,2.87%,3.75%,-0.86%,-,-,-,-
23,EPS (Basic),0.13,0.15,0.18,0.12,0.15,0.07,0.16,0.10,0.11,0.23,0.11,0.11,0.12
24,EPS (Diluted),0.13,0.15,0.18,0.12,0.15,0.07,0.16,0.10,0.11,0.23,0.11,0.11,0.12
25,EPS Growth,-12.48%,107.24%,12.50%,18.45%,38.21%,-67.64%,45.45%,-1.43%,-7.41%,-,-,-,-
26,Free Cash Flow,73.7,42.54,74.26,-1.35,48.5,14.8,4.92,-15.19,115.37,72.53,19.48,36.23,14.31
27,Free Cash Flow Per Share,0.18,0.10,0.17,-0.00,0.12,0.04,0.01,-0.04,0.32,0.21,0.05,0.10,0.04
28,Dividend Per Share,-,0.100,-,0.250,-,-,-,0.200,-,-,-,-,-
29,Dividend Growth,-,-,-,25.00%,-,-,-,-,-,-,-,-,-
30,Gross Margin,54.60%,49.68%,56.70%,67.14%,52.04%,33.32%,54.51%,59.73%,44.57%,56.16%,38.24%,32.39%,47.77%
31,Operating Margin,41.15%,37.76%,47.66%,50.11%,42.30%,23.37%,41.94%,34.51%,84.92%,55.23%,37.51%,38.28%,39.13%
32,Profit Margin,42.57%,31.09%,40.44%,41.34%,39.27%,19.61%,34.80%,31.79%,63.47%,44.40%,37.23%,25.44%,25.70%
33,Free Cash Flow Margin,55.59%,20.73%,39.11%,-1.04%,29.53%,9.43%,2.77%,-12.65%,183.05%,40.67%,17.54%,24.70%,8.44%
34,EBITDA,66.94,89.12,102.88,77.57,83.41,50.59,88.48,55.36,67.45,113.84,55.57,69.5,78.97
35,EBITDA Margin,50.49%,43.43%,54.18%,59.62%,50.78%,32.24%,49.78%,46.11%,107.02%,63.83%,50.05%,47.38%,46.57%
36,D&A For EBITDA,12.38,11.63,12.38,12.38,13.93,13.92,13.93,13.93,13.93,15.34,13.93,13.35,12.63
37,EBIT,54.56,77.5,90.5,65.19,69.48,36.67,74.54,41.43,53.52,98.5,41.65,56.15,66.35
38,EBIT Margin,41.15%,37.76%,47.66%,50.11%,42.30%,23.37%,41.94%,34.51%,84.92%,55.23%,37.51%,38.28%,39.13%
39,Effective Tax Rate,15.16%,15.67%,15.07%,15.26%,15.03%,12.05%,16.66%,12.76%,16.96%,14.91%,15.00%,14.85%,15.04%
40,Revenue as Reported,132.58,205.22,189.88,130.1,164.25,156.91,177.73,120.06,63.02,178.34,111.04,-,-
