,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,9303,10580,9748,11361,11605,12029,12974,11088,-,-,-,-,-,-
1,Market Cap Growth,-12.05%,-12.05%,-24.86%,2.46%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8579,9889,8994,10682,10926,11399,12275,10786,-,-,-,-,-,-
3,Last Close Price,22.15,25.19,23.11,26.68,27.25,28.25,30.47,25.89,-,-,-,-,-,-
4,PE Ratio,37.41,42.18,37.66,50.30,55.02,61.59,75.96,50.58,-,-,-,-,-,-
5,PS Ratio,14.26,16.08,14.14,17.72,18.45,19.43,25.06,20.57,-,-,-,-,-,-
6,PB Ratio,6.59,7.50,6.95,7.91,8.55,9.20,10.42,8.57,-,-,-,-,-,-
7,P/TBV Ratio,8.85,8.85,8.22,9.39,10.30,11.24,12.89,10.57,-,-,-,-,-,-
8,P/FCF Ratio,49.18,55.93,59.46,83.41,-,226.82,108.21,62.42,-,-,-,-,-,-
9,P/OCF Ratio,31.29,31.29,31.34,35.74,37.92,39.17,36.55,29.25,-,-,-,-,-,-
10,EV/Sales Ratio,13.04,15.03,13.05,16.66,17.37,18.42,23.71,20.01,-,-,-,-,-,-
11,EV/EBITDA Ratio,25.76,29.38,25.48,33.97,36.41,41.03,46.87,33.17,-,-,-,-,-,-
12,EV/EBIT Ratio,29.83,34.36,29.72,40.80,44.44,51.32,59.54,40.25,-,-,-,-,-,-
13,EV/FCF Ratio,45.36,52.28,54.86,78.42,-,214.95,102.38,60.72,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,-,0.05,0.06,0.06,0.00
15,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.12,-,0.08,0.18,0.15,0.00
16,Debt / FCF Ratio,0.00,0.00,0.01,0.00,-,0.02,0.01,0.15,-,-,0.25,0.59,0.81,0.09
17,Asset Turnover,0.28,0.44,0.40,0.29,0.38,0.36,0.46,-,-,-,-,-,-,
18,Inventory Turnover,5.91,3.67,6.98,5.02,2.96,5.44,5.59,3.82,-,-,-,-,-,-
19,Quick Ratio,2.66,2.66,4.05,4.08,3.00,4.56,3.67,6.34,2.05,-,2.51,-,1.81,0.76
20,Current Ratio,2.92,2.92,4.49,4.42,3.42,4.82,4.18,6.97,2.71,-,3.00,-,2.31,1.27
21,Return on Equity (ROE),16.05%,17.98%,21.98%,16.15%,20.22%,9.69%,23.18%,-,-,45.09%,25.77%,-,-,
22,Return on Assets (ROA),7.17%,10.32%,12.06%,9.01%,9.97%,5.32%,12.08%,-,-,-,-,-,-,
23,Return on Capital (ROIC),9.69%,13.65%,16.19%,12.23%,13.60%,7.14%,17.05%,-,-,33.24%,15.25%,-,-,
24,Return on Capital Employed (ROCE),17.19%,17.20%,17.98%,15.28%,15.13%,13.76%,13.33%,16.61%,19.63%,-,23.65%,-,11.84%,8.22%
25,Earnings Yield,2.70%,2.37%,2.66%,1.99%,1.82%,1.62%,1.32%,1.98%,-,-,-,-,-,-
26,FCF Yield,2.03%,1.79%,1.68%,1.20%,0.58%,0.44%,0.92%,1.60%,-,-,-,-,-,-
27,Dividend Yield,0.91%,-,1.51%,-,0.92%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,58.61%,74.42%,164.58%,-,-,-,273.68%,0.39%,0.68%,0.92%,0.49%,0.93%,1.27%,199.69%
29,Buyback Yield / Dilution,-6.89%,0.04%,-0.04%,-10.33%,-18.98%,-16.68%,-20.11%,-2.87%,-3.75%,0.86%,-,-,-,-
30,Total Shareholder Return,-5.98%,0.04%,1.48%,-10.33%,-18.06%,-16.68%,-20.11%,-2.87%,-3.75%,0.86%,-,-,-,-
