,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,614.15,662.12,664.29,629.7,619.33,580.53,704.55,288.12,-,219.41,-,133.41,193.35
1,Trading Asset Securities,110,30,90,50,60,50,20,40,-,23.74,-,34.02,-
2,Cash & Short-Term Investments,724.15,692.12,754.29,679.7,679.33,630.53,724.55,328.12,-,243.15,167.42,167.42,193.35
3,Cash Growth,6.60%,9.77%,4.11%,107.15%,-,159.32%,332.76%,95.98%,-,-,-,-,-
4,Accounts Receivable,7.56,12.85,-,-,6.29,0.46,0.53,-,-,100.62,-,119.57,-
5,Other Receivables,1.36,0.86,1.54,1.99,2.81,1.67,1.81,1.47,-,1.45,-,1.62,1.29
6,Receivables,8.92,13.71,1.54,1.99,9.1,2.13,2.34,1.47,-,102.07,-,121.19,1.29
7,Inventory,62.93,68.16,50.23,80.87,34.73,81.17,68.56,100.6,-,56.85,-,73.36,126.6
8,Prepaid Expenses,-,-,-,-,-,0.02,-,-,-,0.13,-,0.13,0.17
9,Other Current Assets,9.73,8.6,13.11,13.61,5.28,6.56,4.26,6.3,-,11.27,-,6.37,4.29
10,Total Current Assets,805.73,782.59,819.17,776.16,728.45,720.42,799.72,436.49,-,413.47,-,368.47,325.68
11,"Property, Plant & Equipment",767,616.02,718.06,647.1,680.74,603.34,603.96,518.7,-,449.44,-,397.79,328.84
12,Other Intangible Assets,215.34,216.42,226.39,230.4,236.89,239.14,245.61,247.41,-,255.18,-,266.44,283.74
13,Long-Term Deferred Tax Assets,28.52,28.02,27,26.31,25.26,24.62,21,23.3,-,28.78,-,32.94,26.11
14,Long-Term Deferred Charges,103.66,79.99,79.94,79.99,58.91,31.07,31.17,31.27,-,18.54,-,18.43,17.71
15,Other Long-Term Assets,28.18,134.18,28.36,92.39,34.59,101.03,26.44,101.18,-,82.68,-,109.99,82.32
16,Total Assets,1948,1857,1899,1852,1765,1720,1728,1358,-,1248,-,1194,1064
17,Accounts Payable,115.65,69.84,38.65,79.58,37.82,69.07,45.58,57.2,-,47.98,-,58.67,41.81
18,Accrued Expenses,19.53,17.85,8.75,21.23,13.01,11.11,7.23,20.07,-,11.42,-,18.85,7.35
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,0.61,0.03,-,10.04,-,10.04,-
20,Current Portion of Leases,-,0.61,-,0.6,0.58,0.59,-,0.58,-,0.31,-,0.3,0.33
21,Current Income Taxes Payable,10.62,11.17,13.55,7.34,10.81,4.21,16.49,12.1,-,30.25,-,18.55,17.1
22,Current Unearned Revenue,80.42,25.42,75.01,69,84.16,83.67,41.32,66.42,-,31.1,-,44.4,43.09
23,Other Current Liabilities,49.41,49.41,49.22,49.33,4.66,3.81,3.47,4.43,-,6.57,-,8.85,147.16
24,Total Current Liabilities,275.64,174.29,185.19,227.08,151.03,172.46,114.7,160.83,-,137.65,-,159.67,256.83
25,Long-Term Debt,-,-,-,-,-,-,25,25,-,25,-,30,-
26,Long-Term Leases,0.3,0.28,0.27,0.27,0.36,0.33,0.33,0.33,-,0.65,-,0.64,0.9
27,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,0.65,-,1.63,3.09
28,Long-Term Deferred Tax Liabilities,10.99,9.07,8.49,7.01,5.67,3.99,1.17,1.38,-,0.56,-,9.5,-
29,Other Long-Term Liabilities,250.53,271.82,268.41,260.59,300.76,297.42,292.32,330.55,-,320.4,-,351.06,340.34
30,Total Liabilities,537.45,455.45,462.36,494.94,457.81,474.2,433.5,518.09,-,484.92,-,552.49,601.16
31,Common Stock,420,420,420,420,420,420,420,360,-,360,-,360,360
32,Additional Paid-In Capital,444.8,444.8,444.8,444.8,444.8,444.8,444.8,114.57,-,114.57,-,114.57,58.17
33,Retained Earnings,542.62,528.19,569.39,492.61,438.83,374.32,427.55,365.69,-,287.52,-,167,41.42
34,Comprehensive Income & Other,3.56,8.77,2.38,-,3.4,6.3,2.04,-,-,1.08,-,-,3.66
35,Shareholders' Equity,1411,1402,1437,1357,1307,1245,1294,840.26,-,763.17,641.57,641.57,463.25
36,Total Liabilities & Equity,1948,1857,1899,1852,1765,1720,1728,1358,-,1248,-,1194,1064
37,Total Debt,0.3,0.89,0.27,0.87,0.93,0.92,25.93,25.93,-,36,40.98,40.98,1.22
38,Net Cash (Debt),723.84,691.23,754.02,678.83,678.4,629.61,698.62,302.19,-,207.15,126.44,126.44,192.12
39,Net Cash Growth,6.70%,9.79%,7.93%,124.64%,-,203.94%,452.51%,138.99%,-,-,-,-,-
40,Net Cash Per Share,1.72,1.67,1.77,1.56,1.61,1.52,1.81,0.83,-,0.60,0.34,0.36,0.53
41,Filing Date Shares Outstanding,420,420,420,420,420,420,420,420,360.03,360,375.83,360,363.15
42,Total Common Shares Outstanding,420,420,420,420,420,420,420,360,360.03,360,375.83,360,363.15
43,Working Capital,530.09,608.3,633.98,549.09,577.42,547.96,685.02,275.66,-,275.81,-,208.8,68.85
44,Book Value Per Share,3.36,3.34,3.42,3.23,3.11,2.97,3.08,2.33,-,2.12,1.78,1.78,1.28
45,Tangible Book Value,1196,1185,1210,1127,1070,1006,1049,592.85,-,507.99,375.13,375.13,179.51
46,Tangible Book Value Per Share,2.85,2.82,2.88,2.68,2.55,2.40,2.50,1.65,-,1.41,1.04,1.04,0.49
47,Buildings,-,302.22,-,302.22,-,292.31,-,287.78,-,284.24,-,284.22,270.74
48,Machinery,-,124.17,-,119.32,-,112.16,-,111,-,105.32,-,102.13,99.62
49,Construction In Progress,-,557.84,-,544.46,-,501.88,-,406.8,-,331.88,-,295.21,194.01
