,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,2336,1607,2704,2278,4151,4215,10814,-
1,Market Cap Growth,-29.43%,-29.43%,-34.87%,-45.96%,-61.61%,-,-,-
2,Enterprise Value,415,-476,488,-35,1687,1575,10044,-
3,Last Close Price,5.58,3.82,6.40,5.35,9.75,9.90,25.40,-
4,PS Ratio,7.12,5.10,9.69,9.92,21.15,21.96,58.19,-
5,PB Ratio,1.08,0.74,1.19,0.96,1.66,1.61,3.92,-
6,P/TBV Ratio,0.76,0.76,1.21,0.97,1.67,1.62,3.95,-
7,EV/Sales Ratio,1.32,-,1.75,-,8.60,8.21,54.05,-
8,Debt / Equity Ratio,0.01,0.01,0.00,0.00,0.00,0.00,0.00,-
9,Earnings Yield,-6.63%,-9.63%,-5.09%,-2.17%,-0.95%,-1.03%,-0.55%,-
10,FCF Yield,-12.16%,-17.67%,-7.40%,-6.84%,-4.05%,-2.40%,-0.70%,-
11,Buyback Yield / Dilution,12.30%,10.13%,5.49%,-9.58%,-16.57%,-18.26%,-,-
12,Total Shareholder Return,12.30%,10.13%,5.49%,-9.58%,-16.57%,-18.26%,-,-
