,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Operating Revenue,150.82,137.53,110.81,98.06,71.82,92,59.41
1,Other Revenue,-,4.88,-,3.72,-,-,-
2,Revenue,150.82,142.41,110.81,101.78,71.82,92,59.41
3,Revenue Growth (YoY),36.10%,39.92%,54.29%,10.64%,20.90%,-,-
4,Cost of Revenue,67.02,77.81,53.2,53.86,40.05,52.62,27.9
5,Gross Profit,83.8,64.6,57.61,47.92,31.77,39.38,31.51
6,"Selling, General & Admin",123.22,164.21,91.48,104.91,53.32,48.42,45.31
7,Research & Development,34.55,38.08,32.02,36.5,24.59,21.51,14.58
8,Other Operating Expenses,-4.98,1.11,-0.29,-21.01,-0.98,-,-
9,Operating Expenses,154.64,203.55,124.06,123.47,76.56,70.82,60.23
10,Operating Income,-70.84,-138.95,-66.44,-75.55,-44.79,-31.44,-28.73
11,Interest Expense,-0.02,-0.01,-0.04,-0.07,-0.08,-0.02,-0
12,Interest & Investment Income,31.94,34.42,33.82,31.8,23.93,24.49,-
13,Currency Exchange Gain (Loss),-,7.11,-,29.95,-,-15.61,-0.86
14,Other Non Operating Income (Expenses),3.21,-15.99,15.74,-14.11,13.9,-6.56,10.54
15,EBT Excluding Unusual Items,-35.7,-113.43,-16.92,-27.99,-7.04,-29.14,-19.06
16,Gain (Loss) on Sale of Investments,0.14,-0.02,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-0.01,-,0.05,-
18,Asset Writedown,-2.18,1.58,-1.74,0.9,-0.9,-,-
19,Other Unusual Items,-,5.68,-,-,-,-,-
20,Pretax Income,-37.75,-106.19,-18.66,-27.1,-7.94,-29.1,-19.06
21,Income Tax Expense,-0.01,0.16,-,0,-,-,-
22,Net Income,-37.74,-106.35,-18.66,-27.1,-7.94,-29.1,-19.06
23,Net Income to Common,-37.74,-106.35,-18.66,-27.1,-7.94,-29.1,-19.06
24,Shares Outstanding (Basic),419,426,467,450,426,386,360
25,Shares Outstanding (Diluted),419,426,467,450,426,386,360
26,Shares Change (YoY),-10.13%,-5.49%,9.58%,16.57%,18.26%,-,-
27,EPS (Basic),-0.09,-0.25,-0.04,-0.06,-0.02,-0.08,-0.05
28,EPS (Diluted),-0.09,-0.25,-0.04,-0.06,-0.02,-0.08,-0.05
29,Free Cash Flow,-118.45,-145.87,-35.82,-108.32,-40.47,-46.05,-15.76
30,Free Cash Flow Per Share,-0.28,-0.34,-0.08,-0.24,-0.10,-0.12,-0.04
31,Operating Margin,-46.97%,-97.57%,-59.96%,-74.23%,-62.36%,-34.18%,-48.35%
32,Profit Margin,-25.02%,-74.68%,-16.84%,-26.63%,-11.06%,-31.63%,-32.08%
33,Free Cash Flow Margin,-78.54%,-102.43%,-32.33%,-106.43%,-56.34%,-50.06%,-26.53%
34,EBITDA,-65.97,-130.24,-64.78,-67.03,-43.17,-27.34,-24.95
35,D&A For EBITDA,4.87,8.71,1.66,8.53,1.62,4.1,3.78
36,EBIT,-70.84,-138.95,-66.44,-75.55,-44.79,-31.44,-28.73
37,Revenue as Reported,-,253.23,-,173.61,-,-,-
