,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,1805,1886,2051,2047,2104,2151,-
1,Trading Asset Securities,2.75,6.05,-,-,-,-,-
2,Cash & Short-Term Investments,1808,1892,2051,2047,2104,2151,-
3,Cash Growth,-11.86%,-7.56%,-2.49%,-4.85%,-,-,-
4,Accounts Receivable,86.06,73.23,33.29,49.26,29.51,27.77,-
5,Other Receivables,2.38,0.09,1.54,1.2,-,4.68,-
6,Receivables,88.44,73.32,34.83,50.46,29.51,32.45,-
7,Inventory,60.27,42.11,52.69,67.34,60.99,34.17,-
8,Other Current Assets,24.53,15.8,11.75,12.62,18.18,15.68,-
9,Total Current Assets,1981,2023,2151,2177,2212,2233,-
10,"Property, Plant & Equipment",151.33,101.36,93.17,90.62,79.83,80.12,-
11,Other Intangible Assets,32.74,33.74,17.7,18.76,13.26,13.79,-
12,Long-Term Deferred Charges,0.27,0.24,-,0.18,-,-,-
13,Other Long-Term Assets,2.27,0.27,2.41,7.56,10.62,1.96,-
14,Total Assets,2168,2159,2264,2294,2316,2329,-
15,Accounts Payable,64.68,33.1,19.9,19.44,22.64,14.12,-
16,Accrued Expenses,14.75,38.46,20.09,39.96,-,21.48,-
17,Short-Term Debt,20.01,-,-,-,-,-,-
18,Current Portion of Leases,0.32,0.48,0.37,0.45,0.34,0.12,-
19,Current Income Taxes Payable,7.92,-,3.59,-,-,-,-
20,Current Unearned Revenue,12.62,7.98,7.02,11.86,14.45,14.41,-
21,Other Current Liabilities,30.51,13.36,16.01,7.44,39.91,32.22,-
22,Total Current Liabilities,150.82,93.38,66.97,79.16,77.34,82.34,-
23,Long-Term Leases,0.06,0.17,0.11,0.26,0.08,0.14,-
24,Long-Term Unearned Revenue,-,-,0,0.01,-,-,-
25,Long-Term Deferred Tax Liabilities,0.16,0.17,-,0.01,-,-,-
26,Other Long-Term Liabilities,4.35,3.98,2.65,2.63,-,-,-
27,Total Liabilities,155.39,97.7,69.73,82.06,77.41,82.48,-
28,Common Stock,425.74,425.74,425.74,425.74,425.74,425.74,-
29,Additional Paid-In Capital,-,1883,-,1883,1724,1724,-
30,Retained Earnings,-259.67,-221.93,-115.57,-96.91,12.85,20.79,-
31,Treasury Stock,-37.15,-26.25,-,-,-,-,-
32,Comprehensive Income & Other,1884,0.73,1884,0.42,75.8,75.8,-
33,Shareholders' Equity,2013,2061,2194,2212,2239,2247,-
34,Total Liabilities & Equity,2168,2159,2264,2294,2316,2329,-
35,Total Debt,20.39,0.64,0.47,0.72,0.41,0.26,-
36,Net Cash (Debt),1788,1891,2051,2046,2103,2151,-
37,Net Cash Growth,-12.83%,-7.55%,-2.50%,-4.88%,-,-,-
38,Net Cash Per Share,4.26,4.44,4.40,4.54,4.94,5.57,-
39,Filing Date Shares Outstanding,419.28,425.74,425.74,425.74,425.74,425.74,360
40,Total Common Shares Outstanding,419.28,425.74,425.74,425.74,425.74,425.74,360
41,Working Capital,1830,1930,2084,2098,2135,2151,-
42,Book Value Per Share,4.80,4.84,5.15,5.20,5.26,5.28,-
43,Tangible Book Value,1980,2027,2176,2193,2225,2233,-
44,Tangible Book Value Per Share,4.72,4.76,5.11,5.15,5.23,5.24,-
45,Buildings,-,74.55,-,73.26,-,60.3,-
46,Machinery,-,47.47,-,37.41,-,25.93,-
47,Construction In Progress,-,7.95,-,0.38,-,0.13,-
