,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1879,1846,2714,2779,2716,1459,1496,1217,1222,57.03,-,3.9,-,-,-
1,Trading Asset Securities,1484,1799,1257,921.55,749.81,1631,1661,1810,1808,320.06,-,269.77,-,-,-
2,Cash & Short-Term Investments,3364,3644,3971,3701,3465,3089,3157,3027,3030,377.09,273.67,273.67,-,-,-
3,Cash Growth,-2.94%,17.96%,25.77%,22.27%,14.38%,719.26%,1053.63%,1005.97%,-,-,-,-,-,-,-
4,Accounts Receivable,64.73,61.58,55.92,52.75,50.29,49.88,49.9,50.49,51.19,60.85,-,3.37,-,-,-
5,Other Receivables,1.18,0.58,0.54,0.67,0.83,0.98,0.84,0.95,10.66,1.4,-,1.1,-,-,-
6,Receivables,65.9,62.16,56.46,53.41,51.12,50.86,50.74,51.44,61.84,62.25,-,4.47,-,-,-
7,Inventory,805.8,879.7,818.99,813.94,862.56,666.73,511.28,504.12,438.24,455.6,-,562.85,-,-,-
8,Other Current Assets,125.99,132.63,124,117.73,119.2,201.75,102.8,96.66,88.99,124.19,-,101.18,-,-,-
9,Total Current Assets,4361,4719,4970,4686,4498,4009,3822,3679,3619,1019,-,942.17,-,-,-
10,"Property, Plant & Equipment",11.79,8.44,7.28,9.17,10.76,12.42,9.9,11.58,13.11,13.99,-,14.84,-,-,-
11,Long-Term Investments,-,94.25,94.25,94.25,61.82,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,9.44,11.95,6.5,8.38,10.26,11.98,13.87,15.76,3.47,0.79,-,1.23,-,-,-
13,Long-Term Deferred Tax Assets,0.05,0.06,0.09,0.1,-,-,-,-,-,-,-,-,-,-,-
14,Long-Term Deferred Charges,-,0.05,0.2,0.37,0.55,0.72,0.9,1.08,1.32,0.59,-,0.74,-,-,-
15,Other Long-Term Assets,97.53,3.25,2.79,2.79,0.24,0.45,0.16,0.03,-,1.29,-,0.26,-,-,-
16,Total Assets,4480,4837,5081,4801,4582,4034,3847,3707,3637,1036,-,959.23,-,-,-
17,Accounts Payable,83.21,187.94,129.2,135.44,105.84,165.79,115.05,127.61,33.32,50,-,55.95,-,-,-
18,Accrued Expenses,5.34,6.12,4.86,29.79,5.11,4.72,3.74,21.16,3.76,3.26,-,14.62,-,-,-
19,Short-Term Debt,373.99,700.42,1051,800.25,757.66,240.4,121.17,-,-,-,-,-,-,-,-
20,Current Portion of Long-Term Debt,99.47,99.07,50.45,50.04,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,0.9,-,2.22,3.76,4.91,4.99,5.04,5.25,5.26,-,3.86,-,-,-
22,Current Income Taxes Payable,8.99,0.66,6.93,0,1,-,0.44,-,0.52,-,-,-,-,-,-
23,Current Unearned Revenue,2.63,5.63,1.27,1.17,2.24,2.58,4,1.66,2.82,0.18,-,1.5,-,-,-
24,Other Current Liabilities,0.55,7.64,1.84,5.7,0.9,0.72,0.58,4.57,66.21,0.21,-,5.63,-,-,-
25,Total Current Liabilities,574.16,1008,1246,1025,876.51,419.12,249.97,160.04,111.88,58.91,-,81.56,-,-,-
26,Long-Term Leases,4.11,1.79,2,2.24,2.38,2.68,0.67,1.71,3.02,4.27,-,5.12,-,-,-
27,Long-Term Unearned Revenue,0.77,1.18,0.79,1,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,0.13,0.15,0.15,0.18,-,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,579.17,1012,1249,1028,878.89,421.8,250.64,161.75,114.9,63.18,-,86.68,-,-,-
30,Common Stock,120.31,120.31,120,120,120,120,120,120,120,90,-,90,-,-,-
31,Additional Paid-In Capital,2885,2881,2869,2865,2860,2854,2847,2845,2844,283.96,-,277.25,-,-,-
32,Retained Earnings,885,812.93,832.78,777.89,723.45,638.56,629.61,580.2,557.43,598.64,-,505.3,-,-,-
33,Total Common Equity,3890,3814,3822,3763,3703,3612,3596,3546,3522,972.6,872.55,872.55,-,-,-
34,Minority Interest,10.66,10.69,10.72,9.74,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,3901,3825,3832,3773,3703,3612,3596,3546,3522,972.6,872.55,872.55,-,-,-
36,Total Liabilities & Equity,4480,4837,5081,4801,4582,4034,3847,3707,3637,1036,-,959.23,-,-,-
37,Total Debt,477.56,802.2,1104,854.74,763.8,247.98,126.83,6.75,8.27,9.53,8.98,8.98,-,-,-
38,Net Cash (Debt),2886,2842,2867,2846,2702,2841,3030,3020,3021,367.56,264.69,264.69,-,-,-
39,Net Cash Growth,6.83%,0.02%,-5.39%,-5.76%,-10.58%,673.04%,1044.85%,1040.94%,-,-,-,-,-,-,-
40,Net Cash Per Share,24.03,23.47,24.03,23.54,22.19,23.97,25.14,24.98,27.22,4.07,2.97,2.96,-,-,-
41,Filing Date Shares Outstanding,120.31,120.31,120,120,120,120,120,120,120,90,90,90,90.41,89.99,-
42,Total Common Shares Outstanding,120.31,120.31,120,120,120,120,120,120,120,90,90,90,90.41,89.99,-
43,Working Capital,3787,3710,3724,3661,3622,3590,3572,3519,3507,960.23,-,860.61,-,-,-
44,Book Value Per Share,32.34,31.71,31.85,31.36,30.86,30.10,29.97,29.55,29.35,10.81,9.69,9.69,-,-,-
45,Tangible Book Value,3881,3803,3815,3755,3693,3600,3582,3530,3518,971.81,871.32,871.32,-,-,-
46,Tangible Book Value Per Share,32.26,31.61,31.79,31.29,30.77,30.00,29.85,29.42,29.32,10.80,9.68,9.68,-,-,-
47,Machinery,-,17.16,-,14.59,-,13.88,-,12.55,-,11.01,-,10.73,-,-,-
48,Order Backlog,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.23
