,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,14410,7242,7097,7974,9050,8560,10042,7939,6146,5544,-,-,-,-,-,-
1,Market Cap Growth,-15.39%,-15.39%,-29.33%,0.44%,47.25%,54.39%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11535,4411,4241,5272,6349,5718,7011,4918,3125,5176,-,-,-,-,-,-
3,Last Close Price,119.78,60.20,58.99,65.43,74.27,70.24,82.40,64.79,50.16,44.71,-,-,-,-,-,-
4,PE Ratio,47.91,27.73,25.90,31.01,35.96,38.90,62.79,52.87,43.62,33.15,-,-,-,-,-,-
5,Forward PE,39.53,21.07,19.90,24.06,29.74,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,7.91,4.40,4.48,5.31,6.26,6.33,8.43,6.86,5.69,5.22,-,-,-,-,-,-
7,PB Ratio,3.70,1.86,1.86,2.08,2.40,2.31,2.78,2.21,1.73,1.57,-,-,-,-,-,-
8,P/TBV Ratio,1.87,1.87,1.87,2.09,2.41,2.32,2.79,2.22,1.74,1.58,-,-,-,-,-,-
9,P/FCF Ratio,30.34,30.34,77.23,-77.85,-77.29,-,-,-,29.17,27.38,-,-,-,-,-,-
10,P/OCF Ratio,28.69,28.69,67.02,-85.62,-85.69,-,-,-,27.47,26.43,-,-,-,-,-,-
11,EV/Sales Ratio,6.34,2.68,2.68,3.51,4.39,4.23,5.89,4.25,2.89,4.88,-,-,-,-,-,-
12,EV/EBITDA Ratio,36.83,24.98,29.01,36.97,-,42.96,82.22,54.04,-,35.89,-,-,-,-,-,-
13,EV/EBIT Ratio,37.15,25.36,29.94,38.73,-,46.55,91.21,58.40,-,36.68,-,-,-,-,-,-
14,EV/FCF Ratio,18.48,18.48,46.15,-51.48,-54.22,-,-,-,14.83,25.57,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.21,0.29,0.23,0.21,0.07,0.04,0.00,0.00,0.01,0.01,0.01,-,-,-
16,Debt / EBITDA Ratio,2.71,1.36,3.87,6.56,114.51,3.31,1.27,1.03,0.48,0.21,0.04,0.06,0.05,-,-,-
17,Debt / FCF Ratio,2.00,2.00,8.73,-10.78,-7.30,-,-,-,0.03,0.04,0.13,-,-0.08,-,-,-
18,Asset Turnover,0.39,0.35,0.29,0.34,0.37,0.35,0.33,0.33,0.40,-,-,-,-,-,-,
19,Inventory Turnover,1.56,1.56,1.62,1.41,1.61,1.56,1.78,1.95,2.08,1.70,-,-,-,-,-,-
20,Quick Ratio,5.97,5.97,3.68,3.23,3.66,4.01,7.49,12.83,19.23,27.63,7.46,-,3.41,-,-,-
21,Current Ratio,7.60,7.60,4.68,3.99,4.57,5.13,9.56,15.29,22.99,32.35,17.30,-,11.55,-,-,-
22,Return on Equity (ROE),7.46%,8.33%,5.77%,5.82%,9.28%,6.99%,5.54%,2.58%,4.41%,23.06%,18.41%,-,-,-,-,
23,Return on Assets (ROA),4.69%,2.48%,2.09%,-0.21%,3.20%,2.77%,1.86%,-0.27%,0.97%,-,-,-,-,-,-,
24,Return on Capital (ROIC),4.85%,2.57%,2.16%,-0.22%,3.31%,2.88%,1.93%,-0.28%,1.01%,13.68%,11.05%,-,-,-,-,
25,Return on Capital Employed (ROCE),4.45%,4.45%,3.70%,3.55%,-,3.32%,2.13%,2.34%,-,4.00%,17.75%,-,25.03%,-,-,-
26,Earnings Yield,2.09%,3.61%,3.86%,3.23%,2.78%,2.57%,1.59%,1.89%,2.29%,3.02%,-,-,-,-,-,-
27,FCF Yield,3.30%,3.30%,1.29%,-1.28%,-1.29%,-2.76%,-0.52%,2.73%,3.43%,3.65%,-,-,-,-,-,-
28,Dividend Yield,0.69%,-,-,-,1.12%,-,-,-,1.99%,-,-,-,-,-,-,-
29,Payout Ratio,46.49%,6.60%,133.05%,10.58%,8.72%,3.14%,87.53%,0.31%,289.91%,-,-,-,-,0.07%,43.71%,-
30,Buyback Yield / Dilution,0.06%,1.35%,-2.17%,1.00%,0.00%,-9.71%,-31.34%,-35.05%,-35.24%,-22.76%,-0.29%,-,-,-,-,-
31,Total Shareholder Return,0.75%,1.35%,-2.17%,1.00%,1.12%,-9.71%,-31.34%,-35.05%,-33.24%,-22.76%,-0.29%,-,-,-,-,-
