,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,461.88,423.18,362.94,382.54,404.76,337.73,307.08,301.72,235.69,311.36,229.34,284.77,241.84,353.66,243.26
1,Other Revenue,-4.87,4.87,-,14.78,-8.28,8.28,-,1.79,-1.23,1.23,-,-,-0.51,0.51,-
2,Revenue,457.02,428.04,362.94,397.32,396.48,346.02,307.08,303.51,234.46,312.59,229.34,284.77,241.34,354.17,243.26
3,Revenue Growth (YoY),15.27%,23.71%,18.19%,30.91%,69.11%,10.69%,33.89%,6.58%,-2.85%,-11.74%,-5.72%,-,-,-,-
4,Cost of Revenue,328.98,344.17,288.79,337.55,298.77,262.64,246.97,244.89,190.22,244.37,177.17,222.09,175.38,246.03,195.43
5,Gross Profit,128.04,83.87,74.15,59.76,97.7,83.37,60.11,58.62,44.24,68.22,52.17,62.67,65.96,108.14,47.83
6,"Selling, General & Admin",8.93,9.34,10.02,13.49,8.01,7.9,6.92,9.72,8.24,6.94,7.09,7.59,8.65,15.88,-
7,Research & Development,40.01,34.19,29.8,50.06,42.5,42.37,29.23,48.04,36.75,12.28,12.89,16.41,21.68,38.68,-
8,Other Operating Expenses,-8.25,-8.87,-7.43,-0.05,-8.16,-10.29,-4.3,4.86,-9.59,-5.25,-6.56,-3.53,-5.78,-34.8,-
9,Operating Expenses,40.68,34.74,32.78,63.73,42.62,39.73,32.02,62.59,35.13,17.24,13.2,20.6,24.55,19.76,-
10,Operating Income,87.36,49.14,41.37,-3.97,55.08,43.64,28.1,-3.97,9.1,50.98,38.97,42.07,41.42,88.38,47.83
11,Interest Expense,-4.58,-6.29,-6.01,-4.99,-3.08,-1.18,-0.31,-0.1,-0.1,-0.11,-0.13,-0.1,-0.13,-0.52,-
12,Interest & Investment Income,21.95,19.58,24,44.61,49.31,11.08,10.41,14.87,9.44,0.49,0.46,3.82,0.91,5.44,-
13,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,0,-0,-,-,-,-,-
14,Other Non Operating Income (Expenses),0.21,-0.26,-0.01,-0,0.19,-0.22,-0.01,-0.13,0.14,-0.02,0.01,0.01,0.06,-0.1,-
15,EBT Excluding Unusual Items,104.95,62.16,59.35,35.65,101.5,53.32,38.19,10.68,18.58,51.34,39.31,45.8,42.25,93.21,47.83
16,Gain (Loss) on Sale of Investments,-0.37,11.88,5.16,-14.02,-5.28,9.62,11.23,4.19,6.21,1.84,0.85,-1.4,1.43,0.25,-
17,Gain (Loss) on Sale of Assets,0.24,-0,-0,0.01,-,-,-,-0.01,-,-,-,-0,-,0,-0
18,Asset Writedown,-22.23,3.54,-3.54,11.33,-11.33,-,-,-,-,-,-,4.71,-4.71,-,-
19,Other Unusual Items,-2.83,2.83,-,21.52,-,-,-,7.91,-,-,-,-,-,0.03,-0.03
20,Pretax Income,79.76,80.41,60.97,54.49,84.89,62.94,49.42,22.77,24.79,53.18,40.16,49.1,38.97,93.49,47.8
21,Income Tax Expense,7.71,0.68,6.11,0.08,-,-,-,-,-,-,-,-,-,-,-
22,Earnings From Continuing Operations,72.05,79.72,54.86,54.41,84.89,62.94,49.42,22.77,24.79,53.18,40.16,49.1,38.97,93.49,47.8
23,Minority Interest in Earnings,0.03,0.03,0.03,0.03,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,72.07,79.75,54.89,54.44,84.89,62.94,49.42,22.77,24.79,53.18,40.16,49.1,38.97,93.49,47.8
25,Net Income to Common,72.07,79.75,54.89,54.44,84.89,62.94,49.42,22.77,24.79,53.18,40.16,49.1,38.97,93.49,47.8
26,Net Income Growth,-15.10%,26.70%,11.07%,139.15%,242.42%,18.36%,23.05%,-53.64%,-36.39%,-43.12%,-15.99%,-,-,-,-
27,Shares Outstanding (Basic),120,121,119,119,122,119,121,121,111,90,89,89,90,90,-
28,Shares Outstanding (Diluted),120,121,119,121,122,119,121,121,111,90,89,89,90,90,-
29,Shares Change (YoY),-1.35%,2.17%,-1.00%,-0.00%,9.71%,31.34%,35.05%,35.24%,22.76%,0.29%,-,-,-,-,-
30,EPS (Basic),0.60,0.66,0.46,0.46,0.70,0.53,0.41,0.19,0.22,0.59,0.45,0.55,0.43,1.04,-
31,EPS (Diluted),0.60,0.66,0.46,0.45,0.70,0.53,0.41,0.19,0.22,0.59,0.45,0.55,0.43,1.04,-
32,EPS Growth,-13.94%,24.01%,12.20%,139.16%,212.12%,-9.88%,-8.89%,-65.72%,-48.18%,-43.28%,-,-,-,-,-
33,Free Cash Flow,31.66,44.95,3.86,158.25,-115.16,-149.37,-10.82,39.04,68.51,119.82,-16.65,30.78,-58.92,23.6,-111.97
34,Free Cash Flow Per Share,0.26,0.37,0.03,1.31,-0.95,-1.26,-0.09,0.32,0.62,1.33,-0.19,0.34,-0.65,0.26,-
35,Dividend Per Share,-,-,-,0.830,-,-,-,0.450,-,0.550,-,-,-,-,-
36,Dividend Growth,-,-,-,84.44%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,28.02%,19.59%,20.43%,15.04%,24.64%,24.09%,19.58%,19.31%,18.87%,21.82%,22.75%,22.01%,27.33%,30.53%,19.66%
38,Operating Margin,19.12%,11.48%,11.40%,-1.00%,13.89%,12.61%,9.15%,-1.31%,3.88%,16.31%,16.99%,14.77%,17.16%,24.96%,19.66%
39,Profit Margin,15.77%,18.63%,15.12%,13.70%,21.41%,18.19%,16.09%,7.50%,10.57%,17.01%,17.51%,17.24%,16.15%,26.40%,19.65%
40,Free Cash Flow Margin,6.93%,10.50%,1.06%,39.83%,-29.05%,-43.17%,-3.52%,12.86%,29.22%,38.33%,-7.26%,10.81%,-24.41%,6.66%,-46.03%
41,EBITDA,88.05,49.77,42.06,-3.29,57.65,46.18,30.67,-1.4,9.83,51.91,39.7,42.8,41.81,89.05,48.22
42,EBITDA Margin,19.27%,11.63%,11.59%,-0.83%,14.54%,13.34%,9.99%,-0.46%,4.19%,16.61%,17.31%,15.03%,17.32%,25.14%,19.82%
43,D&A For EBITDA,0.68,0.64,0.68,0.68,2.57,2.53,2.57,2.57,0.72,0.93,0.72,0.72,0.39,0.66,0.39
44,EBIT,87.36,49.14,41.37,-3.97,55.08,43.64,28.1,-3.97,9.1,50.98,38.97,42.07,41.42,88.38,47.83
45,EBIT Margin,19.12%,11.48%,11.40%,-1.00%,13.89%,12.61%,9.15%,-1.31%,3.88%,16.31%,16.99%,14.77%,17.16%,24.96%,19.66%
46,Effective Tax Rate,9.67%,0.85%,10.03%,0.14%,-,-,-,-,-,-,-,-,-,-,-
47,Revenue as Reported,457.02,428.04,362.94,397.32,396.48,346.02,307.08,303.51,234.46,312.59,229.34,-,-,-,-
