,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1821,1786,1749,1569,1175,1199,1418,1450,1291,1372,1796,1989,123.14,-,-,557.09,-,464.29,464.29
1,Trading Asset Securities,840.17,709.74,858.84,851.3,1331,1320,1256,1243,1520,1512,1484,1537,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,2661,2496,2608,2421,2507,2519,2673,2693,2811,2884,3280,3527,123.14,-,557.09,557.09,464.29,464.29,464.29
3,Cash Growth,6.18%,-0.90%,-2.44%,-10.12%,-10.83%,-12.67%,-18.51%,-23.63%,2182.65%,-,488.85%,533.03%,-73.48%,-,19.99%,-,-,-,-
4,Accounts Receivable,408.03,454.96,501.79,486,481.45,489.85,510.31,617.22,419.18,499.37,462.94,362.02,335.51,-,-,196.65,-,244.13,244.13
5,Other Receivables,69.78,55.73,60.85,62.41,41.37,35.46,41.45,46.15,36.56,57.32,33.26,32.42,57.52,-,-,34.07,-,16.81,16.81
6,Receivables,477.81,510.69,562.64,548.41,522.82,525.32,551.76,663.37,455.75,556.69,496.21,394.44,393.03,-,-,230.72,-,260.95,260.95
7,Inventory,683.02,682.69,607.04,634.72,611.86,619.96,694.17,529.36,522.23,552.15,566.78,480.75,402.8,-,-,402.37,-,429.96,429.96
8,Other Current Assets,188.37,199.27,197.9,226.89,243.57,174.41,225.49,314.63,172.24,143.66,210.97,117.11,131.99,-,-,65.76,-,75.1,75.1
9,Total Current Assets,4011,3889,3976,3831,3885,3838,4145,4201,3961,4136,4554,4519,1051,-,-,1256,-,1230,1230
10,"Property, Plant & Equipment",1677,1704,1729,1696,1656,1592,1605,1598,1480,1261,1197,879.7,589.46,-,-,262.36,-,105.85,105.85
11,Long-Term Investments,65.39,64.82,64.49,64.93,5.17,5.19,5.24,5.26,5.25,5.3,5.3,5.28,5.39,-,-,5.58,-,5.13,5.13
12,Goodwill,363.72,363.72,328.06,242.41,240.55,230.5,230.5,230.5,228.89,228.89,65.24,48.59,11.6,-,-,11.6,-,11.6,11.6
13,Other Intangible Assets,236.79,237.94,238.82,240.55,246.18,244.56,246.38,248.25,240.47,241.56,240.27,202.27,199.77,-,-,203.46,-,204.68,204.68
14,Long-Term Deferred Tax Assets,51.57,43.17,36.56,34.72,36.24,30.74,33,31.42,20.21,19.12,17.82,12.61,11.37,-,-,10.64,-,7.2,7.2
15,Long-Term Deferred Charges,46.27,49.9,53.21,50.92,56.48,56.83,55.23,60.32,51.27,49.41,46.65,47.75,30.57,-,-,36.78,-,29.24,29.24
16,Other Long-Term Assets,22.51,39.24,30.01,84.11,50.94,59.33,40.6,35.95,69.6,36.09,25.37,92.07,64.17,-,-,8.22,-,20.84,20.84
17,Total Assets,6474,6391,6456,6244,6177,6058,6360,6411,6057,5977,6152,5807,1963,-,-,1795,-,1615,1615
18,Accounts Payable,452.66,522.98,521.73,482.97,458.8,471.7,554.84,634.89,440.98,348.23,412.24,448.1,350.73,-,-,336,-,275.64,275.64
19,Accrued Expenses,37.85,74.83,37,92.09,28.04,78.64,32.31,144.45,28.27,99.7,26.29,58.84,17.51,-,-,39.24,-,83.87,83.87
20,Short-Term Debt,557.5,459.25,339.19,402.43,327.83,306.68,285.18,282.74,370.9,368.17,355.07,83.07,69,-,-,280,-,315,315
21,Current Portion of Long-Term Debt,143.7,94.06,147.81,12,61.3,14.1,62.88,13.81,57.5,-,60.24,10,20.49,-,-,-,-,5,5
22,Current Portion of Leases,-,53.65,-,55.01,-,50.37,-,51.69,-,62.24,-,41.89,-,-,-,-,-,-,-
23,Current Income Taxes Payable,27.44,17.03,28.39,3.76,38.01,3.77,38.83,28.47,25.72,14.81,24.97,23.31,29.08,-,-,20.36,-,18.76,18.76
24,Current Unearned Revenue,27.89,25.39,20.49,16.84,16.03,9.55,3.81,8.98,7.76,7.88,8.28,10,1.39,-,-,3.08,-,3.2,3.2
25,Other Current Liabilities,177.54,33.12,61.11,21.31,82.66,18.74,76.33,22.56,55.18,29.84,45.65,7.38,29.6,-,-,54.95,-,24.73,24.73
26,Total Current Liabilities,1425,1280,1156,1086,1013,953.55,1054,1188,986.32,930.86,932.74,682.58,517.8,-,-,733.64,-,726.2,726.2
27,Long-Term Debt,146.67,155.12,160.1,94.1,96.5,99,106,30.03,-,5,5,5,10,-,-,10,-,15,15
28,Long-Term Leases,76.26,68.28,79.26,77.24,77.75,65.61,88.56,84.55,100.41,119.42,127.59,93.19,75.99,-,-,-,-,-,-
