,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7395,8298,6905,6831,7791,7959,10278,8552,7606,6724,8890,9863,12626,-,-,-,-,-,-,-
1,Market Cap Growth,4.26%,4.26%,-32.82%,-20.13%,2.43%,18.37%,15.62%,-13.29%,-39.76%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5664,6642,5032,4901,5861,5989,8159,6284,5337,4410,6177,9919,12682,-,-,-,-,-,-,-
3,Last Close Price,36.36,39.35,33.37,31.64,36.09,37.00,46.94,38.11,33.89,29.96,39.61,42.54,54.59,-,-,-,-,-,-,-
4,PE Ratio,27.83,31.40,28.73,30.91,30.64,21.16,27.75,22.16,25.21,23.03,25.88,28.29,29.44,-,-,-,-,-,-,-
5,PS Ratio,2.45,2.79,2.39,2.43,2.73,2.47,3.21,2.65,2.55,2.74,3.60,4.43,5.55,-,-,-,-,-,-,-
6,PB Ratio,1.56,1.75,1.43,1.37,1.59,1.62,2.12,1.70,1.51,1.37,1.83,1.96,2.54,-,-,-,-,-,-,-
7,P/TBV Ratio,2.00,2.00,1.64,1.55,1.76,1.81,2.35,1.88,1.67,1.52,2.04,2.10,2.69,-,-,-,-,-,-,-
8,P/FCF Ratio,30.56,34.29,67.91,39.70,-,-,109.81,406.98,-,-,-13.19,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,18.05,18.05,19.45,14.59,19.78,19.01,19.66,14.99,76.89,34.55,171.81,-,52.61,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.90,2.23,1.74,1.75,2.05,1.86,2.55,1.94,1.79,1.80,2.50,4.45,5.57,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,14.55,21.49,19.38,20.59,-,13.76,20.51,15.37,18.70,20.22,20.81,29.57,28.63,-,-,-,-,-,-,-
12,EV/EBIT Ratio,25.47,29.87,27.46,30.25,-,15.76,23.61,16.91,21.24,23.59,22.98,31.97,30.13,-,-,-,-,-,-,-
13,EV/FCF Ratio,23.40,27.45,49.49,28.49,-,-,87.17,299.03,-,-,-9.17,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.19,0.19,0.17,0.15,0.13,0.11,0.11,0.11,0.09,0.11,0.11,0.11,0.05,0.14,-,0.29,0.29,0.39,0.39,0.39
15,Debt / EBITDA Ratio,2.37,1.72,2.04,1.22,51.63,1.66,1.70,0.73,0.69,2.81,1.45,2.16,0.74,0.35,-,0.42,1.10,0.85,0.53,0.53
16,Debt / FCF Ratio,3.82,3.82,8.17,4.22,-,-,5.72,25.82,-,-,-0.82,-,-,-,-,-,2.37,-,-,-
17,Asset Turnover,0.43,0.47,0.51,0.47,0.40,0.43,0.54,0.71,0.39,0.46,0.40,0.59,-,-,-,-,-,1.52,-,
18,Inventory Turnover,2.48,1.75,2.42,2.61,3.27,1.98,2.67,2.73,5.17,2.59,3.17,2.82,3.18,-,-,-,-,-,2.93,-
19,Quick Ratio,2.20,2.20,2.35,2.74,2.73,2.99,3.19,3.06,2.83,3.31,3.70,4.05,5.74,1.00,-,-,1.07,-,1.00,1.00
20,Current Ratio,2.82,2.82,3.04,3.44,3.53,3.84,4.03,3.93,3.54,4.02,4.44,4.88,6.62,2.03,-,-,1.71,-,1.69,1.69
21,Return on Equity (ROE),5.63%,6.83%,8.17%,0.86%,3.50%,5.37%,10.60%,10.72%,3.04%,6.43%,4.22%,15.95%,-,-,52.19%,40.07%,27.63%,64.41%,-,
22,Return on Assets (ROA),4.41%,1.98%,5.04%,-2.82%,3.04%,1.20%,6.91%,4.00%,1.66%,2.29%,2.34%,2.27%,-,-,-,-,-,24.18%,-,
23,Return on Capital (ROIC),5.01%,2.25%,5.69%,-3.18%,3.42%,1.36%,7.97%,4.56%,1.84%,2.53%,2.60%,2.65%,-,-,32.30%,12.53%,20.12%,32.99%,-,
24,Return on Capital Employed (ROCE),4.40%,4.40%,3.59%,3.06%,-,7.36%,6.77%,7.00%,4.81%,3.69%,5.33%,5.94%,8.21%,30.96%,-,-,44.27%,-,35.15%,17.58%
25,Earnings Yield,3.57%,3.18%,3.48%,3.24%,3.26%,4.73%,3.60%,4.51%,3.97%,4.34%,3.86%,3.54%,3.40%,-,-,-,-,-,-,-
26,FCF Yield,3.27%,2.92%,1.47%,2.52%,0.26%,0.69%,0.91%,0.25%,-7.11%,-8.29%,-7.58%,-7.03%,-2.16%,-,-,-,-,-,-,-
27,Dividend Yield,3.27%,-,5.39%,-,3.33%,-,-,-,3.54%,-,-,-,2.25%,-,-,-,-,-,-,-
28,Payout Ratio,95.32%,5.64%,292.37%,1.55%,13.39%,2.15%,383.13%,0.46%,0.50%,0.71%,323.08%,0.20%,0.43%,-,0.55%,1.35%,3.04%,44.90%,1.34%,1.34%
29,Buyback Yield / Dilution,2.79%,2.51%,2.53%,0.18%,5.77%,-0.40%,0.06%,1.07%,-7.99%,-33.42%,-34.81%,-34.09%,-21.77%,0.22%,-0.30%,-0.00%,-,-,-,-
30,Total Shareholder Return,6.06%,2.51%,7.92%,0.18%,9.10%,-0.40%,0.06%,1.07%,-4.45%,-33.42%,-34.81%,-34.09%,-19.51%,0.22%,-0.30%,-0.00%,-,-,-,-
