,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,475.67,560.59,499.46,461.92,419.28,-,516.48,-,324.56,502.68
1,Revenue Growth (YoY),-4.76%,21.36%,19.12%,-,-18.82%,-,59.13%,-,-39.19%,-4.36%
2,Cost of Revenue,279.44,365.31,296.61,278.11,215.85,-,255.91,-,157.94,228.23
3,Gross Profit,196.23,195.27,202.84,183.81,203.43,-,260.57,-,166.62,274.45
4,"Selling, General & Admin",173.42,163.67,184.97,162.86,201.04,-,241,-,241.31,284.16
5,Other Operating Expenses,-1.97,1.12,-1.23,1.71,-0.54,-,-0.38,-,-0.59,-2.67
6,Operating Expenses,171.41,165.07,184.54,166.94,200.55,-,235.42,-,250.53,293.43
7,Operating Income,24.82,30.21,18.3,16.87,2.87,-,25.14,-,-83.91,-18.98
8,Interest Expense,-3.54,-2.85,-3.7,-4.1,-3.69,-,-5.77,-,-7.85,-9.83
9,Interest & Investment Income,-,0.78,-,0.67,-,-,-,-,-,1.42
10,Earnings From Equity Investments,0.23,0.34,-3.07,-0.24,0.13,-,2.28,-,-2.05,-0.75
11,Currency Exchange Gain (Loss),-,-0.01,-,-5.25,-,-,-,-,-,-0
12,Other Non Operating Income (Expenses),-1.9,1.61,1.18,8.34,-1.18,-,-10.42,-,-0.09,7.48
13,EBT Excluding Unusual Items,19.6,30.08,12.72,16.29,-1.87,-,11.24,-,-93.9,-20.67
14,Gain (Loss) on Sale of Investments,-,-0.02,-,0.04,-,-,-,-,17.4,-
15,Gain (Loss) on Sale of Assets,-,-0.01,-,-1.71,-,-,-,-,-,0.02
16,Asset Writedown,-,-1.74,-,-2.41,-,-,-,-,-,-
17,Legal Settlements,-,-,-,-,-,-,-,-,-,-6.61
18,Other Unusual Items,-,-0.42,-,0.61,-,-,-,-,-,-
19,Pretax Income,19.6,27.89,12.72,12.82,-1.87,-,11.24,-,-76.5,-27.26
20,Income Tax Expense,6.39,7.58,1.42,-2.96,-2.09,-,0.84,-,-3.71,3.4
21,Earnings From Continuing Operations,13.21,20.31,11.3,15.78,0.22,-,10.4,-,-72.79,-30.67
22,Earnings From Discontinued Operations,-,-,-,-,-,-,-6.86,-,-,-
23,Net Income to Company,13.21,20.31,11.3,15.78,0.22,-,3.54,-,-72.79,-30.67
24,Minority Interest in Earnings,-,-,-,-,-,-,2.74,-,2.18,5.71
25,Net Income,13.21,20.31,11.3,15.78,0.22,-,6.28,-,-70.62,-24.96
26,Net Income to Common,13.21,20.31,11.3,15.78,0.22,-,6.28,-,-70.62,-24.96
27,Net Income Growth,16.91%,28.67%,4931.71%,-,-96.43%,-,-,-,-,-
28,Shares Outstanding (Basic),133,133,133,133,133,-,133,-,133,133
29,Shares Outstanding (Diluted),133,133,133,133,133,-,133,-,133,133
30,Shares Change (YoY),-,-,-,-,-,-,-,-,-,-0.20%
31,EPS (Basic),0.10,0.15,0.08,0.12,0.00,-,0.05,-,-0.53,-0.19
32,EPS (Diluted),0.10,0.15,0.08,0.12,0.00,-,0.05,-,-0.53,-0.19
33,EPS Growth,16.91%,28.67%,4932.86%,-,-96.43%,-,-,-,-,-
34,Free Cash Flow,-38.7,99.42,18.49,36.95,27.74,-,-22.38,-,-80.64,60.7
35,Free Cash Flow Per Share,-0.29,0.75,0.14,0.28,0.21,-,-0.17,-,-0.60,0.46
36,Operating Margin,5.22%,5.39%,3.66%,3.65%,0.68%,-,4.87%,-,-25.85%,-3.78%
37,Profit Margin,2.78%,3.62%,2.26%,3.42%,0.05%,-,1.22%,-,-21.76%,-4.96%
38,Free Cash Flow Margin,-8.14%,17.74%,3.70%,8.00%,6.62%,-,-4.33%,-,-24.85%,12.08%
39,EBITDA,35.09,41.51,27.54,34.48,19.19,-,41.27,-,-60.3,1.44
40,D&A For EBITDA,10.27,11.3,9.24,17.62,16.31,14.53,16.12,20,23.61,20.42
41,EBIT,24.82,30.21,18.3,16.87,2.87,-,25.14,-,-83.91,-18.98
42,Advertising Expenses,3.6,-,3.42,-,5,-,4.13,-,9.05,-
