,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,143,113,79,59,52,93,87,79,63,85,149
1,Market Cap Growth,91.01%,91.01%,51.28%,-36.43%,-40.00%,18.64%,36.84%,-7.81%,-57.59%,-41.28%,-21.13%
2,Enterprise Value,224,116,142,125,176,236,291,247,367,335,426
3,Last Close Price,1.07,0.85,0.53,0.40,0.32,0.57,0.53,0.48,0.39,0.52,0.92
4,PE Ratio,3.96,3.15,2.26,2.03,2.88,354.99,-,10.42,-,-,-
5,PS Ratio,0.13,0.10,0.07,0.06,0.05,0.19,-,0.13,-,0.09,0.13
6,PB Ratio,0.52,0.41,0.28,0.24,0.20,0.38,0.33,0.31,0.26,0.37,0.47
7,P/TBV Ratio,0.42,0.42,0.29,0.24,0.21,0.39,0.34,0.33,0.28,0.40,0.51
8,P/FCF Ratio,2.19,-,0.61,0.99,0.71,2.87,-,-,-,-,8.84
9,P/OCF Ratio,1.27,-,0.53,0.77,0.55,2.05,-,-,-,-,2.40
10,EV/Sales Ratio,0.20,0.10,0.12,0.12,0.18,0.48,-,0.40,-,0.37,0.37
11,EV/EBITDA Ratio,2.23,1.41,1.87,1.86,2.90,10.51,-,4.97,-,-,10.50
12,EV/EBIT Ratio,3.76,1.96,2.66,3.28,7.89,70.25,-,8.15,-,-,-
13,EV/FCF Ratio,3.43,-,1.10,2.08,2.41,7.27,-,-,-,-,25.21
14,Debt / Equity Ratio,0.59,0.59,0.57,0.64,0.76,0.85,0.95,1.02,1.19,1.55,1.22
15,Debt / FCF Ratio,2.50,-,1.24,2.69,2.67,6.48,-,-,-,-,22.86
16,Return on Capital Employed (ROCE),19.76%,19.82%,17.61%,13.66%,7.98%,1.22%,-,10.94%,-,-,-
17,Earnings Yield,25.23%,31.76%,44.24%,49.29%,34.78%,0.28%,-,9.60%,-,-122.81%,-12.21%
18,FCF Yield,45.71%,57.54%,165.05%,100.92%,140.58%,34.80%,-,-34.20%,-,-25.63%,11.31%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,0.20%,
20,Total Shareholder Return,8.21%,-,-,-,-,-,-,-,-,-,0.20%
