,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2018,Q1 2018,Q2 2017,Q1 2017,Q4 2015,Q4 2014
,Period Ending,"Feb '25 Feb 28, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Market Capitalization,41860,41860,47195,33652,15595,16826,31190,14364,16005,6156,7387,8618,7387,9029,16826
1,Market Cap Growth,-,148.78%,51.32%,134.29%,-2.56%,173.33%,322.22%,66.67%,116.67%,-31.82%,-56.10%,-,-,-,-
2,Enterprise Value,43842,46434,54436,40893,22835,29861,44225,27398,29040,37188,38419,39650,38419,-,-
3,Last Close Price,10200.00,10200.00,11500.00,8200.00,3800.00,4100.00,7600.00,3500.00,3900.00,1500.00,1800.00,2100.00,1800.00,2200.00,4100.00
4,PE Ratio,154.55,88.45,144.13,102.63,113.26,164.81,280.95,112.11,126.67,48.13,64.82,77.23,86.07,149.59,438.80
5,PS Ratio,0.76,0.61,0.57,0.40,0.26,0.32,0.80,0.50,0.77,0.45,0.42,0.47,0.45,0.61,3.41
6,PB Ratio,0.79,0.79,0.89,0.64,-,0.32,-,-,-,0.12,-,-,-,0.17,-
7,P/TBV Ratio,0.79,0.79,0.89,0.64,-,0.32,-,-,-,0.12,-,-,-,0.18,-
8,P/FCF Ratio,16.69,-136.56,-,-,-,2.05,3.33,1.37,1.89,0.96,1.68,3.59,6.16,-,-
9,P/OCF Ratio,16.69,-95.78,-,-,-,1.95,3.19,1.32,1.76,0.84,1.38,2.57,4.40,-,-
10,EV/Sales Ratio,0.80,0.67,0.66,0.49,0.38,0.57,1.13,0.94,1.40,2.70,2.20,2.17,2.32,-,-
11,EV/EBITDA Ratio,22.73,40.20,67.56,-,-,23.69,50.06,49.74,29.00,-,-,33.98,84.32,-,-
12,EV/EBIT Ratio,165.86,123.72,157.57,93.53,45.26,61.41,100.38,-27.13,-57.53,-130.76,-,24.14,35.97,-,-
13,EV/FCF Ratio,18.52,-151.48,-,-,-,3.64,4.73,2.60,3.44,5.82,8.75,16.53,32.03,-,-
14,Debt / Equity Ratio,0.10,0.10,0.14,0.26,-,0.24,-,-,-,0.29,-,-,-,0.63,-
15,Debt / EBITDA Ratio,2.84,1.89,4.26,-,-,8.33,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,2.19,-17.90,-,-,-,1.53,-,-,-,2.35,-,-,-,-,-
17,Asset Turnover,0.19,-,-,-,-,-,-,-,-,-,-,-,-,-,
18,Inventory Turnover,2.68,1.13,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Quick Ratio,0.58,0.58,0.60,0.61,-,0.57,-,-,-,0.54,-,-,-,0.30,-
20,Current Ratio,1.17,1.17,1.15,1.11,-,1.00,-,-,-,1.01,-,-,-,1.30,-
21,Return on Equity (ROE),1.30%,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,Return on Assets (ROA),0.41%,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),0.89%,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Return on Capital Employed (ROCE),0.45%,0.64%,0.59%,0.73%,-,0.84%,-,-,-,-0.49%,-,-,-,-,-
25,Earnings Yield,0.65%,1.13%,0.69%,0.97%,0.88%,0.61%,0.36%,0.89%,0.79%,2.08%,1.54%,1.29%,1.16%,0.67%,0.23%
26,FCF Yield,5.99%,-0.73%,-,-3.66%,-,48.73%,30.00%,73.22%,52.80%,103.73%,59.46%,27.83%,16.24%,-,-
27,Buyback Yield / Dilution,-7.45%,1.90%,-823.52%,-6.62%,3.34%,3.34%,8.42%,6.07%,-,-,-,-,-,-,
28,Total Shareholder Return,-7.45%,1.90%,-823.52%,-6.62%,3.34%,3.34%,8.42%,6.07%,-,-,-,-,-,-,
