,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2022,Q1 2022,Q2 2021,Q1 2021,Q2 2018,Q1 2018,Q2 2017,Q1 2017,Q4 2015,Q4 2014
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '15 Dec 31, 2015","Dec '14 Dec 31, 2014"
0,Revenue,6091,13547,33944,15552,19747,14144,9980,8602,6275,4147,1671,1671,9985,4936
1,Revenue Growth (YoY),-69.16%,-4.22%,240.14%,80.80%,214.70%,241.09%,497.19%,414.83%,-37.16%,-15.99%,-,-,-,-
2,Cost of Revenue,5164,9754,33166,14755,18938,13470,8978,7806,5999,5226,550,959.91,9989,3700
3,Gross Profit,926.42,3793,778.24,797.11,808.83,674.31,1002,795.98,276.12,-1079,1121,710.88,-3.55,1236
4,"Selling, General & Admin",715.03,3747,776.47,680.6,627.3,536.91,932.61,697.74,140.28,233.74,546.71,392.27,210.24,272.89
5,Operating Expenses,715.03,3747,776.47,680.6,627.3,536.91,932.61,697.74,140.28,233.74,546.71,392.27,210.24,272.89
6,Operating Income,211.39,45.65,1.77,116.51,181.52,137.41,69.08,98.24,135.84,-1313,574.36,318.61,-213.79,963.33
7,Interest Expense,-59.71,-70.07,-49.11,-27.97,-148.43,-108.26,-35.65,-68.85,-,-,-724,-387,-40.72,-557.75
8,Interest & Investment Income,0.81,0.7,3.11,6.19,0.69,0.37,2.16,1.1,0.01,0.03,0.85,0.69,0.2,0.22
9,Other Non Operating Income (Expenses),-0.16,116.37,316.42,-20.33,-,-,-0.95,-0.47,-90.91,1364,181.82,99.55,281.82,-360
10,Pretax Income,152.32,92.65,272.18,74.4,33.78,29.52,34.64,30.03,44.94,50.9,33.03,31.84,27.51,45.81
11,Income Tax Expense,-20.49,69.49,54.43,14.88,6.76,5.9,7.12,6.1,8.99,10.18,7.27,6.37,5.5,7.46
12,Net Income,172.81,23.16,217.74,59.52,27.03,23.61,27.52,23.93,35.95,40.72,25.76,25.47,22.01,38.35
13,Net Income to Common,172.81,23.16,217.74,59.52,27.03,23.61,27.52,23.93,35.95,40.72,25.76,25.47,22.01,38.35
14,Net Income Growth,539.42%,-1.90%,691.12%,148.77%,-24.82%,-42.01%,6.84%,-6.07%,63.34%,6.19%,-,-,-,-
15,Shares Outstanding (Basic),4,4,36,4,4,4,4,4,4,4,4,4,-,-
16,Shares Outstanding (Diluted),4,4,36,4,4,4,4,4,4,4,4,4,-,-
17,Shares Change (YoY),7.45%,-1.90%,823.52%,6.62%,-3.34%,-3.34%,-8.42%,-6.07%,-,-,-,-,-,-
18,EPS (Basic),41.65,6.00,6.00,14.00,7.00,6.00,7.00,6.00,9.00,10.00,6.00,6.00,-,-
19,EPS (Diluted),41.65,6.00,6.00,14.00,7.00,6.00,7.00,6.00,9.00,10.00,6.00,6.00,-,-
20,EPS Growth,495.07%,0%,-14.34%,133.33%,-22.22%,-40.00%,16.67%,0.00%,-,-,-,-,-,-
21,Free Cash Flow,2593,-,-2899,-,833.68,833.68,3266,3266,1993,1993,1199,1199,-,-
22,Free Cash Flow Per Share,624.90,-,-79.84,-,215.93,211.83,830.56,818.91,498.97,489.50,279.35,282.52,-,-
23,Gross Margin,15.21%,28.00%,2.29%,5.13%,4.10%,4.77%,10.04%,9.25%,4.40%,-26.03%,67.09%,42.55%,-0.04%,25.04%
24,Operating Margin,3.47%,0.34%,0.01%,0.75%,0.92%,0.97%,0.69%,1.14%,2.16%,-31.67%,34.37%,19.07%,-2.14%,19.52%
25,Profit Margin,2.84%,0.17%,0.64%,0.38%,0.14%,0.17%,0.28%,0.28%,0.57%,0.98%,1.54%,1.52%,0.22%,0.78%
26,Free Cash Flow Margin,42.57%,-,-8.54%,-,4.22%,5.89%,32.72%,37.97%,31.76%,48.07%,71.78%,71.79%,-,-
27,EBITDA,726.1,429.01,-,-,376.76,332.64,260.85,290.01,-,-,711.39,455.64,-,-
28,EBITDA Margin,11.92%,3.17%,-,-,1.91%,2.35%,2.61%,3.37%,-,-,42.57%,27.27%,-,-
29,D&A For EBITDA,514.71,383.35,-,-,195.23,195.23,191.77,191.77,-,-,137.03,137.03,-,-
30,EBIT,211.39,45.65,1.77,116.51,181.52,137.41,69.08,98.24,135.84,-1313,574.36,318.61,-213.79,963.33
31,EBIT Margin,3.47%,0.34%,0.01%,0.75%,0.92%,0.97%,0.69%,1.14%,2.16%,-31.67%,34.37%,19.07%,-2.14%,19.52%
32,Effective Tax Rate,-,75.00%,20.00%,20.00%,20.00%,20.00%,20.55%,20.31%,20.00%,20.00%,22.00%,20.00%,20.00%,16.29%
33,Revenue as Reported,6091,13547,33944,15552,19747,14144,9980,8602,6275,4147,1671,1671,9985,4936
