,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters
0,Market Capitalization,383160,407880,475860,407880,463500,426420,482040,556200,330000,348000,600000,600000,984000,804000,318000,396000,175500,133500,88500,66000,117000,Upgrade
1,Market Cap Growth,-1.28%,-4.35%,-1.28%,-26.67%,40.45%,22.53%,-19.66%,-7.30%,-66.46%,-56.72%,88.68%,51.52%,460.68%,502.25%,259.32%,500.00%,50.00%,-12.75%,7.27%,83.33%,368.00%,Upgrade
2,Enterprise Value,576975,596901,842896,818454,854250,771413,869393,958456,645311,663311,877590,717077,1107589,927589,355163,433992,276981,235418,186368,156401,281292,Upgrade
3,Last Close Price,6200.00,6600.00,7700.00,6600.00,7500.00,6900.00,7800.00,9000.00,5339.81,5631.07,9708.74,9708.74,15922.33,13009.71,10065.91,12534.90,11110.48,8451.56,5397.74,4025.44,7136.00,Upgrade
4,PE Ratio,24.07,24.23,29.90,25.38,33.62,40.86,28.94,24.90,13.04,12.63,29.83,39.75,70.13,39.72,18.51,24.00,13.52,29.97,21.11,15.49,23.54,Upgrade
5,PS Ratio,0.35,0.36,0.43,0.36,0.40,0.35,0.39,0.43,0.27,0.32,0.78,1.29,2.72,2.17,0.91,1.24,0.54,0.35,0.23,0.17,0.30,Upgrade
6,PB Ratio,0.58,0.48,0.57,0.49,0.56,0.51,-,0.73,-,0.46,0.80,0.81,-,-,0.90,1.10,0.56,0.86,0.56,0.42,0.75,Upgrade
7,P/TBV Ratio,0.72,0.61,0.72,0.62,0.71,0.65,-,0.86,-,0.54,0.95,0.96,-,-,1.02,1.24,0.56,0.86,0.56,0.42,0.75,Upgrade
8,P/FCF Ratio,3.74,-,4.72,-,-,-,7.57,191.44,-10.29,-,-,-,-,-6.71,-,-3.13,-,-,-,1.30,-,Upgrade
9,P/OCF Ratio,4.34,-,4.45,-,-,-,7.34,113.60,-11.12,-,-,-,-,-7.24,-,-3.23,-,-,-,1.05,-,Upgrade
10,EV/Sales Ratio,0.53,0.52,0.77,0.72,0.73,0.63,0.71,0.74,0.53,0.61,1.14,1.54,3.06,2.51,1.02,1.36,0.84,0.62,0.48,0.40,0.72,Upgrade
11,EV/EBITDA Ratio,15.64,15.58,22.41,20.76,21.51,19.74,18.37,18.47,12.88,13.84,24.73,25.29,38.21,24.56,11.33,15.37,11.69,15.94,11.95,8.98,15.13,Upgrade
12,EV/EBIT Ratio,20.55,20.22,29.57,27.28,28.72,27.01,23.85,23.59,16.29,17.37,32.56,34.02,50.18,29.70,14.31,19.84,15.90,27.09,18.90,13.17,20.90,Upgrade
13,EV/FCF Ratio,5.63,-,8.37,-,-,-,13.65,329.89,-20.12,-,-,-,-,-7.74,-,-3.43,-,-,-,3.09,-,Upgrade
14,Debt / Equity Ratio,0.29,0.32,0.29,0.36,0.42,0.42,-,0.52,-,0.68,0.53,0.47,-,-,0.38,0.30,0.31,0.72,0.73,0.72,0.67,Upgrade
15,Debt / EBITDA Ratio,6.44,4.67,9.44,8.59,9.97,6.43,-,10.84,-,5.89,7.74,11.79,-,-,5.97,3.44,1.64,9.04,11.57,8.34,4.46,Upgrade
16,Debt / FCF Ratio,2.35,-,2.39,-,-,-,-,135.66,-,-,-,-,-,-,-,-0.86,-,-,-,2.23,-,Upgrade
17,Asset Turnover,1.55,0.94,-,-,-,-,-,-,1.24,1.31,-,-,-,0.73,0.52,1.33,0.73,0.76,0.83,2.08,Upgrade,
18,Inventory Turnover,-,3.05,1.82,-,-,-,-,-,-,3.12,3.30,-,-,-,2.53,1.46,2.86,1.43,1.54,1.70,3.50,Upgrade
19,Quick Ratio,1.27,1.16,1.27,1.13,-,1.43,-,1.00,-,1.17,1.30,1.33,-,-,0.97,1.26,1.08,0.56,0.64,0.72,0.74,Upgrade
20,Current Ratio,3.07,3.06,3.07,2.74,-,2.53,-,2.36,-,2.20,2.42,2.60,-,-,2.24,2.68,2.48,1.74,1.62,1.61,1.63,Upgrade
21,Return on Equity (ROE),4.67%,0.87%,2.46%,2.48%,-,-,-,-,6.99%,4.48%,-,-,-,2.13%,4.78%,16.21%,4.49%,3.08%,1.29%,2.95%,Upgrade,
22,Return on Assets (ROA),2.56%,0.84%,-,-,-,-,-,-,3.61%,2.01%,-,-,-,1.89%,3.28%,8.50%,1.00%,0.71%,1.38%,3.25%,Upgrade,
23,Return on Capital (ROIC),2.76%,0.93%,1.43%,1.41%,-,-,-,-,3.93%,2.20%,-,-,-,2.06%,3.62%,9.72%,1.25%,0.92%,1.79%,4.13%,Upgrade,
24,Return on Capital Employed (ROCE),3.39%,3.47%,3.39%,3.58%,-,3.37%,-,5.16%,-,4.80%,3.42%,2.75%,-,-,6.99%,6.07%,5.51%,5.52%,6.12%,7.58%,8.35%,Upgrade
25,Earnings Yield,4.15%,4.13%,3.34%,3.94%,2.97%,2.45%,3.45%,4.02%,7.67%,7.92%,3.35%,2.52%,1.43%,2.52%,5.40%,4.17%,7.40%,3.34%,4.74%,6.46%,4.25%,Upgrade
26,FCF Yield,26.73%,-,21.17%,0.24%,6.98%,-,13.21%,0.52%,-9.72%,-,-9.86%,-18.46%,-8.24%,-14.91%,-53.18%,-31.97%,-56.79%,-23.45%,-36.58%,76.65%,-,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.62%,-,-,-,-,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,186.96%,-,-,47.30%,-,6.21%,-,-,Upgrade
