,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters
0,Revenue,457692,286430,200438,200438,407101,326809,231138,256103,406910,398159,166698,121202,83234,95107,62666,128687,61461,66290,71519,177869,Upgrade
1,Revenue Growth (YoY),12.43%,-12.36%,-13.28%,-21.74%,0.05%,-17.92%,38.66%,111.30%,388.87%,318.64%,166.01%,-5.82%,35.43%,43.47%,-12.38%,-27.65%,-11.95%,-10.06%,4.98%,251.30%,Upgrade
2,Cost of Revenue,438445,276000,187629,187629,387269,314809,217342,243505,379092,379910,155934,112634,72873,88392,53839,110971,56857,60901,65380,152980,Upgrade
3,Gross Profit,19247,10430,12809,12809,19832,11999,13796,12598,27818,18249,10763,8568,10361,6715,8827,17716,4603,5389,6139,24889,Upgrade
4,"Selling, General & Admin",7126,6298,6176,6176,8730,6367,7416,7150,8822,8442,5399,4551,2599,2781,2467,4544,3257,4388,4239,20446,Upgrade
5,Operating Expenses,7126,6298,6176,6176,8730,6367,7416,7150,8822,8442,5399,4551,2599,2781,2467,4544,3257,4388,4239,20446,Upgrade
6,Operating Income,12121,4132,6633,6633,11102,5632,6380,5448,18996,9807,5364,4017,7762,3934,6360,13172,1346,1001,1900,4443,Upgrade
7,Interest Expense,-4035,-3278,-4839,-4839,-7167,-7592,-9547,-9977,-8667,-5141,-3017,-2356,-2117,-1436,-1388,-1646,-1479,-1553,-1361,-1995,Upgrade
8,Interest & Investment Income,4183,3494,5157,5157,6009,5906,6585,7039,6667,5542,4336,2703,171.55,50.86,369.47,624.27,530.58,1058,1274,166.04,Upgrade
9,Earnings From Equity Investments,219.46,-664.95,178.45,178.45,-120.33,-579.91,-313.96,-408.04,163.03,259.42,283.73,148.36,113.91,344.16,-261.34,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-164.55,-608.49,-396.4,-396.4,-517.17,-577.34,-450.77,-407.88,-456.53,-281.17,-198.66,-87.61,51.81,-497.49,47.2,-155.83,1823,983.7,-978.86,-1443,Upgrade
11,Pretax Income,12323,3075,6733,6733,9308,2788,2652,1694,16703,10186,6768,4425,5983,2396,5127,11994,2220,1490,833.98,1171,Upgrade
12,Income Tax Expense,2468,1247,1596,1596,2285,900.22,1051,810.41,3536,1862,1266,882.35,1174,503.23,1105,2481,464.5,278.82,330.7,186.97,Upgrade
13,Earnings From Continuing Operations,9856,1829,5137,5137,7022,1888,1602,883.86,13167,8324,5502,3543,4809,1893,4022,9513,1756,1212,503.28,984.45,Upgrade
14,Minority Interest in Earnings,-2907,-753.29,-731.06,-731.06,-992.84,-657.39,519.91,170.92,-919.39,-1410,-417.64,-240.92,4.89,-,-,-,-,-,-,-,Upgrade
15,Net Income,6949,1075,4405,4405,6030,1230,2121,1055,12248,6913,5085,3302,4814,1893,4022,9513,1756,1212,503.28,984.45,Upgrade
16,Net Income to Common,6949,1075,4405,4405,6030,1230,2121,1055,12248,6913,5085,3302,4814,1893,4022,9513,1756,1212,503.28,984.45,Upgrade
17,Net Income Growth,15.25%,-12.58%,107.66%,317.67%,-50.77%,-82.21%,-58.28%,-68.05%,154.43%,265.19%,26.41%,-65.29%,174.20%,56.25%,699.20%,866.33%,17.55%,-5.30%,-58.49%,-21.44%,Upgrade
18,Shares Outstanding (Basic),62,62,62,62,62,-,62,-,-,62,62,-,-,31,31,31,15,15,-,-,Upgrade
19,Shares Outstanding (Diluted),62,62,62,62,62,-,62,-,-,62,62,-,-,31,31,31,15,15,-,-,Upgrade
20,Shares Change (YoY),-,-,-0.30%,-,-,-,-0.00%,-,-,100.00%,100.00%,-,-,100.00%,-,-,41.62%,50.07%,-,-,Upgrade
21,EPS (Basic),112.44,17.40,71.50,71.50,97.57,-,34.33,-,-,111.87,82.28,-,-,61.27,130.17,307.86,113.63,78.42,-,-,Upgrade
22,EPS (Diluted),112.44,17.40,71.50,71.50,97.57,-,34.33,-,-,111.87,82.28,-,-,61.27,130.17,307.86,113.63,78.42,-,-,Upgrade
23,EPS Growth,15.25%,-,108.28%,-,-,-,-58.28%,-,-,82.60%,-36.79%,-,-,-21.88%,-,-,-17.00%,-36.90%,-,-,Upgrade
24,Free Cash Flow,-,152699,-25980,-25980,-,52930,5382,5382,-,-7859,-29593,-29593,7895,-59454,69.12,-68368,-41359,-16954,27014,-,Upgrade
25,Free Cash Flow Per Share,-,2470.86,-421.66,-421.66,-,-,87.09,-,-,-127.17,-478.86,-,-,-1924.06,2.24,-2212.55,-2676.97,-1097.34,-,-,Upgrade
26,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,291.262,-,-,-,-,Upgrade
27,Gross Margin,4.21%,3.64%,6.39%,6.39%,4.87%,3.67%,5.97%,4.92%,6.84%,4.58%,6.46%,7.07%,12.45%,7.06%,14.09%,13.77%,7.49%,8.13%,8.58%,13.99%,Upgrade
28,Operating Margin,2.65%,1.44%,3.31%,3.31%,2.73%,1.72%,2.76%,2.13%,4.67%,2.46%,3.22%,3.31%,9.33%,4.14%,10.15%,10.24%,2.19%,1.51%,2.66%,2.50%,Upgrade
29,Profit Margin,1.52%,0.38%,2.20%,2.20%,1.48%,0.38%,0.92%,0.41%,3.01%,1.74%,3.05%,2.72%,5.78%,1.99%,6.42%,7.39%,2.86%,1.83%,0.70%,0.55%,Upgrade
30,Free Cash Flow Margin,-,53.31%,-12.96%,-12.96%,-,16.20%,2.33%,2.10%,-,-1.97%,-17.75%,-24.42%,9.48%,-62.51%,0.11%,-53.13%,-67.29%,-25.58%,37.77%,-,Upgrade
31,EBITDA,14350,6361,8801,8801,13656,8161,9094,8162,21916,12727,7308,5961,9484,5600,7938,14740,3080,2478,3390,5825,Upgrade
32,EBITDA Margin,3.14%,2.22%,4.39%,4.39%,3.35%,2.50%,3.93%,3.19%,5.39%,3.20%,4.38%,4.92%,11.39%,5.89%,12.67%,11.45%,5.01%,3.74%,4.74%,3.28%,Upgrade
33,D&A For EBITDA,2229,2229,2168,2168,2553,2529,2714,2714,2920,2920,1944,1944,1722,1666,1578,1567,1734,1476,1489,1382,Upgrade
34,EBIT,12121,4132,6633,6633,11102,5632,6380,5448,18996,9807,5364,4017,7762,3934,6360,13172,1346,1001,1900,4443,Upgrade
35,EBIT Margin,2.65%,1.44%,3.31%,3.31%,2.73%,1.72%,2.76%,2.13%,4.67%,2.46%,3.22%,3.31%,9.33%,4.14%,10.15%,10.24%,2.19%,1.51%,2.66%,2.50%,Upgrade
36,Effective Tax Rate,20.02%,40.53%,23.71%,23.71%,24.55%,32.29%,39.62%,47.83%,21.17%,18.28%,18.71%,19.94%,19.62%,21.00%,21.55%,20.69%,20.92%,18.71%,39.65%,15.96%,Upgrade
37,Revenue as Reported,457692,286430,200438,200438,407101,326809,231138,256103,406910,398159,166698,121202,83234,95107,62666,128687,61461,66290,71519,177869,Upgrade
