,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,172,118,110,127,125,225,151,611,92,121,269,Upgrade
1,Market Cap Growth,-7.14%,-7.14%,-12.05%,-43.62%,-17.00%,-63.21%,63.93%,406.25%,-65.73%,-58.33%,-25.83%,Upgrade
2,Enterprise Value,63,5,14,28,56,148,101,568,62,63,220,Upgrade
3,Last Close Price,0.11,0.08,0.07,0.08,0.08,0.15,0.10,0.41,0.06,0.08,0.18,Upgrade
4,PE Ratio,15.96,10.76,7.13,17.20,15.74,7.29,4.74,110.73,-,-,-,Upgrade
5,PS Ratio,0.49,0.34,0.32,0.40,0.31,0.44,0.31,1.51,0.28,0.33,0.53,Upgrade
6,PB Ratio,1.65,1.13,1.06,1.40,1.43,2.56,1.77,9.88,1.72,2.47,3.53,Upgrade
7,P/TBV Ratio,1.14,1.14,1.07,1.42,1.45,2.59,1.79,10.05,1.75,2.58,3.63,Upgrade
8,P/FCF Ratio,23.47,-,5.43,3.26,3.51,7.13,4.57,46.23,-14.64,-,-11.67,Upgrade
9,P/OCF Ratio,15.13,-,4.86,3.00,3.39,6.58,4.21,39.25,62.18,-,-12.36,Upgrade
10,EV/Sales Ratio,0.18,0.01,0.04,0.09,0.14,0.29,0.21,1.41,0.19,0.17,0.43,Upgrade
11,EV/EBITDA Ratio,3.93,-,1.21,12.18,8.86,5.24,3.48,41.47,-2.14,-,-,Upgrade
12,EV/EBIT Ratio,7.12,-,1.36,-,15.89,6.13,3.94,53.56,-1.91,-,-,Upgrade
13,EV/FCF Ratio,8.55,-,0.67,0.71,1.58,4.69,3.07,42.93,-9.92,-,-9.54,Upgrade
14,Debt / Equity Ratio,0.37,0.37,0.43,0.57,0.50,0.61,0.58,0.71,0.97,1.09,0.59,Upgrade
15,Debt / FCF Ratio,5.22,-,2.20,1.33,1.24,1.70,1.50,3.33,-8.25,-,-1.96,Upgrade
16,Return on Capital Employed (ROCE),8.07%,-,8.95%,-,3.74%,24.75%,28.07%,14.64%,-49.63%,-,-,Upgrade
17,Earnings Yield,6.36%,9.29%,14.02%,5.82%,6.35%,13.71%,21.11%,0.90%,-29.28%,-98.60%,-44.86%,Upgrade
18,FCF Yield,4.26%,6.23%,18.40%,30.65%,28.50%,14.03%,21.89%,2.16%,-6.83%,-7.38%,-8.57%,Upgrade
