,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,+7 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Jan '13 Jan 1, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011",+7 Quarters
0,Cash & Equivalents,-,19538,1861,1033,1033,863.53,374.1,396.48,317.98,3233,1358,1106,1158,4002,3195,9283,3317,760.53,8007,40266,Upgrade
1,Short-Term Investments,-,-,66.1,66,66,-,-,-,-,-,-,10,248.06,248.06,-,60,13384,3300,18000,-,Upgrade
2,Cash & Short-Term Investments,19538,19538,1927,1099,1099,863.53,374.1,396.48,317.98,3233,1358,1116,1407,4250,3195,9343,16701,4061,26007,40266,Upgrade
3,Cash Growth,1677.11%,2162.52%,415.05%,177.29%,245.74%,-73.29%,-72.45%,-64.47%,-77.39%,-23.95%,-57.51%,-88.06%,-91.58%,4.67%,-87.71%,-76.80%,-62.57%,-86.39%,-25.67%,570.49%,Upgrade
4,Accounts Receivable,-,17154,18774,33734,33734,14617,15501,4887,19124,19440,40488,28087,35654,36195,33196,35392,22031,27261,25491,29612,Upgrade
5,Other Receivables,-,3242,3339,3004,3004,4796,4566,587.56,201.05,124.72,157.86,189.12,339.96,712.65,1206,2029,29239,29717,18919,16139,Upgrade
6,Receivables,-,20396,22113,36739,36739,19414,20067,5474,19325,19564,40646,28276,35994,36908,34402,37421,51270,56978,44411,45751,Upgrade
7,Inventory,-,115214,120297,240872,240872,247648,246083,244520,252684,252086,274259,275263,272904,265379,289913,299997,274995,220522,276545,306564,Upgrade
8,Prepaid Expenses,-,50.94,-,-,-,-,468,40.86,133.62,130.24,20.9,28.68,-,564.59,140.87,68.35,1099,1271,1712,184.89,Upgrade
9,Other Current Assets,-,7084,3381,2065,2065,2237,3080,5293,2526,1947,3994,4742,7089,5807,6673,6230,48132,7242,7824,11547,Upgrade
10,Total Current Assets,-,162282,147717,280775,280775,270163,270072,255726,274986,276959,320277,309426,317393,312909,334324,353059,392197,290073,356498,404313,Upgrade
11,"Property, Plant & Equipment",-,176234,160602,32882,32882,33989,34267,34109,34501,34600,39388,34847,38350,37225,58409,53293,47026,36307,36574,35144,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,900.11,900.11,821.77,821.77,821.77,821.77,821.77,821.77,-,8000,4613,-,-,Upgrade
13,Other Intangible Assets,-,9964,9994,10024,10024,10085,10115,10145,10175,10205,10236,10266,10296,10326,10222,10244,10266,10289,10380,10402,Upgrade
14,Long-Term Deferred Tax Assets,-,589.49,589.49,589.49,589.49,589.49,589.49,589.49,818.4,818.4,818.4,818.4,868.86,868.86,818.4,818.4,213.3,213.3,226.88,226.88,Upgrade
15,Other Long-Term Assets,-,7527,16999,18727,18727,19151,25755,28987,47594,48098,49800,54550,50872,51448,12427,12429,10435,71495,69823,11725,Upgrade
16,Total Assets,-,356596,335901,342998,342998,333977,340798,330457,368975,371503,421341,410729,418602,413598,417022,429843,468137,412990,473502,461812,Upgrade
17,Accounts Payable,-,3902,5918,12502,12502,11971,14145,283.42,12873,14019,15507,20282,22756,19102,21576,26307,19832,15336,22779,23940,Upgrade
18,Accrued Expenses,-,45194,29255,26503,26503,19266,13104,11705,13840,17070,22386,12598,25882,20673,18196,19403,9213,13790,9932,23743,Upgrade
19,Short-Term Debt,-,-,65630,53531,53531,53448,55322,52527,103670,105123,121962,115822,125631,124223,127657,122347,123896,108233,116241,76275,Upgrade
20,Current Portion of Long-Term Debt,-,-,451.71,14000,14000,4000,6000,8000,-,-,2850,10000,10000,10000,-,24000,-,-,-,40000,Upgrade
21,Current Income Taxes Payable,-,-,1849,1985,1985,3524,3394,3394,5193,6218,6879,6826,7140,7143,9621,9095,3210,3240,3547,-,Upgrade
22,Current Unearned Revenue,-,38.18,10343,11026,11026,12050,12228,12797,12817,12878,12262,10861,-,-,-,12335,-,-,-,-,Upgrade
23,Other Current Liabilities,-,116730,8454,9420,9420,9074,15585,20147,20841,15685,39535,29476,25852,27965,33374,16448,45007,14159,77168,70925,Upgrade
24,Total Current Liabilities,-,165865,121901,128967,128967,113332,119779,108855,169234,170993,221381,205865,217262,209107,210424,229935,201157,154758,229666,234882,Upgrade
25,Long-Term Debt,-,-,27000,27000,27000,37000,37000,37000,-,-,-,-,-,-,-,-,34749,28131,21822,13031,Upgrade
26,Long-Term Unearned Revenue,-,-,-,32.73,32.73,47.05,30.68,41.59,18296,16603,17031,20524,22695,19155,6203,978.4,3536,4308,2511,3351,Upgrade
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37478,37478,31818,31818,Upgrade
28,Other Long-Term Liabilities,-,14759,6788,6788,6788,6788,6788,6788,6666,6666,6666,6666,52.28,6643,6102,6102,45.6,-,52.28,52.28,Upgrade
29,Total Liabilities,-,180624,155688,162787,162787,157167,163597,152684,194196,194263,245078,233055,240010,234904,222729,237015,276967,224675,285870,283134,Upgrade
30,Common Stock,-,145048,145048,145048,145048,145048,145048,145048,145048,145048,145048,145048,145048,145048,145048,145048,145048,131519,101169,101169,Upgrade
31,Additional Paid-In Capital,-,11795,11816,11713,11713,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,10017,10017,10017,Upgrade
32,Retained Earnings,-,19474,23079,23077,23077,19821,20004,20543,17693,20169,19259,19880,20759,20815,36528,35129,36359,46420,76447,67492,Upgrade
33,Treasury Stock,-,-1923,-1923,-2327,-2327,-3913,-3913,-3913,-3913,-3913,-3913,-3095,-3095,-3095,-3095,-3095,-1889,-,-,-,Upgrade
34,Comprehensive Income & Other,-,-,452.06,452.06,452.06,452.06,452.06,452.06,452.06,452.06,452.06,452.06,452.06,452.06,359.07,359.07,359.07,359.07,-,-,Upgrade
35,Total Common Equity,174393,174393,178472,177962,177962,172702,172885,173424,170574,173050,172140,173578,174458,174513,190133,188735,191170,188315,187632,178678,Upgrade
36,Minority Interest,-,1580,1741,2249,2249,4108,4317,4348,4205,4189,4123,4096,4134,4181,4160,4093,-,-,-,-,Upgrade
37,Shareholders' Equity,175973,175973,180213,180211,180211,176810,177201,177773,174779,177240,176263,177674,178592,178694,194293,192828,191170,188315,187632,178678,Upgrade
38,Total Liabilities & Equity,-,356596,335901,342998,342998,333977,340798,330457,368975,371503,421341,410729,418602,413598,417022,429843,468137,412990,473502,461812,Upgrade
39,Total Debt,-,-,93082,94531,94531,94448,98322,97527,103670,105123,124812,125822,135631,134223,127657,146347,158645,136364,138063,129306,Upgrade
40,Net Cash (Debt),19538,19538,-91155,-93432,-93432,-93584,-97948,-97131,-103352,-101891,-123455,-124706,-134225,-129973,-124462,-137004,-141944,-132303,-112056,-89039,Upgrade
41,Net Cash Per Share,-,-,-6391.41,-6642.91,-6642.91,-6679.27,-6990.72,-6932.38,-7376.41,-7272.14,-8811.17,-9583.44,-9212.01,-9165.20,-,-7086.53,-11964.80,-10059.62,-8520.10,-6436.36,Upgrade
42,Filing Date Shares Outstanding,-,-,14.26,14.21,14.21,14.01,14.01,14.01,14.01,14.01,14.01,14.18,14.18,14.18,-,14.18,13.15,13.15,13.15,13.15,Upgrade
43,Total Common Shares Outstanding,-,-,14.26,14.21,14.21,14.01,14.01,14.01,14.01,14.01,14.01,14.18,14.18,14.18,-,14.18,13.15,13.15,13.15,13.15,Upgrade
44,Working Capital,-,-3583,25816,151809,151809,156831,150294,146871,105753,105966,98897,103561,100131,103802,123899,123124,191040,135315,126832,169431,Upgrade
45,Book Value Per Share,-,-,12513.69,12522.73,12522.73,12326.08,12339.09,12377.59,12174.16,12350.91,12285.94,12240.06,12302.09,12305.99,-,13308.85,14535.53,14318.42,14266.48,13585.62,Upgrade
46,Tangible Book Value,164429,164429,168478,167938,167938,162618,162770,163279,160399,162845,161904,163312,164162,164187,179911,178491,180904,178026,177252,168275,Upgrade
