,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,899.05,838.68,835.37,978.98,999.71,1220,1065,992.38,1179,1055,1043,1095,1411,1318,1242,984.46,1146,-,-
1,Cash & Short-Term Investments,899.05,838.68,835.37,978.98,999.71,1220,1065,992.38,1179,1055,1043,1095,1411,1318,1242,984.46,1146,-,717.45
2,Cash Growth,-10.07%,-31.26%,-21.54%,-1.35%,-15.20%,15.62%,2.12%,-9.37%,-16.43%,-19.93%,-16.05%,11.23%,23.13%,-,73.11%,-,-,-,-
3,Accounts Receivable,2534,2661,2753,2537,2495,2601,2289,2358,2398,2535,2460,2624,2745,2975,2618,2858,2639,-,-
4,Other Receivables,12.55,5.15,9.79,2.27,13.31,7.07,15.62,4.95,10.08,3.17,6.16,2.39,8.33,2.76,10.36,1.62,12.9,-,-
5,Receivables,2547,2666,2762,2540,2509,2608,2304,2363,2408,2538,2467,2627,2753,2977,2628,2860,2652,-,-
6,Inventory,766.36,801.02,835.69,811.82,773.85,718.7,730.58,683.21,673.77,803,901.2,851.64,799.31,723.61,594.44,661.74,554.64,-,-
7,Other Current Assets,273.48,324.47,310.91,323.73,228.19,172.64,224.41,190.8,173.55,170.5,196.55,183.72,270.12,276.93,184.68,159.57,127.82,-,-
8,Total Current Assets,4486,4630,4744,4654,4510,4719,4324,4229,4434,4567,4607,4757,5233,5296,4649,4665,4480,-,-
9,"Property, Plant & Equipment",1757,1728,1725,1734,1717,1707,1680,1682,1656,1624,1594,1546,1490,1478,1481,1485,1496,-,-
