,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1564,1538,1458,1320,1586,1504,1292,977.01,1508,1338,1352,1357,1428,1728,1385,1497,1572,1156,873.06
1,Other Revenue,-67.47,67.47,-,201.86,-99.72,99.72,-,169.13,-119.08,119.08,-,160.58,-76.95,76.95,-,113.19,-92.65,92.65,-
2,Revenue,1496,1605,1458,1522,1487,1603,1292,1146,1389,1457,1352,1518,1351,1805,1385,1610,1479,1249,873.06
3,Revenue Growth (YoY),0.64%,0.11%,12.83%,32.77%,7.01%,10.01%,-4.44%,-24.48%,2.81%,-19.26%,-2.39%,-5.73%,-8.66%,44.54%,58.69%,-,-,-,-
4,Cost of Revenue,1291,1404,1277,1299,1267,1403,1109,972.3,1232,1272,1210,1350,1220,1653,1178,1346,1200,1006,764.1
5,Gross Profit,204.97,200.72,180.93,222.23,219.78,200.36,183.75,173.84,157.25,185.05,141.99,167.51,131.82,151.98,207.4,263.52,279.41,242.51,108.96
6,"Selling, General & Admin",86.06,82.28,74.14,94.62,82.25,73.17,76.17,76.76,82.81,60.97,65.51,63.46,45.93,64.98,77.88,42.09,100.7,66.93,58.56
7,Research & Development,73.69,58.79,68.23,88.04,71.79,60,54.01,101.98,54.15,58.51,50.9,53.38,87.61,59.48,75.92,119.46,69.02,64.43,36.33
8,Other Operating Expenses,-53.47,-0.32,-1.46,-2.88,-3.4,1.25,1.01,50.36,0.71,-2.44,-18.25,36.51,-1.36,-6.63,5.98,40.72,-1.05,-3.18,0.04
9,Operating Expenses,152.81,148.72,140.54,189.29,154.23,145.08,134.57,210.63,137.93,135.4,95.74,151.61,130.57,118.42,171.84,206.46,169.74,136.14,93.33
10,Operating Income,52.16,52,40.4,32.95,65.55,55.27,49.18,-36.79,19.32,49.65,46.25,15.91,1.25,33.56,35.55,57.06,109.67,106.38,15.63
11,Interest Expense,-6.39,-7.74,-8.09,-6.84,-7.23,-8,-6.49,-6.19,-10.55,-15.9,-10.77,-13.37,-10.7,-10.26,-12.89,-22.92,-4.44,-23.22,-12.52
12,Interest & Investment Income,2.56,4.1,2.64,5.63,3.19,3.77,2.63,4.03,3.18,3.55,1.16,2.55,1.97,2.09,1.29,2,1.65,2.37,0.74
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,12.76,-12.76,-,-,4.06,-4.06,-
14,Currency Exchange Gain (Loss),-9.7,9.7,-,11.7,-3.62,3.62,-,62.04,-9.12,9.12,-,-27.88,2.76,-2.76,-,-47.05,4.38,-4.38,-
15,Other Non Operating Income (Expenses),8.85,-4.67,3.07,0.46,-4.56,0.8,-2.18,-29.57,27.6,-2.32,1.13,3.37,-5.54,-1.64,0.33,38.16,-41.8,-0.12,0.36
16,EBT Excluding Unusual Items,47.47,53.38,38.01,43.89,53.34,55.46,43.14,-6.48,30.42,44.12,37.78,-19.42,2.5,8.24,24.28,27.25,73.52,76.96,4.21
17,Gain (Loss) on Sale of Investments,-0.39,-1.63,-0.86,-1.17,-1.32,-1.65,-1.86,-4.81,-1.39,-2.52,-1.15,-7.36,-13.6,8,-8,-2.95,-4.99,1.94,-1.94
