,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3395,3159,2848,3030,3714,3633,3683,3622,3666,3535,3338,3206,3457,3518,3999,4663,5098,-,-,-
1,Market Cap Growth,-13.07%,-13.07%,-22.68%,-16.35%,1.33%,2.78%,10.35%,12.98%,6.05%,0.49%,-16.52%,-31.25%,-32.20%,-,-,-,-,-,-,-
2,Enterprise Value,3569,3359,3143,3104,3788,3484,3663,3628,3609,3962,3878,3326,3577,3733,4196,5406,6209,-,-,-
3,Last Close Price,5.46,5.08,4.58,4.67,5.73,5.60,5.68,5.48,5.55,5.35,6.02,5.86,6.32,6.43,7.31,8.41,9.20,-,-,-
4,PE Ratio,21.66,20.13,14.03,15.30,19.71,19.80,23.28,24.47,25.81,34.53,42.73,75.94,108.41,64.27,39.43,34.19,46.38,-,-,-
5,PS Ratio,0.56,0.52,0.47,0.50,0.63,0.66,0.68,0.69,0.69,0.62,0.59,0.53,0.57,0.57,0.64,0.81,0.98,-,-,-
6,PB Ratio,1.37,1.26,1.14,1.18,1.48,1.48,1.54,1.46,1.39,1.37,1.70,1.64,1.80,1.84,2.08,2.37,2.62,-,-,-
7,P/TBV Ratio,1.49,1.49,1.35,1.39,1.75,1.74,1.83,1.74,1.80,1.79,2.43,2.36,2.61,2.67,2.98,3.34,3.72,-,-,-
8,P/FCF Ratio,29.45,27.40,36.02,-,25.56,229.13,-64.28,-,-,-,-16.20,-,-,6.39,-,7.51,-,-,-,-
9,P/OCF Ratio,9.93,9.93,10.68,-,10.81,16.77,26.70,-,-,-59.25,43.86,-,-,4.49,5.12,6.06,69.97,-,-,-
10,EV/Sales Ratio,0.59,0.55,0.52,0.51,0.64,0.63,0.67,0.69,0.68,0.69,0.68,0.55,0.59,0.61,0.67,0.94,1.19,-,-,-
11,EV/EBITDA Ratio,10.39,8.97,8.15,8.13,9.74,10.99,13.58,13.80,13.94,12.76,13.11,11.93,13.17,11.81,10.00,10.92,13.19,-,-,-
12,EV/EBIT Ratio,24.21,18.93,16.46,15.98,18.66,26.16,42.11,44.59,-,30.21,34.30,34.30,41.46,29.30,17.79,17.51,21.50,-,-,-
13,EV/FCF Ratio,30.97,29.15,39.75,-,26.07,219.73,-63.93,-,-,-,-18.82,-,-,6.79,-,8.71,-,-,-,-
14,Debt / Equity Ratio,0.42,0.42,0.41,0.43,0.41,0.42,0.43,0.40,0.28,0.34,0.63,0.68,0.60,0.68,0.67,0.60,0.76,0.68,-,0.72
15,Debt / EBITDA Ratio,3.04,2.62,2.39,3.13,3.16,2.34,2.55,2.61,20.90,3.42,3.25,3.68,4.74,6.55,4.10,3.57,3.52,2.12,-,5.39
16,Debt / FCF Ratio,9.06,9.06,12.79,-,7.00,65.72,-18.17,-,-,-,-6.00,-,-,2.35,-,1.92,-,-33.89,-,-
17,Asset Turnover,0.90,0.94,0.86,0.91,0.89,0.97,0.82,0.72,0.85,0.89,0.82,0.88,0.76,1.06,0.85,1.00,-,-,-,
18,Inventory Turnover,6.85,6.59,6.86,6.20,6.56,6.79,7.74,6.27,5.73,6.67,5.97,5.52,6.54,6.41,10.03,7.50,8.86,-,-,-
19,Quick Ratio,0.91,0.91,0.88,0.90,0.90,0.96,0.97,0.99,1.03,1.02,0.84,0.81,0.83,0.85,0.89,0.95,0.93,0.94,-,-
20,Current Ratio,1.18,1.18,1.16,1.19,1.19,1.24,1.20,1.27,1.29,1.26,1.06,1.06,1.06,1.07,1.10,1.14,1.13,1.10,-,-
21,Return on Equity (ROE),0.75%,7.95%,7.62%,8.13%,8.37%,7.72%,6.21%,8.57%,4.52%,7.35%,7.04%,2.62%,-1.57%,0.21%,4.66%,11.08%,-,-,-,
22,Return on Assets (ROA),1.95%,1.91%,1.48%,1.23%,2.45%,2.10%,1.94%,-1.44%,0.74%,1.89%,1.74%,0.58%,0.04%,1.23%,1.37%,2.22%,-,-,-,
23,Return on Capital (ROIC),3.70%,3.63%,2.81%,2.34%,4.72%,4.00%,3.59%,-2.69%,1.45%,3.82%,3.63%,1.27%,0.10%,2.64%,2.70%,4.30%,-,-,-,
24,Return on Capital Employed (ROCE),5.20%,6.26%,6.98%,6.76%,7.13%,4.51%,3.03%,2.74%,-,4.45%,4.98%,4.32%,3.93%,5.79%,10.17%,12.93%,12.16%,10.23%,-,-
25,Earnings Yield,4.62%,4.97%,7.13%,6.54%,5.07%,5.05%,4.30%,4.09%,3.87%,2.90%,2.34%,1.32%,0.92%,1.56%,2.54%,2.92%,2.16%,-,-,-
26,FCF Yield,3.40%,3.65%,2.78%,6.54%,3.91%,0.44%,-1.56%,-6.49%,-3.75%,-8.45%,-6.17%,-12.45%,9.72%,15.64%,14.93%,13.31%,-1.07%,-,-,-
27,Dividend Yield,3.62%,-,-,-,3.49%,-,-,-,1.80%,-,-,-,0.79%,-,-,-,1.09%,-,-,-
28,Payout Ratio,0.00%,172.49%,254.30%,16.99%,-,416.80%,148.25%,15.17%,17.14%,40.46%,109.76%,30.17%,118.50%,22696.20%,4378.11%,57.33%,53.64%,25.65%,15.28%,-
29,Buyback Yield / Dilution,-1.16%,0.24%,-3.03%,-0.41%,-1.77%,-12.97%,-20.19%,-20.22%,-21.17%,-6.28%,-0.38%,0.41%,-69.36%,-70.88%,-65.85%,-75.42%,-,-,-,-
30,Total Shareholder Return,2.46%,0.24%,-3.03%,-0.41%,1.72%,-12.97%,-20.19%,-20.22%,-19.37%,-6.28%,-0.38%,0.41%,-68.57%,-70.88%,-65.85%,-75.42%,1.09%,-,-,-
