,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2016,Q1 2016
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Revenue,16705,23523,48234,52565
1,Cost of Revenue,16681,23253,44690,48937
2,Gross Profit,23.8,269.62,3543,3628
3,"Selling, General & Admin",50.56,228.7,963.1,785.02
4,Operating Expenses,50.56,228.7,963.1,785.02
5,Operating Income,-26.76,40.93,2580,2843
6,Interest Expense,-,-1.72,-280.53,-268.18
7,Interest & Investment Income,166.77,73.65,23.24,27.93
8,Other Non Operating Income (Expenses),-,-0.32,-0.48,-20.5
9,Pretax Income,140.01,112.54,2322,2582
10,Income Tax Expense,28,22.64,190.32,206.59
11,Earnings From Continuing Operations,112.01,89.9,2132,2375
12,Minority Interest in Earnings,-,-,-13,-13.58
13,Net Income,112.01,89.9,2119,2362
14,Net Income to Common,112.01,89.9,2119,2362
15,Shares Outstanding (Basic),-,-,12,12
16,Shares Outstanding (Diluted),-,-,12,12
17,EPS (Basic),-,-,175.21,196.28
18,EPS (Diluted),-,-,175.21,196.28
19,Free Cash Flow,-,-,856.37,856.37
20,Free Cash Flow Per Share,-,-,70.80,71.17
21,Gross Margin,0.14%,1.15%,7.35%,6.90%
22,Operating Margin,-0.16%,0.17%,5.35%,5.41%
23,Profit Margin,0.67%,0.38%,4.39%,4.49%
24,Free Cash Flow Margin,-,-,1.78%,1.63%
25,EBITDA,-,-,3302,3564
26,EBITDA Margin,-,-,6.84%,6.78%
27,D&A For EBITDA,-,-,721.33,721.33
28,EBIT,-26.76,40.93,2580,2843
29,EBIT Margin,-0.16%,0.17%,5.35%,5.41%
30,Effective Tax Rate,20.00%,20.11%,8.19%,8.00%
31,Revenue as Reported,16705,23523,48234,52565
