,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2016,Q1 2016
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Cash & Equivalents,7278,289.64,9271,-
1,Cash & Short-Term Investments,7278,289.64,9271,-
2,Accounts Receivable,-,121813,13678,-
3,Other Receivables,36917,37005,2816,-
4,Receivables,36917,158818,16494,-
5,Inventory,23602,33995,47967,-
6,Other Current Assets,11598,174.05,23211,-
7,Total Current Assets,79395,193277,96943,-
8,"Property, Plant & Equipment",-,-,28059,-
9,Long-Term Investments,75000,-,-,-
10,Other Long-Term Assets,3.93,9.17,3490,-
11,Total Assets,154399,193286,128491,-
12,Accounts Payable,85.3,40461,425.44,-
13,Accrued Expenses,5435,4448,1180,-
14,Short-Term Debt,-,-,8436,-
15,Current Income Taxes Payable,367.77,270.31,412.84,-
16,Other Current Liabilities,14.6,-,30.41,-
17,Total Current Liabilities,5902,45179,10485,-
18,Long-Term Debt,-,-,462,-
19,Total Liabilities,5902,45179,10947,-
20,Common Stock,121000,121000,100000,-
21,Retained Earnings,27496,27107,15512,-
22,Comprehensive Income & Other,-,-,2032,-
23,Shareholders' Equity,148496,148107,117545,-
24,Total Liabilities & Equity,154399,193286,128491,-
25,Total Debt,-,-,8898,-
26,Net Cash (Debt),7278,289.64,373.43,-
27,Net Cash Per Share,-,-,30.87,-
28,Filing Date Shares Outstanding,-,-,12.1,12.03
29,Total Common Shares Outstanding,-,-,12.1,12.03
30,Working Capital,73492,148097,86458,-
31,Book Value Per Share,-,-,9718.44,-
32,Tangible Book Value,148496,148107,117545,-
33,Tangible Book Value Per Share,-,-,9718.44,-
