,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2018
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '18 Mar 31, 2018"
0,Market Capitalization,16259,17942,18043,17317,17280,14744,13816,13762,12915,16763,12571,12377,15579,14751,14357,-,-,-,-,-,-
1,Market Cap Growth,21.69%,21.69%,30.60%,25.83%,33.80%,-12.05%,9.90%,11.19%,-17.10%,13.64%,-12.44%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,15634,16624,17146,15485,15449,13347,11616,11662,10128,14314,9214,9713,12916,12708,14330,-,-,-,-,-,-
3,Last Close Price,25.79,28.73,28.55,27.15,27.08,22.81,21.38,21.09,19.50,25.53,19.15,18.68,23.51,22.13,21.54,-,-,-,-,-,-
4,PE Ratio,10.19,10.50,10.62,12.98,13.23,11.52,11.90,11.98,11.85,17.62,14.55,16.88,25.14,19.86,17.66,-,-,-,-,-,-
5,Forward PE,9.38,10.94,11.48,11.51,11.85,10.74,10.55,10.52,9.63,11.87,11.24,12.27,14.90,14.54,-,-,-,-,-,-,-
6,PS Ratio,0.67,0.75,0.67,0.66,0.65,0.63,0.63,0.59,0.54,0.62,0.51,0.55,0.84,1.01,1.22,-,-,-,-,-,-
7,PB Ratio,1.81,1.93,1.99,1.98,2.12,1.85,1.80,1.81,1.80,2.51,1.96,1.96,2.63,2.46,2.49,-,-,-,-,-,-
8,P/TBV Ratio,2.37,2.37,2.46,2.44,2.66,2.30,2.23,2.23,2.25,2.64,2.07,2.07,2.79,2.60,2.64,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,17.78,15.10,-,13.37,9.45,-,19.03,225.32,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,11.27,-,6.76,8.05,8.01,7.94,9.82,8.45,7.62,12.66,13.50,15.32,174.05,-,17.90,-,-,-,-,-,-
11,EV/Sales Ratio,0.65,0.69,0.64,0.59,0.58,0.57,0.53,0.50,0.42,0.53,0.37,0.43,0.70,0.87,1.22,-,-,-,-,-,-
12,EV/EBITDA Ratio,7.76,8.70,9.09,8.48,8.51,7.66,7.74,8.62,7.77,12.32,8.36,9.62,13.97,11.26,11.96,-,-,-,-,-,-
13,EV/EBIT Ratio,9.85,10.47,10.75,9.97,9.80,8.68,8.93,9.85,8.87,14.23,9.61,11.11,16.11,12.48,13.16,-,-,-,-,-,-
14,EV/FCF Ratio,-11.02,-,-,-,15.90,13.67,-,11.33,7.41,-,13.95,176.83,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.40,0.40,0.45,0.49,0.50,0.55,0.51,0.53,0.33,0.28,0.24,0.18,0.19,0.25,0.24,0.46,0.26,-,-,0.48,0.69
16,Debt / EBITDA Ratio,1.86,1.51,2.25,1.87,3.59,1.83,2.48,1.79,2.05,1.35,1.28,0.56,1.84,1.27,0.93,0.79,0.68,-,-,1.35,1.74
17,Debt / FCF Ratio,-,-,-,-,4.22,4.45,-,3.92,1.73,-,2.37,20.86,-,-,-,4.24,-,-,-,-,-
18,Asset Turnover,1.59,1.33,1.73,1.90,2.38,1.36,2.10,1.35,2.89,2.62,3.34,3.33,2.40,2.14,2.60,-,-,-,-,-,
19,Inventory Turnover,20.21,42.24,41.41,30.63,21.36,30.46,38.99,34.66,18.52,54.87,53.15,46.57,48.62,41.97,31.63,27.45,-,-,-,-,-
20,Quick Ratio,2.46,2.46,2.47,2.13,2.19,1.78,2.47,2.74,1.99,1.64,2.30,2.36,3.06,2.32,2.75,1.08,1.17,-,-,-,0.91
21,Current Ratio,3.00,3.00,2.77,2.51,2.63,2.30,2.77,2.99,2.48,2.11,2.73,2.69,3.72,2.76,3.26,1.51,1.56,-,-,-,1.26
22,Return on Equity (ROE),18.88%,28.30%,22.97%,8.60%,21.74%,13.81%,24.44%,8.68%,18.34%,15.69%,25.71%,1.09%,14.48%,10.77%,39.65%,-,-,-,-,-,
23,Return on Assets (ROA),9.31%,6.03%,8.45%,3.24%,9.63%,5.89%,10.52%,3.41%,7.82%,5.47%,14.23%,0.48%,7.99%,4.33%,21.22%,-,-,-,-,-,
24,Return on Capital (ROIC),10.35%,6.83%,9.81%,3.89%,11.48%,6.79%,12.25%,4.19%,9.49%,6.43%,16.48%,0.55%,9.09%,4.96%,26.23%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),13.20%,13.20%,13.23%,13.18%,13.88%,13.70%,12.09%,11.14%,13.10%,13.77%,13.91%,12.92%,12.42%,15.50%,16.97%,35.50%,33.04%,-,-,-,8.35%
26,Earnings Yield,10.51%,9.53%,9.42%,7.71%,7.56%,8.68%,8.40%,8.35%,8.44%,5.68%,6.87%,5.92%,3.98%,5.04%,5.66%,-,-,-,-,-,-
27,FCF Yield,-8.72%,-7.91%,-0.95%,-0.22%,5.62%,6.62%,2.21%,7.48%,10.58%,4.82%,5.26%,0.44%,-4.12%,-4.70%,-1.95%,-,-,-,-,-,-
28,Dividend Yield,3.13%,-,2.80%,-,2.58%,-,2.81%,-,1.54%,-,-,-,1.30%,-,0.59%,-,-,-,-,-,-
29,Payout Ratio,44.11%,61.17%,42.75%,9.01%,103.51%,3.24%,74.15%,2.77%,55.41%,5.23%,47.69%,0.79%,746.56%,1.69%,4.23%,1.11%,5.16%,-,0.88%,4.21%,9.50%
30,Buyback Yield / Dilution,-1.90%,0.87%,-2.64%,-1.77%,-4.32%,-12.51%,-6.03%,-9.83%,-3.72%,3.18%,-16.21%,-22.44%,-18.25%,-24.43%,-9.30%,1.27%,0.60%,-,-,-,-
31,Total Shareholder Return,1.23%,0.87%,0.17%,-1.77%,-1.73%,-12.51%,-3.22%,-9.83%,-2.19%,3.18%,-16.21%,-22.44%,-16.95%,-24.43%,-8.70%,1.27%,0.60%,-,-,-,-
