,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2018
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '18 Mar 31, 2018"
0,Operating Revenue,5781,4934,6333,7026,8493,4573,6474,3744,7250,5941,7017,6847,5110,3428,3102,2829,2238,1701,2070,2519
1,Other Revenue,-0.56,0.56,-,1.11,-0.52,0.52,-,2.04,-1.28,1.28,-,2.07,-103.43,103.43,-,75.09,-28.3,28.3,-,-
2,Revenue,5781,4934,6333,7027,8492,4574,6474,3746,7249,5942,7017,6849,5006,3531,3102,2904,2210,1730,2070,2519
3,Revenue Growth (YoY),-31.93%,7.89%,-2.17%,87.60%,17.15%,-23.03%,-7.75%,-45.31%,44.80%,68.29%,126.18%,135.82%,126.56%,104.13%,49.88%,15.28%,-,-,-,-
4,Cost of Revenue,5141,4452,5732,6732,7797,4164,5812,3574,6801,5643,6402,6688,4683,3323,2629,2558,1783,1440,1832,2241
5,Gross Profit,640.33,482.76,601.28,294.54,695.48,409.6,661.18,171.87,447.79,299.09,615.56,161.17,323.12,207.93,473,346.65,426.86,289.86,238.29,278.48
6,"Selling, General & Admin",115.04,126.21,123.39,91.91,188.32,105.99,115.88,39.41,120.66,93.91,117.39,115.79,78.04,84.73,71.35,111.07,81.65,67.76,65.69,108.53
7,Research & Development,4.2,2.22,2.11,4.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Other Operating Expenses,-33.59,10.03,-34.74,20.23,-24.5,-5.88,-4.78,9.74,3.46,3.24,3.21,14.43,3.53,-1.48,-2.77,7.82,3.17,0.38,3.42,2.06
9,Operating Expenses,98.13,124.96,105.34,103.3,145.45,93.8,141.86,20.06,133.68,100.54,137.97,145.25,56.7,93.78,67.73,114.29,89.51,64,70.32,110.58
10,Operating Income,542.2,357.79,495.94,191.24,550.03,315.8,519.31,151.81,314.12,198.55,477.59,15.92,266.42,114.15,405.26,232.35,337.35,225.86,167.97,167.9
11,Interest Expense,-34.86,-36.74,-38.91,-44,-33.63,-30.73,-24.34,-18.24,-32.81,-17.01,-12.44,-9.57,-9.96,-5.83,-9.17,-4.18,-1.19,-2.7,-3.86,-11.2
12,Interest & Investment Income,41.82,42.45,50.22,32.79,26.12,18.61,43.07,38.48,-,14.83,39.21,9,11.96,5.24,2.06,15.56,17.61,30.1,1.76,1.65
13,Currency Exchange Gain (Loss),-33.21,33.21,-,44.06,-33.34,33.34,-,133.97,-95.51,95.51,-,-12.45,2.73,-2.73,-,-24.28,-6.19,6.19,-,22.13
