,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q1 2018
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Mar '18 Mar 31, 2018"
0,Cash & Equivalents,4278,5589,5406,5463,5874,5072,6032,4633,4874,4173,3972,3168,3717,3598,1556,1263,-,-,-,1454
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,2.02,-,-,-,-,-,53.15
2,Trading Asset Securities,474,216.12,164.5,555.39,628.88,548.58,440.75,70.48,4,33.33,720.31,23.28,615.72,28.68,9.55,0.94,-,-,-,-
3,Cash & Short-Term Investments,4752,5805,5571,6018,6503,5620,6473,4703,4878,4206,4692,3191,4333,3629,1565,1264,-,-,1261,1507
4,Cash Growth,-26.93%,3.29%,-13.94%,27.96%,33.30%,33.63%,37.95%,47.38%,12.59%,15.90%,199.74%,152.51%,-,-,24.11%,-16.13%,-,-,-,-
5,Accounts Receivable,881.36,749.25,1034,589.92,397.05,951.22,1018,368.14,997.37,777.02,606.32,641.83,576.31,555.86,370.21,334.47,-,-,-,147.45
6,Other Receivables,83.63,105.65,91.97,73.28,42.84,71.1,48.57,93.7,101.64,170.71,65.31,106.97,27.32,115.51,21.4,86.81,-,-,-,52.31
7,Receivables,964.99,854.9,1126,663.2,439.89,1022,1066,461.84,1099,947.74,671.63,748.81,603.63,671.37,391.61,421.28,-,-,-,199.77
8,Inventory,635.97,337.65,522.27,974.88,1546,501.08,353.38,988.17,555.7,435.79,413.6,686.14,414.34,478.36,362.01,404.43,-,-,-,494.21
9,Prepaid Expenses,-,-,-,-,-,28.85,-,-,-,-,-,-,-,2.44,-,37.39,-,-,-,0.79
10,Other Current Assets,620.64,493.11,658.55,375.57,461.27,294.69,334.77,266.26,1154,517.92,350.96,166.35,510.53,304.07,427.3,107.95,-,-,-,177.22
11,Total Current Assets,6973,7491,7878,8032,8950,7467,8228,6419,7687,6107,6128,4792,5862,5085,2746,2235,-,-,-,2379
12,"Property, Plant & Equipment",4687,4684,4794,4369,4246,4124,3132,3108,2434,2246,2145,2209,2206,2283,2054,1740,-,-,-,1188
13,Long-Term Investments,693.29,693.96,651.56,632.96,572.07,566.81,553.83,462.95,446.51,393.64,211.32,199.93,195.91,198.89,195.99,178.02,-,-,-,128.77
14,Goodwill,975.93,975.93,975.93,975.93,950.71,936.29,922.45,922.45,1.97,1.97,1.97,1.96,1.96,1.96,1.96,1.96,-,-,-,1.96
15,Other Intangible Assets,356.7,343.26,294.72,297.82,284.55,279.06,278.53,280,146.2,147.33,148.44,142.61,138.23,153.61,140.33,141.2,-,-,-,146.13
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,0.19,7.02,9.77,5.78,5.75,-,-,-,-
17,Long-Term Deferred Tax Assets,29.59,39.11,42.86,23.54,22.7,24.16,26.14,19.92,17.22,14.83,22.6,12.33,33.57,6.45,9.49,6.28,-,-,-,2.66
18,Long-Term Deferred Charges,50.46,60.17,34.06,36.52,8.1,7.84,3.26,3.13,11.91,12.7,12.91,13.16,13.63,12.39,12.16,12.65,-,-,-,11.39
19,Other Long-Term Assets,581.59,474.66,253.63,41.48,80.51,48.89,230.79,93.39,206,200.63,368.94,372.34,234.89,227.45,30.1,31.98,-,-,-,36.61
20,Total Assets,14348,14762,14924,14409,15115,13454,13374,11309,10951,9124,9040,7744,8693,7979,5197,4352,-,-,-,3895
21,Accounts Payable,131.47,628.35,961.1,849.02,992.83,360.32,837.86,467.76,946.09,574.17,627.79,139.45,104.94,270.33,193.38,299.89,-,-,-,380.29
22,Accrued Expenses,47.26,120.03,40.93,172.86,124.16,84.09,35.4,128.39,89.62,54.1,42.39,63.5,23.8,28.54,13.93,72.46,-,-,-,20.8
23,Short-Term Debt,1066,1132,1329,938.78,1217,1002,1065,913.3,1629,1111,1054,579.46,1337,880.53,1169,670.59,-,-,-,1126
24,Current Portion of Long-Term Debt,-,37.36,-,27.04,-,18.22,-,6.26,-,-,-,-,-,-,-,-,-,-,-,75.36
25,Current Portion of Leases,-,8.85,-,12.42,-,14.5,-,13.84,-,94.92,-,109.2,-,54.01,-,-,-,-,-,38.01
26,Current Income Taxes Payable,143.79,140.41,114.94,114.64,200.89,95.54,131.9,109.34,97.65,74.45,79.79,64.26,93.68,68.44,60.57,44.03,-,-,-,60.68
27,Current Unearned Revenue,296.7,293.8,290.84,209.4,258.84,258.68,189.95,153.73,351.03,97.28,89.27,145.59,201.84,98.61,102.68,168.39,-,-,-,-
28,Other Current Liabilities,643.19,340.96,405.64,729.47,1102,858.3,491.13,797.93,533.38,230.16,383.11,185.64,361.98,161.44,274.54,181.18,-,-,-,183.27
29,Total Current Liabilities,2328,2702,3143,3054,3896,2692,2752,2591,3646,2236,2276,1287,2123,1562,1814,1437,-,-,-,1885
30,Long-Term Debt,2519,2734,2734,2817,2804,2573,2570,1083,193,-,-,-,-,-,-,1,-,-,-,35.84
31,Long-Term Leases,151.23,189.77,228.45,303.95,328.75,336.5,398.05,346.6,80.77,361.72,92.12,413.98,150.31,470.14,187.71,31.41,-,-,-,51.78
32,Long-Term Unearned Revenue,8.19,8.37,6.41,6.52,6.64,5.73,4.67,4.87,3.8,3.84,3.89,3.93,3.98,4.03,4.07,4.12,-,-,-,-
33,Long-Term Deferred Tax Liabilities,43.1,47.98,69.35,65.86,99.13,102.01,39.05,37,5.92,4.39,5.87,6.67,3.7,0.29,0,0.24,-,-,-,0.06
34,Other Long-Term Liabilities,-,32.23,-,7.79,-,64.67,-,65.81,345.87,116.93,348.61,107.62,418.17,172.18,216.14,187.46,-,-,-,-
35,Total Liabilities,5050,5714,6181,6255,7135,5773,5764,4128,4276,2723,2727,1819,2700,2209,2222,1661,-,-,-,1972
36,Common Stock,638.77,633.23,632.89,629.23,625.41,625.41,625.41,625.41,620.16,620.16,442.97,442.97,442.97,442.97,360,360,-,-,-,360
37,Additional Paid-In Capital,3491,3388,3376,3286,3203,3188,3180,3163,3033,3108,3285,3285,3285,3285,690.47,690.22,-,-,-,753.24
38,Retained Earnings,4955,4775,4397,3917,3742,3509,3434,2982,2833,2534,2396,2003,2072,1860,1742,1463,-,-,-,645.78
39,Treasury Stock,-380.95,-350.02,-250.03,-250.03,-150.03,-150.03,-150.03,-44.05,-,-49.99,-,-,-,-,-,-,-,-,-,-
40,Comprehensive Income & Other,203.1,216.41,205.67,192.85,237.8,228.52,281.36,215.31,-0.01,-0.16,-,6.98,11.05,0.38,-,-,-,-,-,-
41,Total Common Equity,8907,8662,8361,7775,7659,7401,7371,6942,6487,6212,6124,5738,5811,5589,2793,2513,-,-,1982,1759
42,Minority Interest,391.04,385.58,381.24,379.41,321.5,279.82,239.57,239.35,189.02,189.18,189.37,186.59,181.99,181.64,181.92,178.58,-,-,-,163.29
43,Shareholders' Equity,9298,9048,8743,8155,7980,7681,7611,7181,6676,6401,6313,5925,5993,5770,2975,2692,-,-,2152,1922
44,Total Liabilities & Equity,14348,14762,14924,14409,15115,13454,13374,11309,10951,9124,9040,7744,8693,7979,5197,4352,-,-,-,3895
