,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,261,230,288,294,321,352,364,412,479,509,637
1,Market Cap Growth,-21.65%,-21.65%,-10.38%,-16.38%,-11.67%,-14.71%,-24.05%,-19.05%,-24.76%,-19.23%,0%
2,Enterprise Value,589,630,623,574,647,745,692,784,665,728,787
3,Last Close Price,0.43,0.38,0.47,0.48,0.53,0.58,0.55,0.62,0.68,0.73,0.90
4,PE Ratio,1.87,1.66,3.38,-17.04,-,-,3.02,2.72,5.57,20.10,23.04
5,PS Ratio,0.12,0.10,0.14,0.17,0.19,0.17,0.15,0.17,0.25,0.32,0.38
6,PB Ratio,0.29,0.25,0.33,0.38,0.40,0.41,0.39,0.47,0.59,0.75,0.93
7,P/TBV Ratio,0.25,0.25,0.33,0.38,0.40,0.41,0.39,0.47,0.59,0.75,0.93
8,P/FCF Ratio,12.15,10.74,-,-,2.37,5.09,7.55,-3.60,-,-7.77,-
9,P/OCF Ratio,4.84,4.84,-7.79,-,1.98,2.09,2.44,-5.95,-,-9.75,-
10,EV/Sales Ratio,0.26,0.28,0.29,0.34,0.38,0.35,0.28,0.33,0.35,0.46,0.47
11,EV/EBITDA Ratio,2.83,3.08,4.23,73.32,-,5.47,2.84,2.99,3.66,7.82,7.93
12,EV/EBIT Ratio,3.32,3.55,5.43,-32.50,-,-,3.55,3.75,5.28,17.99,16.95
13,EV/FCF Ratio,27.47,29.36,-,-,4.77,10.78,14.35,-6.84,-,-11.11,-
14,Debt / Equity Ratio,0.63,0.63,0.68,0.73,0.65,0.73,0.70,0.75,0.82,0.62,0.62
15,Debt / FCF Ratio,26.56,26.56,-,-,3.84,9.06,13.66,-5.75,-,-6.43,-
16,Return on Capital Employed (ROCE),18.71%,18.71%,11.88%,-1.93%,-,-,19.79%,22.66%,14.64%,5.60%,6.22%
17,Earnings Yield,53.39%,60.41%,29.63%,-5.87%,-11.00%,9.51%,33.10%,36.83%,17.96%,4.98%,4.34%
18,FCF Yield,8.23%,9.31%,-22.82%,5.77%,42.27%,19.65%,13.25%,-27.79%,-27.45%,-12.87%,-7.59%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-24.74%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-24.74%,
