,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,4015,2727,2462,16771,16771,16771,19351,70191,87293,115734,99427,Upgrade
1,Market Cap Growth,-83.74%,-83.74%,-85.32%,0%,-13.33%,-76.11%,-77.83%,-39.35%,-12.20%,47.89%,44.68%,Upgrade
2,Enterprise Value,307330,323923,329864,211796,211796,211796,214377,264878,256728,270691,251518,Upgrade
3,Last Close Price,1.06,0.72,0.65,4.42,4.42,4.42,5.10,18.10,22.34,29.07,26.07,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,4.28,5.82,9.54,8.16,Upgrade
5,Forward PE,-,-,-,1.14,1.14,1.14,1.17,3.80,5.04,7.61,6.89,Upgrade
6,PS Ratio,0.06,0.04,0.04,0.26,0.24,0.21,0.15,0.40,0.54,0.88,0.80,Upgrade
7,PB Ratio,0.10,0.10,0.04,0.23,0.19,0.15,0.14,0.36,0.48,0.79,0.76,Upgrade
8,P/TBV Ratio,-,-,0.19,0.72,0.44,0.32,0.29,0.68,0.87,1.45,1.39,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-,4.79,162.02,-,3.18,Upgrade
10,P/OCF Ratio,-,-,-,-,-,-,-,3.38,10.74,-,3.01,Upgrade
11,PEG Ratio,-,-,-,-,-,-,-,0.31,0.30,0.40,0.26,Upgrade
12,EV/Sales Ratio,4.91,5.17,5.04,3.32,2.97,2.63,1.62,1.53,1.60,2.06,2.02,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,-,-,7.13,7.12,8.47,8.18,Upgrade
14,EV/EBIT Ratio,-,-,-,-,-,-,-,7.31,7.29,8.70,8.40,Upgrade
15,EV/FCF Ratio,-38.07,-,-,-,-,-,-,18.09,476.49,-,8.05,Upgrade
16,Debt / Equity Ratio,10.71,10.71,5.27,4.25,3.52,2.75,2.11,1.01,1.05,1.19,1.20,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-,13.52,353.73,-,5.03,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,10.31%,11.00%,11.66%,12.49%,Upgrade
19,Earnings Yield,-846.79%,-1246.66%,-941.06%,-153.07%,-144.88%,-301.51%,-171.86%,23.38%,17.18%,10.48%,12.26%,Upgrade
20,FCF Yield,-201.10%,-296.06%,-264.35%,-22.79%,-34.62%,-145.61%,-70.22%,20.87%,0.62%,14.29%,31.42%,Upgrade
21,Dividend Yield,0.00%,-,-,-,-,-,-,8.63%,6.72%,4.97%,5.56%,Upgrade
22,Buyback Yield / Dilution,0.00%,0.00%,-,-,-5.93%,-7.18%,-1.09%,-2.24%,-7.26%,-4.91%,0.37%,Upgrade
23,Total Shareholder Return,0.00%,0.00%,-,-,-5.93%,-7.18%,-1.09%,6.39%,-0.54%,0.06%,5.93%,Upgrade
