,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019",+2 Quarters
0,Revenue,38.38,1186,154.54,-,24.11,6923,10976,4510,2987,2648,Upgrade
1,Revenue Growth (YoY),-75.17%,-,541.08%,-,-99.78%,53.50%,267.45%,70.30%,49.99%,132.02%,Upgrade
2,Cost of Revenue,35.94,1259,256.36,-,33.75,6676,9544,3248,1711,2037,Upgrade
3,Gross Profit,2.43,-73.18,-101.82,-,-9.64,247.28,1432,1262,1276,611.04,Upgrade
4,"Selling, General & Admin",687.46,1481,1124,-,1239,3540,4161,2151,2250,1599,Upgrade
5,Other Operating Expenses,17132,1125,245.9,-,412.14,512,1.58,-19.93,-88.75,-2.15,Upgrade
6,Operating Expenses,17820,2606,1370,-,1651,4052,4163,2132,2162,1596,Upgrade
7,Operating Income,-17817,-2680,-1471,-,-1660,-3805,-2730,-869.15,-885.52,-985.37,Upgrade
8,Interest Expense,-954.05,-956.34,-964.94,-,-921.36,-1050,-1478,-1363,-1718,-655.76,Upgrade
9,Interest & Investment Income,1.64,4.01,0.59,-,5.88,58.39,82.29,64.06,93.05,56.11,Upgrade
10,Earnings From Equity Investments,-2.59,-,-,-,-,-412.38,-26.21,-32.97,-48.52,-5.18,Upgrade
11,Currency Exchange Gain (Loss),61.07,-257.81,257.81,-,300.08,-45.39,156.94,40.06,211.25,-245.55,Upgrade
12,Other Non Operating Income (Expenses),-,-,-,-,-,-301.07,-,-,65.67,-65.67,Upgrade
13,EBT Excluding Unusual Items,-18711,-3890,-2178,-,-2276,-5555,-3995,-2161,-2282,-1901,Upgrade
14,Impairment of Goodwill,-,-,-,-,-,-,-231.92,-,-,-,Upgrade
15,Gain (Loss) on Sale of Investments,6.01,-36.59,-36.49,-,-1185,792.32,-45.43,-26.92,-180.13,-2.23,Upgrade
16,Gain (Loss) on Sale of Assets,-0.41,0.11,-0.11,-,-44,-,-,-,-,-,Upgrade
17,Asset Writedown,-648.75,-1507,-3304,-,-181.97,-29.3,-875.94,-58.34,-160.66,-,Upgrade
18,Legal Settlements,-902.25,295.8,-295.8,-,-173.78,-,-,-,-,-,Upgrade
19,Pretax Income,-20257,-5138,-5814,-,-3860,-4792,-5149,-2247,-2623,-1904,Upgrade
20,Income Tax Expense,0.08,-15.87,-1.87,-,12.37,29.71,59.24,210.4,340.59,80.55,Upgrade
21,Earnings From Continuing Operations,-20257,-5122,-5812,-,-3872,-4822,-5208,-2457,-2963,-1984,Upgrade
22,Earnings From Discontinued Operations,-,-,-1061,-,-9493,-,-,-,-,-,Upgrade
23,Net Income to Company,-20257,-5122,-6873,-,-13365,-4822,-5208,-2457,-2963,-1984,Upgrade
24,Minority Interest in Earnings,1.65,52.82,8.09,-,3.14,34.73,87.87,182.96,64.4,456.77,Upgrade
25,Net Income,-20255,-5069,-6865,-,-13362,-4787,-5120,-2274,-2899,-1527,Upgrade
26,Net Income to Common,-20255,-5069,-6865,-,-13362,-4787,-5120,-2274,-2899,-1527,Upgrade
27,Shares Outstanding (Basic),10844,10844,10844,-,10844,9329,8737,8640,8640,8640,Upgrade
28,Shares Outstanding (Diluted),10844,10844,10844,-,10844,9329,8737,8640,8640,8640,Upgrade
29,Shares Change (YoY),-,-,-,-,24.12%,7.98%,1.12%,-,-,-,Upgrade
30,EPS (Basic),-1.87,-0.47,-0.63,-,-1.23,-0.51,-0.59,-0.26,-0.34,-0.18,Upgrade
31,EPS (Diluted),-1.87,-0.47,-0.63,-,-1.23,-0.51,-0.59,-0.26,-0.34,-0.18,Upgrade
32,Free Cash Flow,-98.6,-,-337.24,-,745.61,-233.44,1550,-9395,-13322,-6207,Upgrade
33,Free Cash Flow Per Share,-0.01,-,-0.03,-,0.07,-0.03,0.18,-1.09,-1.54,-0.72,Upgrade
34,Operating Margin,-46426.90%,-226.01%,-952.14%,-,-6887.48%,-54.96%,-24.87%,-19.27%,-29.64%,-37.21%,Upgrade
35,Profit Margin,-52778.98%,-427.56%,-4442.22%,-,-55429.26%,-69.14%,-46.65%,-50.42%,-97.05%,-57.67%,Upgrade
36,Free Cash Flow Margin,-256.93%,-,-218.23%,-,3093.03%,-3.37%,14.13%,-208.30%,-445.97%,-234.37%,Upgrade
37,EBITDA,-17704,-1788,-1330,-,-925.33,-2583,-2087,-490.18,-490.86,-665.64,Upgrade
38,D&A For EBITDA,113.16,371.22,141.78,298.37,734.97,1222,643.61,378.97,394.67,319.73,Upgrade
39,EBIT,-17817,-2680,-1471,-,-1660,-3805,-2730,-869.15,-885.52,-985.37,Upgrade
40,Advertising Expenses,-,-,-,-,-,959.58,-,512.34,-,180.94,Upgrade
